 	fais-moi	sécher	ces	poissons	</S>
a23	0.571395	0.242842	0.0849523	0.0539672	0.0468432
a87	0.477717	0.376845	0.0834846	0.0393573	0.0225955
a23	0.259962	0.28954	0.190567	0.15015	0.109781
a83	0.344097	0.304159	0.133502	0.10452	0.113722
a62	0.364284	0.278587	0.126228	0.115247	0.115654
a47	0.385624	0.257642	0.14339	0.10898	0.104363
a0	0.242739	0.208605	0.211357	0.197069	0.14023
a75	0.233235	0.205955	0.214619	0.204402	0.141788
a5	0.340694	0.213383	0.167307	0.147065	0.131551
a75	0.17798	0.121868	0.17813	0.250332	0.27169
a85	0.0921227	0.0781572	0.170459	0.292733	0.366529
a43	0.0538821	0.0618697	0.153229	0.30942	0.421599
a47	0.0238912	0.0264169	0.0865863	0.278079	0.585026
a88	0.0272367	0.0311563	0.0788812	0.227233	0.635493
a21	0.0100858	0.0244047	0.068235	0.229196	0.668079
a12	0.0224864	0.0327382	0.0756891	0.228879	0.640207
a18	0.0238822	0.0387657	0.0829697	0.235935	0.618447
a25	0.035606	0.080738	0.13294	0.240328	0.510387
a87	0.113263	0.161874	0.143236	0.214978	0.366649
a23	0.329524	0.303089	0.146341	0.104948	0.116098
a87	0.179179	0.172576	0.127187	0.180592	0.340466
a23	0.0200183	0.0363797	0.0978346	0.267954	0.577813
a87	0.0245839	0.047676	0.123533	0.273247	0.53096
</S>	0.0341901	0.0726996	0.139929	0.274514	0.478667
