 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
a23	0.317886	0.205687	0.147627	0.0559003	0.0706984	0.039579	0.0286683	0.0253979	0.0222241	0.0243358	0.0280744	0.0339218
a30	0.133679	0.113819	0.108239	0.0695843	0.0775227	0.0587352	0.0581031	0.0512158	0.0480677	0.0657911	0.0861354	0.129108
a20	0.0489241	0.068139	0.0933372	0.0892302	0.100185	0.0766641	0.0626994	0.0527316	0.0482556	0.068846	0.114881	0.176107
a30	0.310529	0.243353	0.209391	0.0974422	0.0794901	0.0215545	0.00998008	0.00765629	0.0055158	0.00424889	0.00486919	0.00596971
a35	0.272521	0.262681	0.250588	0.0840226	0.0834459	0.021748	0.0083311	0.0055374	0.00337336	0.00235512	0.00247792	0.00291929
a24	0.245899	0.236977	0.24599	0.0968994	0.0969831	0.0332583	0.0145164	0.0100383	0.00633889	0.00417204	0.00429451	0.00463331
a66	0.19936	0.193863	0.208043	0.126045	0.119934	0.0568989	0.029512	0.0222005	0.0151474	0.00977446	0.009562	0.00965913
a35	0.17646	0.171923	0.182593	0.136438	0.12385	0.0675722	0.0365467	0.0290908	0.0218113	0.0164306	0.0180279	0.0192568
a14	0.13115	0.148853	0.171059	0.145437	0.130366	0.0874043	0.0529616	0.0429533	0.0304072	0.0202467	0.0192437	0.0199176
a35	0.0768545	0.101073	0.141256	0.176867	0.178136	0.117971	0.0683373	0.0511828	0.0326887	0.0199446	0.0176317	0.0180584
a43	0.0482315	0.0657717	0.10145	0.190007	0.199942	0.140428	0.0799764	0.0615036	0.0404993	0.0261938	0.0231345	0.022862
a75	0.0376113	0.0519187	0.0821408	0.19041	0.218383	0.146767	0.0861948	0.0691932	0.0438058	0.0260809	0.0235726	0.0239214
a14	0.043945	0.0598733	0.0990457	0.163126	0.184119	0.130128	0.0810648	0.068974	0.0497764	0.0400263	0.0412672	0.0386543
a35	0.0404437	0.0516868	0.0802011	0.141303	0.168298	0.135272	0.0920712	0.0793016	0.057794	0.0502107	0.0526535	0.0507635
a76	0.0306779	0.0355161	0.052547	0.0954477	0.123534	0.141455	0.120499	0.107239	0.0780142	0.070122	0.0726401	0.0723071
a94	0.0321426	0.034244	0.054319	0.061174	0.0690843	0.0924553	0.101648	0.0981997	0.0852697	0.100524	0.126221	0.144718
a54	0.012006	0.0151579	0.0301252	0.0565906	0.0760989	0.126855	0.145259	0.138954	0.104085	0.0942792	0.0952599	0.105329
a14	0.0168103	0.0158166	0.0260612	0.0430311	0.0581474	0.098979	0.12783	0.120972	0.102744	0.111445	0.129945	0.148217
a73	0.0163558	0.0176056	0.0305726	0.0585109	0.0824654	0.128543	0.132179	0.123228	0.0974683	0.0919465	0.102837	0.118288
a20	0.00925361	0.011626	0.020915	0.0577635	0.0822187	0.0996585	0.0934248	0.090897	0.0786321	0.095999	0.14704	0.212572
a35	0.00975122	0.0105126	0.0199197	0.054492	0.0628714	0.0793206	0.076756	0.0802179	0.0731142	0.101367	0.170636	0.261041
a30	0.00557616	0.00657861	0.011515	0.0278331	0.0368126	0.0660754	0.0876645	0.10197	0.102403	0.129583	0.175031	0.248958
a14	0.00623086	0.00743186	0.013287	0.0361839	0.0481114	0.0755704	0.0879162	0.10397	0.103843	0.131709	0.161497	0.224249
a35	0.00524026	0.00580691	0.00962044	0.0253852	0.0363716	0.057109	0.0689498	0.0821182	0.0932978	0.144651	0.194227	0.277223
a24	0.00332805	0.00404218	0.00814743	0.0251006	0.0349674	0.051956	0.0587914	0.0715985	0.0818612	0.141316	0.209088	0.309804
a41	0.00266466	0.00381013	0.00764804	0.0161846	0.0214377	0.0378125	0.055684	0.0723024	0.0780167	0.141866	0.213717	0.348856
