 	mon	épouse	a	une	démarche	dégagée	</S>
a57	0.33153	0.222207	0.145771	0.130541	0.0891711	0.0454412	0.035339
a87	0.366614	0.243323	0.154833	0.0943977	0.0628549	0.0421669	0.0358102
a23	0.44331	0.265379	0.111275	0.0569829	0.0383179	0.0501291	0.0346061
a54	0.445574	0.243512	0.111286	0.0519964	0.0389274	0.0592337	0.0494707
a36	0.36698	0.247089	0.151074	0.0876415	0.0474117	0.0507514	0.049052
a75	0.225177	0.251478	0.219266	0.129119	0.0506345	0.0646136	0.0597117
a6	0.206881	0.240624	0.256436	0.164233	0.0491807	0.0453725	0.0372723
a85	0.186409	0.231774	0.268814	0.158078	0.0548971	0.0536592	0.0463688
a6	0.110218	0.163617	0.244884	0.186814	0.0924668	0.101217	0.100783
a92	0.132363	0.161944	0.209201	0.16691	0.102354	0.122134	0.105093
a6	0.0719102	0.0990099	0.157349	0.180732	0.167598	0.164355	0.159047
a37	0.0661061	0.0963524	0.168391	0.204013	0.159594	0.163616	0.141928
a36	0.0402833	0.0508099	0.100709	0.173962	0.201894	0.233256	0.199086
a98	0.0193117	0.0184708	0.0295815	0.0732443	0.223793	0.322161	0.313438
a85	0.0118881	0.0123227	0.0245104	0.0688744	0.235533	0.312448	0.334423
a5	0.00433632	0.00475366	0.0112666	0.0411193	0.214878	0.345637	0.37801
a0	0.00576645	0.0058859	0.0109238	0.0328917	0.174114	0.358996	0.411422
a75	0.00750246	0.00702413	0.0121565	0.0313992	0.163964	0.378666	0.399287
a14	0.00387728	0.00352386	0.00642967	0.0182555	0.137604	0.319924	0.510385
a85	0.00440766	0.00382563	0.00632847	0.0174525	0.115324	0.332327	0.520335
a6	0.0029758	0.00264823	0.00398041	0.0109102	0.0858138	0.294444	0.599227
a36	0.00813758	0.00714849	0.0109096	0.0229221	0.121093	0.261825	0.567964
a27	0.0174899	0.016579	0.0245314	0.0443299	0.120234	0.30197	0.474866
a30	0.0734196	0.0652364	0.0743458	0.101766	0.135404	0.209458	0.34037
a10	0.380584	0.172752	0.0801179	0.0625888	0.0797581	0.0941479	0.130051
a87	0.403301	0.191161	0.0790633	0.0523072	0.0736614	0.0966564	0.10385
a23	0.315969	0.170154	0.082837	0.0624114	0.100023	0.134444	0.134161
a87	0.0657395	0.0392439	0.0293697	0.034119	0.151425	0.329893	0.350209
a97	0.034926	0.020718	0.0167103	0.0257066	0.110594	0.380502	0.410843
</S>	0.143656	0.0962551	0.0720347	0.0671474	0.100265	0.263922	0.25672
