 	il	lui	est	arrivé	un	grand	malheur	</S>
a23	0.199396	0.148499	0.0958301	0.0759897	0.0913735	0.101135	0.130426	0.157352
a87	0.313154	0.229439	0.120126	0.0615488	0.0579656	0.0529458	0.0627262	0.102093
a23	0.278934	0.213503	0.11919	0.0650878	0.062891	0.0645798	0.0782932	0.117521
a20	0.212752	0.176893	0.0872862	0.0541547	0.0586559	0.0600827	0.106147	0.244028
a73	0.262656	0.21368	0.129025	0.1047	0.0857232	0.0634232	0.0629053	0.0778881
a37	0.315232	0.275556	0.187174	0.0948656	0.054643	0.0316708	0.0218551	0.0190041
a41	0.269113	0.249468	0.207047	0.115725	0.0688493	0.0419995	0.0264864	0.0213122
a18	0.186379	0.191803	0.190356	0.15178	0.117163	0.0801641	0.0489808	0.0333745
a25	0.140226	0.154505	0.198667	0.167657	0.128576	0.0945838	0.0645188	0.0512649
a53	0.0956862	0.117534	0.179796	0.165172	0.133616	0.112458	0.0977994	0.0979384
a94	0.154707	0.153705	0.185109	0.157799	0.123623	0.0997283	0.0704061	0.0549225
a76	0.0935284	0.0936061	0.12718	0.138553	0.159209	0.170764	0.132038	0.0851217
a94	0.0678544	0.0729855	0.103421	0.123134	0.157639	0.196698	0.163317	0.114951
a58	0.0512038	0.0513322	0.0739583	0.0952778	0.125701	0.198142	0.213041	0.191344
a25	0.0363207	0.0363601	0.0518898	0.0647238	0.0874609	0.161345	0.237756	0.324144
a38	0.0135178	0.0147685	0.0237311	0.0346547	0.0581101	0.132543	0.262743	0.459932
a76	0.00988054	0.00967896	0.0129953	0.0212277	0.041752	0.110891	0.245386	0.548189
a20	0.00780439	0.00938935	0.0172855	0.0364873	0.066793	0.155831	0.274451	0.431958
a94	0.00438074	0.00603897	0.0112184	0.0207705	0.0430915	0.1153	0.251554	0.547647
a38	0.00398952	0.00433577	0.00587851	0.00993355	0.0212854	0.0667299	0.203718	0.684129
a9	0.00463275	0.00477479	0.00540331	0.00813619	0.0173893	0.0540124	0.182044	0.723608
a87	0.00395083	0.00438684	0.00488075	0.00617121	0.0160862	0.0614254	0.221681	0.681417
a23	0.00303005	0.00336636	0.00378101	0.00597631	0.0207497	0.0856669	0.270487	0.606943
a87	0.00539081	0.0077887	0.00787048	0.0115919	0.0416775	0.131774	0.297244	0.496662
</S>	0.00222189	0.00359306	0.00504964	0.0100045	0.0347034	0.108862	0.258442	0.577123
