 	j'	étais	aveuglé	par	le	soleil	</S>
a11	0.377439	0.150022	0.125225	0.109827	0.0864747	0.0791404	0.0718713
a87	0.33112	0.113281	0.0578962	0.10719	0.110769	0.148151	0.131593
a23	0.393206	0.287044	0.11614	0.0637741	0.0426415	0.0467949	0.0503993
a79	0.422063	0.300537	0.139138	0.0602327	0.0328117	0.0241198	0.021098
a90	0.586905	0.246457	0.0839151	0.030367	0.0181974	0.0142919	0.0198666
a75	0.635263	0.232778	0.0600931	0.0209318	0.0138308	0.0153101	0.0217931
a73	0.46676	0.234516	0.132534	0.0608982	0.0401322	0.0313345	0.0338241
a44	0.396473	0.221752	0.145438	0.0759637	0.0537881	0.0470647	0.0595206
a56	0.1456	0.185367	0.187927	0.1159	0.101533	0.110569	0.153103
a32	0.103009	0.143667	0.187036	0.142796	0.125452	0.126858	0.171182
a75	0.075733	0.111295	0.20054	0.16094	0.135417	0.128799	0.187276
a73	0.0727097	0.0896462	0.179515	0.179656	0.170814	0.146329	0.16133
a69	0.0744643	0.0889681	0.179474	0.17137	0.153359	0.141176	0.191189
a15	0.0335612	0.0414309	0.134495	0.175189	0.192334	0.191178	0.231812
a98	0.0402959	0.0444721	0.125515	0.161528	0.188614	0.197367	0.242208
a5	0.0610586	0.0546264	0.158755	0.158488	0.166378	0.168233	0.23246
a35	0.0321298	0.045712	0.143801	0.184804	0.195474	0.171567	0.226513
a54	0.0378584	0.0507359	0.12531	0.171655	0.193942	0.166915	0.253584
a73	0.0322293	0.03929	0.096323	0.133597	0.174869	0.190191	0.333501
a94	0.0302044	0.0337337	0.093635	0.127979	0.172716	0.184338	0.357395
a76	0.0299964	0.0397887	0.0960709	0.131833	0.176952	0.185242	0.340117
a92	0.0433735	0.0502477	0.106782	0.125218	0.162912	0.178678	0.33279
a94	0.0295686	0.0382485	0.0941946	0.125388	0.172012	0.190376	0.350212
a32	0.0191783	0.024463	0.0677916	0.096074	0.158956	0.21231	0.421226
a75	0.010425	0.013359	0.0362013	0.057223	0.118914	0.220708	0.54317
a12	0.0251369	0.0302355	0.0689526	0.0834401	0.137625	0.206781	0.447829
a18	0.0162579	0.0184125	0.0383989	0.0572017	0.113306	0.224746	0.531677
a25	0.00441635	0.00476158	0.010368	0.0214027	0.0571962	0.204154	0.697702
a87	0.00153301	0.00165089	0.00478269	0.0115722	0.0404023	0.19942	0.740639
a23	0.0143723	0.0114338	0.0222644	0.0591048	0.121334	0.245449	0.526042
a87	0.0437906	0.0172063	0.0166307	0.0480165	0.0993639	0.226157	0.548835
</S>	0.0572839	0.0234827	0.0259637	0.0574073	0.112273	0.220047	0.503542
