 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
a85	0.174536	0.171043	0.124821	0.126968	0.129795	0.115828	0.0723232	0.0367722	0.0280449	0.0198681
a66	0.186364	0.077674	0.0527285	0.0617573	0.0954578	0.147581	0.166761	0.0953546	0.0729025	0.0434192
a87	0.388881	0.156082	0.0643618	0.0436969	0.0350548	0.0275542	0.0399152	0.0598719	0.105816	0.0787665
a23	0.483068	0.163367	0.0571609	0.0307588	0.0269784	0.0332791	0.04893	0.0487837	0.0627104	0.0449646
a83	0.350315	0.126058	0.0638751	0.0440453	0.0495461	0.0612884	0.0828849	0.0773398	0.087176	0.0574714
a98	0.171366	0.0870901	0.0650626	0.049598	0.0511472	0.0518791	0.0807564	0.140194	0.169614	0.133292
a85	0.174443	0.104828	0.0789777	0.0635576	0.0503217	0.0544616	0.0771021	0.108559	0.148034	0.139714
a75	0.199491	0.14471	0.132911	0.126429	0.095895	0.0701258	0.0529687	0.0507816	0.0642216	0.0624672
a92	0.143426	0.132612	0.123506	0.135941	0.121372	0.103434	0.0692392	0.0541407	0.061365	0.0549642
a93	0.127445	0.13492	0.136987	0.150621	0.130065	0.0973784	0.0607753	0.0480927	0.0553601	0.0583558
a90	0.144549	0.143854	0.150068	0.151313	0.129425	0.0901724	0.0531177	0.0410931	0.0452979	0.0511082
a98	0.121926	0.131445	0.138718	0.141175	0.125302	0.0892043	0.0558115	0.0510061	0.0613027	0.0841085
a92	0.0941557	0.107826	0.137316	0.149675	0.119619	0.0912981	0.058747	0.0542158	0.0702046	0.116942
a75	0.0682872	0.0986438	0.11857	0.133479	0.108174	0.096478	0.0802797	0.0772853	0.0920647	0.126739
a34	0.0596891	0.0865442	0.104699	0.120171	0.0854852	0.0744863	0.0723252	0.0888877	0.118346	0.189367
a66	0.0558657	0.0736078	0.112002	0.157653	0.11944	0.109955	0.0832602	0.0703625	0.086531	0.131323
a98	0.0265087	0.0330338	0.0691901	0.119268	0.108873	0.129046	0.101611	0.101408	0.114611	0.196449
a85	0.0398955	0.0386999	0.0586487	0.0928982	0.0708619	0.0822767	0.0859371	0.114612	0.127505	0.288666
a37	0.045113	0.0416932	0.0523944	0.0760536	0.0544944	0.059385	0.0644298	0.10713	0.144654	0.354652
a75	0.0214566	0.0174417	0.0280506	0.0490441	0.043164	0.0627311	0.0884397	0.155284	0.190691	0.343698
a5	0.0456346	0.035169	0.0411435	0.0496633	0.0369116	0.0368616	0.0487891	0.108779	0.176258	0.42079
a18	0.0145218	0.0127259	0.0189031	0.0285367	0.0259165	0.0355412	0.0632619	0.153857	0.212952	0.433784
a62	0.00566352	0.00393232	0.00683572	0.0117853	0.0188016	0.0347589	0.0753492	0.15412	0.190582	0.498172
a47	0.00268243	0.00236952	0.00384067	0.00653745	0.0119509	0.0249858	0.0702398	0.159836	0.199076	0.518482
a83	0.00187645	0.00193739	0.00373315	0.00720791	0.0134087	0.0298714	0.0892049	0.211825	0.213939	0.426996
a25	0.00212433	0.00176127	0.00314915	0.00617048	0.00993822	0.0190355	0.0572904	0.172136	0.211019	0.517376
a62	0.00711067	0.00467158	0.0080482	0.0131656	0.0187291	0.0308903	0.0769283	0.160494	0.216614	0.463348
a83	0.000756985	0.000466342	0.000810861	0.00139134	0.00252229	0.00657587	0.0320544	0.135249	0.227381	0.592793
a62	0.00137003	0.000971336	0.00191993	0.00378568	0.00637071	0.0115199	0.0325491	0.114765	0.188217	0.638531
a83	0.00378393	0.00307473	0.00608007	0.0113434	0.0150124	0.0233404	0.0495494	0.128281	0.18069	0.578844
a9	0.00333027	0.00273338	0.00520345	0.00951852	0.0131595	0.0196536	0.0427559	0.124552	0.193004	0.58609
a10	0.0429565	0.0213288	0.0244403	0.0254854	0.0256168	0.0386359	0.0923828	0.170318	0.22578	0.333055
</S>	0.0592022	0.0271134	0.0224492	0.0211537	0.0237187	0.043237	0.100005	0.169193	0.248729	0.2852
