 	l'	aigle	mange	beaucoup	de	crapauds	</S>
a66	0.324939	0.253777	0.144171	0.0928317	0.0760295	0.0747682	0.0334828
a87	0.405181	0.284611	0.151573	0.0775665	0.0349298	0.0258111	0.020328
a23	0.552205	0.258755	0.104191	0.0424295	0.014553	0.0141439	0.0137227
a99	0.539987	0.262495	0.0978681	0.0411671	0.0164544	0.0208748	0.0211529
a83	0.46138	0.231392	0.12457	0.069253	0.0316878	0.0352221	0.0464949
a13	0.411023	0.267858	0.166981	0.0963593	0.0263946	0.0176666	0.0137172
a62	0.276332	0.233824	0.198575	0.160987	0.065787	0.0373436	0.0271502
a47	0.156003	0.139165	0.182347	0.232867	0.154924	0.0809736	0.0537201
a31	0.173086	0.156099	0.158138	0.18588	0.154908	0.0967615	0.075128
a88	0.138256	0.13605	0.168885	0.207555	0.192243	0.0937355	0.063277
a31	0.0772468	0.0906023	0.140455	0.214458	0.249204	0.135142	0.0928912
a24	0.0690982	0.0688009	0.125213	0.227873	0.290727	0.142755	0.0755327
a47	0.0492003	0.043446	0.0734447	0.146221	0.261034	0.250027	0.176627
a31	0.0566046	0.048643	0.0880251	0.187169	0.291776	0.218066	0.109716
a88	0.0333009	0.0268602	0.0413416	0.096384	0.255522	0.331583	0.215008
a93	0.0217875	0.017846	0.0217763	0.0397222	0.151617	0.384743	0.362508
a13	0.0251978	0.0205295	0.0292282	0.0609622	0.177783	0.34693	0.33937
a93	0.0152223	0.0160795	0.0161972	0.0194972	0.0695847	0.360398	0.503021
a90	0.00886388	0.00815229	0.00861415	0.0123739	0.0625274	0.335082	0.564386
a56	0.00353835	0.00237949	0.00291321	0.00525784	0.0332409	0.256049	0.696622
a75	0.00265316	0.00158374	0.00200608	0.00378908	0.0248799	0.214272	0.750816
a21	0.00130184	0.000626946	0.000930509	0.00217817	0.0180422	0.201527	0.775393
a96	0.000861662	0.00047003	0.000547858	0.000985696	0.0065906	0.110326	0.880218
a18	0.000364226	0.000209739	0.000280716	0.000542796	0.00421206	0.0949797	0.899411
a71	0.00411835	0.00276177	0.00276351	0.00360131	0.0134624	0.136461	0.836832
a25	0.0676934	0.0344018	0.024459	0.0248648	0.0460246	0.222283	0.580274
a82	0.26725	0.0834569	0.0471101	0.0445201	0.0646213	0.164861	0.32818
a87	0.408682	0.168563	0.0759438	0.0419125	0.0330033	0.0804773	0.191419
a23	0.347893	0.177982	0.0866333	0.0430012	0.0396311	0.0893265	0.215533
a99	0.209392	0.0903382	0.050883	0.0296148	0.039677	0.139778	0.440316
a97	0.1148	0.0446574	0.029898	0.0330666	0.0783901	0.157954	0.541234
a84	0.0736313	0.0336384	0.0280278	0.0397924	0.0726804	0.120551	0.631679
</S>	0.124355	0.0635289	0.050305	0.0562987	0.0752922	0.103345	0.526876
