 	les	ouvriers	boudent	leur	chef	</S>
a87	0.345281	0.34311	0.234688	0.0401121	0.020615	0.0161946
a23	0.511722	0.258554	0.0708009	0.0297158	0.0528897	0.0763182
a10	0.206528	0.311191	0.166086	0.0777769	0.0876503	0.150768
a87	0.246586	0.328734	0.137399	0.0640581	0.0854428	0.13778
a23	0.284968	0.374448	0.130237	0.0561797	0.0609681	0.0931987
a40	0.25826	0.323423	0.10883	0.0688929	0.0996279	0.140966
a36	0.62993	0.250365	0.0486074	0.018687	0.0202191	0.0321917
a11	0.475408	0.348676	0.088395	0.0249545	0.0249063	0.0376607
a75	0.463913	0.36648	0.0838739	0.0247561	0.0242799	0.0366973
a85	0.337312	0.404778	0.111815	0.0399547	0.0431363	0.0630036
a5	0.428483	0.33306	0.102851	0.0447051	0.040298	0.0506029
a61	0.445843	0.404188	0.086826	0.0214575	0.0192941	0.0223911
a47	0.387547	0.419653	0.119056	0.0269359	0.0222623	0.0245462
a66	0.238476	0.411812	0.259485	0.0378123	0.0255197	0.0268944
a98	0.143239	0.28417	0.385502	0.0725123	0.053387	0.0611894
a47	0.136961	0.397672	0.266207	0.075986	0.061917	0.0612571
a44	0.117751	0.24839	0.336611	0.0972052	0.0888511	0.111192
a38	0.101002	0.151305	0.421377	0.123235	0.0999335	0.103148
a25	0.0682279	0.110878	0.426016	0.139568	0.120317	0.134993
a92	0.0581088	0.106195	0.336272	0.1604	0.157763	0.181261
a25	0.0329263	0.0472158	0.216178	0.196186	0.225067	0.282426
a93	0.0461612	0.0647462	0.219247	0.210621	0.212296	0.246929
a13	0.0149193	0.0182414	0.137641	0.232993	0.263331	0.332875
a99	0.005025	0.00624119	0.0555461	0.181054	0.306208	0.445926
a93	0.00180045	0.00217381	0.0203714	0.14711	0.313308	0.515236
a70	0.00131887	0.00181737	0.0282025	0.15714	0.310038	0.501483
a83	0.000932283	0.00167455	0.0151869	0.114412	0.304379	0.563415
a75	0.000889986	0.00107787	0.0101139	0.0959101	0.321065	0.570943
a79	0.000613624	0.00111324	0.00798449	0.0741849	0.278536	0.637568
a44	0.000878475	0.00183415	0.0133269	0.0716811	0.257426	0.654853
a98	0.000268533	0.00051852	0.00624727	0.0645419	0.274695	0.653728
a47	0.000764835	0.00127781	0.0100664	0.0770655	0.274415	0.636411
a36	0.00320563	0.00455365	0.0281317	0.116884	0.277414	0.56981
a26	0.0037903	0.00275246	0.0134806	0.0908084	0.298493	0.590676
a57	0.00651653	0.00311638	0.0136314	0.131603	0.310209	0.534923
a10	0.0414111	0.0439128	0.0623015	0.149052	0.27893	0.424393
a87	0.126666	0.105682	0.135821	0.185667	0.208696	0.237469
a23	0.0783591	0.0856186	0.132817	0.200873	0.216664	0.285668
a87	0.0629231	0.0535568	0.0512087	0.139585	0.273849	0.418877
</S>	0.0112698	0.0215931	0.0282561	0.134461	0.295581	0.508839
