 	cette	femme	est	reconnue	coupable	d'	un	meurtre	dans	sa	famille	</S>
a87	0.0899397	0.0604719	0.0821846	0.1589	0.23768	0.157294	0.112091	0.0546712	0.0202239	0.0107	0.00875496	0.00708951
a23	0.22776	0.104545	0.108412	0.0953357	0.108678	0.10165	0.0670967	0.0487375	0.0377246	0.0273095	0.0328143	0.0399367
a93	0.147884	0.0851642	0.0980669	0.0921637	0.109342	0.082863	0.057768	0.0467997	0.0443798	0.0473093	0.0716627	0.116597
a62	0.257621	0.189193	0.160692	0.122597	0.0959303	0.0532716	0.0272363	0.0227061	0.0219331	0.0174463	0.015869	0.0155037
a47	0.305319	0.248232	0.175887	0.103554	0.076518	0.0393848	0.0179008	0.0120201	0.00749022	0.00492384	0.00437777	0.00439241
a34	0.197275	0.220393	0.196715	0.133985	0.101036	0.0524741	0.0256767	0.0187709	0.0157644	0.0127667	0.0123254	0.0128179
a93	0.270801	0.241131	0.167556	0.105137	0.0831368	0.0447846	0.0230057	0.016451	0.0124769	0.0104785	0.0114499	0.0135916
a90	0.205429	0.196354	0.15663	0.112502	0.105335	0.0660853	0.038213	0.0284893	0.0226581	0.0197673	0.0220368	0.0265005
a25	0.118661	0.155294	0.164328	0.145553	0.142164	0.090848	0.0518177	0.0358293	0.0248746	0.0203801	0.0227239	0.0275257
a37	0.0859318	0.133348	0.160366	0.166272	0.15648	0.11184	0.0695198	0.0405997	0.023327	0.0168169	0.0167505	0.0187482
a47	0.112561	0.156976	0.174363	0.157252	0.153136	0.096154	0.0524619	0.030289	0.0168806	0.0135514	0.0154115	0.0209634
a83	0.0761594	0.113581	0.147677	0.174073	0.164649	0.114958	0.0696439	0.0428195	0.0246655	0.0198458	0.0221678	0.02976
a66	0.0702587	0.0980779	0.12102	0.154607	0.163173	0.131691	0.0946611	0.0596603	0.0316047	0.0216434	0.0235844	0.030018
a98	0.0528411	0.0702382	0.0858836	0.122726	0.146055	0.13552	0.115378	0.0833787	0.0495624	0.0377689	0.0421297	0.0585175
a44	0.0500173	0.0599667	0.0718825	0.109654	0.141461	0.129628	0.1086	0.0870315	0.0626041	0.0525479	0.0553543	0.0712526
a98	0.0501856	0.0597267	0.0648119	0.0854461	0.10933	0.11636	0.117776	0.105022	0.0826102	0.0625172	0.0641319	0.0820827
a79	0.049413	0.0538594	0.0571312	0.0739476	0.092553	0.0881517	0.0784309	0.0727816	0.0738521	0.0959865	0.117459	0.146434
a96	0.0413275	0.0401359	0.0388672	0.0487407	0.0547105	0.0568016	0.0627369	0.0766023	0.0893813	0.122694	0.156228	0.211775
a75	0.0333152	0.0358671	0.0361964	0.0449617	0.053126	0.0619322	0.0833077	0.0969978	0.101657	0.106958	0.129731	0.21595
a5	0.0454016	0.0391079	0.0327282	0.0367234	0.0365819	0.0386958	0.0447092	0.0573068	0.0774753	0.120644	0.18065	0.289976
a11	0.030446	0.0288152	0.0270296	0.0323831	0.0312938	0.0315048	0.0385866	0.0556059	0.0905816	0.152683	0.204363	0.276708
a75	0.00745722	0.00582891	0.00522841	0.00718616	0.00742924	0.009659	0.0185544	0.0331925	0.0627612	0.133059	0.227911	0.481732
a5	0.0133402	0.0109147	0.0090785	0.00991113	0.0101345	0.0136922	0.0232376	0.0384322	0.0730656	0.157467	0.244223	0.396504
a96	0.0200276	0.016203	0.0149712	0.017508	0.0179454	0.0224107	0.0326774	0.052606	0.0940545	0.176721	0.234336	0.30054
a83	0.00449051	0.00327632	0.00283116	0.00411839	0.00425616	0.00548898	0.0111147	0.0232383	0.0523344	0.137042	0.258507	0.493302
a21	0.00220652	0.00178215	0.00168001	0.00279052	0.00320522	0.00445884	0.00965489	0.0204186	0.0459323	0.128277	0.255861	0.523733
a85	0.00976518	0.00754912	0.00628436	0.00749342	0.00822215	0.0104422	0.015901	0.0247991	0.0455052	0.119518	0.250829	0.493691
a44	0.00851317	0.00800865	0.00764617	0.00778191	0.00849329	0.00992682	0.0110216	0.0187731	0.0459335	0.139523	0.275449	0.45893
a98	0.00181011	0.00146246	0.00120489	0.00151797	0.0019328	0.00267587	0.00536606	0.0128173	0.0380948	0.132082	0.281033	0.520003
a47	0.00496727	0.00393577	0.00337846	0.00350387	0.00413899	0.00588389	0.00882017	0.0167982	0.0423547	0.136271	0.289153	0.480795
a36	0.00503163	0.00407647	0.00347406	0.00438093	0.00616793	0.00859489	0.0154291	0.0309245	0.0647123	0.160953	0.280725	0.41553
a2	0.00272021	0.00215358	0.00198228	0.00216787	0.00227284	0.00312519	0.00615027	0.0132603	0.0331722	0.114276	0.240349	0.578371
a57	0.0108906	0.00531759	0.00474444	0.00428572	0.00558508	0.00750601	0.0107793	0.0181333	0.0356373	0.11051	0.243095	0.543516
a87	0.0456335	0.0239867	0.0215207	0.0219176	0.0287465	0.039733	0.0625332	0.0855602	0.108118	0.13638	0.171228	0.254642
a23	0.103282	0.0518826	0.0350436	0.0298002	0.0566843	0.090666	0.118408	0.121201	0.105752	0.0860902	0.0914131	0.109777
a87	0.0339829	0.0159751	0.0108046	0.0107224	0.0202466	0.0336046	0.0454084	0.0630391	0.117552	0.160422	0.211248	0.276994
</S>	0.00347941	0.00227043	0.00216807	0.0032986	0.00747389	0.0157766	0.024098	0.0386043	0.0850753	0.158447	0.261824	0.397484
