 	ces	gens	sont	en	train	de	s'	embrasser	car	ils	ne	se	sont	pas	vu	depuis	longtemps	</S>
a87	0.0978984	0.0672944	0.0635817	0.0664196	0.0571464	0.0666679	0.0694593	0.0717779	0.0979298	0.0969271	0.0826991	0.0534176	0.0380289	0.0220373	0.0147317	0.0120588	0.0111002	0.0108238
a23	0.175633	0.0677952	0.0393169	0.0369256	0.0349969	0.0527435	0.0585704	0.0490523	0.0678134	0.0499303	0.0466535	0.0368362	0.0326451	0.0328115	0.0330491	0.0400727	0.0677057	0.0774482
a87	0.0993268	0.0664196	0.0570753	0.0564868	0.0581919	0.0676753	0.0744763	0.0762906	0.0782634	0.0464698	0.0421409	0.0362812	0.032881	0.0323063	0.0341517	0.0354617	0.0458085	0.0602929
a23	0.119499	0.0773095	0.0647984	0.0674914	0.0630397	0.0702795	0.0732733	0.0650376	0.0537225	0.0323905	0.0318449	0.0306461	0.0335102	0.037404	0.040685	0.0397005	0.0457497	0.0536183
a87	0.100426	0.0642748	0.0528035	0.0570827	0.0563845	0.0615292	0.0611511	0.0548312	0.0504776	0.0316	0.0315313	0.0312119	0.0388265	0.0455858	0.0566142	0.0592911	0.0643045	0.082074
a23	0.0711756	0.0516159	0.046945	0.051723	0.0513724	0.0539598	0.0563745	0.0527183	0.0436948	0.030472	0.0350014	0.0374944	0.0482918	0.0588796	0.0725697	0.073439	0.0766658	0.0876071
a54	0.0840676	0.0596447	0.0484616	0.0577322	0.0553897	0.054553	0.0506751	0.0487253	0.0435083	0.03181	0.0325164	0.0310508	0.0419642	0.0498279	0.067178	0.0755706	0.07386	0.0934644
a5	0.272595	0.172109	0.0810981	0.0688611	0.0465814	0.0495608	0.0539802	0.0775019	0.0473755	0.0247088	0.0169285	0.0126107	0.0119713	0.0110858	0.0122374	0.0126626	0.0137101	0.0144213
a66	0.113273	0.106727	0.0823541	0.0839627	0.0800319	0.089241	0.100371	0.112333	0.0819205	0.0435828	0.0283838	0.0207526	0.0154748	0.0104554	0.008816	0.00745268	0.0070554	0.00781234
a53	0.0901902	0.0844477	0.0705479	0.0725325	0.0663486	0.0758146	0.0960824	0.129897	0.0943974	0.0546369	0.0370131	0.0274626	0.0247449	0.0191064	0.0161337	0.0133455	0.0130301	0.0142685
a4	0.0535018	0.0618873	0.0718667	0.0767459	0.0827573	0.0864163	0.097806	0.124871	0.0948446	0.0657545	0.0440614	0.0327678	0.0251665	0.0168618	0.0143623	0.0141043	0.0155769	0.0206479
a53	0.0461617	0.0594652	0.0781128	0.0832761	0.0920609	0.0955485	0.103948	0.126758	0.0911469	0.0696728	0.0444388	0.030895	0.0209458	0.0123584	0.00983868	0.00988731	0.010826	0.0146586
