 	mon	neveu-ci	me	méprise	toujours	</S>
a23	0.318312	0.287378	0.150909	0.083974	0.0757921	0.083635
a79	0.586115	0.0905719	0.066717	0.0905125	0.0783745	0.0877092
a54	0.473929	0.17122	0.103721	0.0677734	0.0877808	0.0955753
a6	0.593164	0.228565	0.0848467	0.0241809	0.0369173	0.032326
a47	0.545206	0.238524	0.0913057	0.0387092	0.0410881	0.0451669
a37	0.498536	0.315898	0.080212	0.0366463	0.0322525	0.0364547
a26	0.526948	0.315179	0.0771697	0.0284158	0.0259501	0.0263377
a90	0.365028	0.321246	0.127056	0.0601835	0.0596268	0.06686
a25	0.216075	0.353984	0.162932	0.072297	0.0858835	0.108828
a98	0.191173	0.303958	0.143421	0.111509	0.115074	0.134865
a14	0.158507	0.302538	0.145371	0.128274	0.131736	0.133573
a56	0.0854623	0.235239	0.146777	0.153487	0.187391	0.191643
a96	0.144218	0.342599	0.162906	0.124194	0.107948	0.118136
a75	0.121166	0.297586	0.178055	0.165795	0.118538	0.118861
a73	0.0559029	0.136589	0.108189	0.185122	0.244899	0.2693
a69	0.0555453	0.131007	0.103925	0.198867	0.243017	0.267639
a20	0.0306501	0.0984859	0.089601	0.185575	0.267024	0.328664
a14	0.0160857	0.0455425	0.0451542	0.130608	0.289569	0.473041
a41	0.0163519	0.0402073	0.0543831	0.139006	0.30459	0.445462
a37	0.0136503	0.0423773	0.0621218	0.158767	0.321989	0.401094
a66	0.00642807	0.0263566	0.0406174	0.111439	0.323079	0.49208
a31	0.001685	0.00362041	0.00720155	0.0600583	0.309502	0.617932
a47	0.00315881	0.00696186	0.0148352	0.0628179	0.296084	0.616142
a75	0.00286518	0.00739032	0.0127457	0.0575562	0.267911	0.651531
a85	0.00408181	0.00511223	0.00959616	0.0370467	0.264532	0.679631
a73	0.00191359	0.00367257	0.0100872	0.0411232	0.300029	0.643175
a44	0.00289861	0.010442	0.0201578	0.0526491	0.28893	0.624923
a53	0.000666389	0.00335559	0.0109476	0.0480457	0.277976	0.659009
a93	0.00059845	0.00181286	0.00657105	0.0388067	0.268897	0.683314
a75	0.0021905	0.0044786	0.0110958	0.0524822	0.264919	0.664834
a47	0.00243983	0.00389314	0.00984581	0.0486182	0.288209	0.646994
a56	0.0015401	0.0034692	0.0106127	0.0506562	0.304973	0.628749
a70	0.00103739	0.00295208	0.0107335	0.0526168	0.284312	0.648349
a75	0.0015919	0.0038006	0.0112219	0.0559913	0.288864	0.63853
a30	0.00188356	0.00291411	0.00850121	0.0419205	0.258364	0.686416
a2	0.000921802	0.00204346	0.00692981	0.0353296	0.254462	0.700314
a57	0.0117956	0.0124316	0.0313465	0.0837234	0.31139	0.549312
a87	0.0619557	0.0799761	0.0946472	0.151869	0.258754	0.352798
a23	0.0751666	0.107488	0.0978484	0.153599	0.269479	0.296419
a10	0.0655941	0.0491208	0.065225	0.156431	0.300186	0.363443
a87	0.017644	0.0212017	0.0501265	0.126067	0.308511	0.476449
a23	0.0240639	0.0295106	0.0702298	0.133674	0.297714	0.444808
a87	0.0179461	0.0207399	0.055267	0.142795	0.328556	0.434696
</S>	0.0131064	0.0201832	0.0609279	0.126289	0.301667	0.477826
