 	il	a	trop	bu	il	est	ivre	</S>
a85	0.332099	0.270988	0.184716	0.0987487	0.050992	0.0264444	0.0185461	0.0174661
a87	0.311262	0.190371	0.183323	0.12975	0.0802343	0.0442933	0.02655	0.0342165
a23	0.161271	0.129706	0.123962	0.0878155	0.0807614	0.12005	0.122162	0.174272
a79	0.143941	0.105402	0.0940753	0.0758884	0.0853342	0.119909	0.1657	0.20975
a20	0.409863	0.29093	0.169094	0.0545885	0.027467	0.0182064	0.0137367	0.0161138
a84	0.308488	0.30094	0.211137	0.105607	0.0405759	0.0164484	0.00826058	0.00854314
a54	0.246429	0.288519	0.266245	0.12137	0.0414903	0.0171273	0.00996942	0.00884902
a76	0.207823	0.245902	0.246087	0.131379	0.0702858	0.0360654	0.0294901	0.0329686
a94	0.195507	0.230341	0.224224	0.115348	0.0694631	0.0472425	0.0508058	0.0670685
a26	0.222771	0.266141	0.247447	0.0988468	0.0467037	0.0330041	0.0371176	0.0479686
a76	0.221198	0.250498	0.228867	0.0917456	0.0434401	0.0384972	0.0532345	0.07252
a94	0.218134	0.236258	0.210651	0.0957237	0.0549493	0.0433368	0.0570052	0.0839417
a76	0.199796	0.226564	0.213726	0.115365	0.0695816	0.0488993	0.0544126	0.071655
a73	0.171679	0.168115	0.150441	0.10396	0.0886702	0.0802456	0.0942495	0.14264
a84	0.131919	0.135338	0.127296	0.103301	0.098918	0.092256	0.129199	0.181774
a87	0.0420589	0.0623152	0.092209	0.111484	0.141029	0.130358	0.178365	0.242181
a23	0.0314394	0.0357737	0.0470419	0.0723672	0.098512	0.129981	0.215644	0.369241
a20	0.0378542	0.0313012	0.0334684	0.0469983	0.0736455	0.119264	0.239922	0.417547
a4	0.025392	0.030734	0.0452473	0.0641812	0.10885	0.142579	0.217363	0.365654
a18	0.0713083	0.0754125	0.0793749	0.0809283	0.114578	0.163911	0.157314	0.257174
a20	0.0329948	0.0360763	0.0449146	0.0513634	0.101542	0.206504	0.207358	0.319247
a4	0.0199555	0.0189134	0.0201975	0.0331858	0.086453	0.160959	0.234655	0.425681
a20	0.0185473	0.0180003	0.018843	0.0294083	0.0780913	0.182062	0.24992	0.405128
a73	0.0112074	0.00931432	0.00940225	0.0145265	0.0511176	0.155667	0.280859	0.467907
a94	0.00785418	0.00633599	0.0066347	0.0136402	0.0665429	0.208753	0.286939	0.403299
a54	0.00390683	0.00324771	0.00337573	0.00558043	0.0314018	0.161746	0.312139	0.478602
a73	0.00931044	0.00715604	0.0074748	0.0122519	0.049994	0.192173	0.284257	0.437383
a94	0.00764657	0.00629577	0.0073413	0.013232	0.0559809	0.21888	0.292855	0.397768
a20	0.00458779	0.00346121	0.00385243	0.00775219	0.0357364	0.162735	0.28906	0.492815
a73	0.00347024	0.00336448	0.00435114	0.0101655	0.0420029	0.171165	0.314147	0.451335
a44	0.00420773	0.00414275	0.0059094	0.0111745	0.0416732	0.160683	0.306886	0.465323
a57	0.00388003	0.00314162	0.00347598	0.00674885	0.0297288	0.139384	0.296018	0.517623
a58	0.0054009	0.00437056	0.00455386	0.00703242	0.0212747	0.100142	0.279896	0.57733
a84	0.00888869	0.00715526	0.00707869	0.0115044	0.0295643	0.0900015	0.238528	0.607279
a57	0.00383084	0.00344036	0.00350088	0.00553707	0.0176951	0.0706235	0.222004	0.673368
a87	0.00703738	0.00546728	0.00524297	0.00924104	0.0265274	0.088023	0.281877	0.576584
</S>	0.0146353	0.00965865	0.0069057	0.00951425	0.0307324	0.106108	0.304866	0.517579
