 	le	chasseur	a	tué	la	civette	</S>
a85	0.354338	0.190839	0.134717	0.124703	0.0734258	0.080895	0.0410821
a87	0.311435	0.230565	0.183854	0.151802	0.0500021	0.0436718	0.0286692
a97	0.190135	0.213942	0.201853	0.152033	0.0950369	0.0794261	0.067574
a3	0.164966	0.154688	0.165304	0.176694	0.134503	0.13615	0.0676944
a97	0.202902	0.19733	0.201155	0.203015	0.09915	0.0700442	0.0264031
a3	0.215367	0.208254	0.200424	0.184443	0.0972608	0.0660321	0.0282188
a87	0.24267	0.243703	0.225001	0.177769	0.0574959	0.0351401	0.0182228
a23	0.196546	0.208003	0.213965	0.211238	0.0908264	0.0552727	0.024149
a93	0.267488	0.238171	0.206723	0.153821	0.0611347	0.047027	0.0256365
a13	0.247525	0.225271	0.213849	0.132036	0.0689616	0.0676789	0.0446785
a75	0.221921	0.207904	0.204209	0.168163	0.0910381	0.0730852	0.0336803
a21	0.192866	0.177688	0.171397	0.128051	0.102234	0.132091	0.0956733
a75	0.22601	0.213095	0.204143	0.156181	0.0777416	0.0769249	0.0459035
a73	0.201538	0.189182	0.184721	0.143574	0.0869081	0.101603	0.0924729
a44	0.117739	0.15198	0.179939	0.168138	0.104004	0.129744	0.148456
a93	0.101963	0.13103	0.162943	0.170769	0.118501	0.134165	0.180628
a34	0.0864056	0.098644	0.122659	0.144051	0.136138	0.137988	0.274115
a62	0.0607046	0.0672112	0.0838087	0.10258	0.171018	0.199472	0.315206
a88	0.0277784	0.0280352	0.0345344	0.0495527	0.167242	0.291791	0.401065
a24	0.0161797	0.0171346	0.0222726	0.0371017	0.138134	0.314558	0.454618
a62	0.0101236	0.0114207	0.0152789	0.0277346	0.139092	0.310087	0.486264
a21	0.00679641	0.00788884	0.0111626	0.0213814	0.11507	0.298845	0.538856
a41	0.00679035	0.00921246	0.0131798	0.0218584	0.110494	0.310481	0.527985
a36	0.00362183	0.00492058	0.00608799	0.0109187	0.0771662	0.204391	0.692893
a2	0.00453396	0.00599697	0.0072316	0.0127415	0.0738123	0.178073	0.717611
a57	0.0642819	0.0576559	0.0440405	0.0435707	0.0719882	0.133209	0.585254
a87	0.171642	0.13761	0.0939199	0.0720019	0.0733619	0.107536	0.343929
a23	0.169848	0.175432	0.139184	0.103738	0.0866637	0.108129	0.217005
a87	0.0375543	0.026672	0.0235778	0.033334	0.144149	0.228523	0.50619
</S>	0.00613808	0.00709088	0.0108149	0.0292988	0.164911	0.281648	0.500098
