 	cet	élève	a	porté	un	chapeau	pour	se	protéger	contre	le	soleil	</S>
a87	0.223383	0.145498	0.170723	0.143905	0.112695	0.0640431	0.0465839	0.0275661	0.0193856	0.0139239	0.0105414	0.0106064	0.0111451
a23	0.190021	0.0933106	0.0717528	0.0579008	0.0518969	0.0433791	0.0384716	0.0395627	0.0446423	0.0565352	0.0794719	0.115991	0.117065
a13	0.210322	0.19588	0.0934165	0.0650356	0.0519701	0.0277198	0.0226623	0.0252865	0.0324575	0.0386274	0.0540046	0.084757	0.0978616
a44	0.234236	0.116753	0.0761821	0.0637258	0.066122	0.0392537	0.036263	0.0410522	0.0515413	0.0548284	0.0609167	0.0758338	0.0832923
a54	0.407859	0.172187	0.133304	0.072082	0.0396852	0.0184289	0.013333	0.0146203	0.0159715	0.0195952	0.0251095	0.0320328	0.035792
a47	0.246973	0.191437	0.149739	0.0953797	0.0653661	0.0286001	0.0217694	0.0234898	0.0238997	0.0333496	0.0363647	0.0420397	0.0415915
a6	0.205821	0.252624	0.140533	0.0821433	0.0525907	0.0249211	0.0201148	0.0222929	0.0216361	0.0302932	0.03863	0.0516259	0.0567733
a85	0.204494	0.246801	0.143663	0.101568	0.071274	0.0355802	0.0240806	0.0215117	0.0190839	0.0240576	0.0281897	0.0376609	0.0420346
a5	0.203545	0.205402	0.133159	0.0984473	0.0703478	0.0466175	0.0297226	0.0241207	0.0215564	0.0263151	0.0346463	0.0485754	0.0575449
a21	0.261769	0.219274	0.129636	0.100027	0.0741095	0.0468758	0.0307935	0.0227677	0.0184982	0.0204484	0.021257	0.0258047	0.0287394
a5	0.189475	0.211193	0.132643	0.114066	0.0853271	0.0586989	0.0378865	0.0275596	0.0216324	0.0239093	0.0264414	0.0330424	0.0381252
a18	0.164273	0.205517	0.133373	0.115189	0.0872794	0.0626705	0.0406428	0.0299577	0.0237878	0.0257086	0.0291013	0.036982	0.0455185
a25	0.0854597	0.188393	0.129436	0.13658	0.128812	0.0818112	0.0437815	0.0298426	0.0264774	0.0289191	0.0325267	0.0404251	0.0475343
a76	0.0461294	0.119177	0.0772061	0.0908798	0.109777	0.104129	0.0643304	0.0462541	0.048041	0.0523587	0.0620592	0.080805	0.098853
a92	0.0502465	0.0804265	0.0704521	0.0840184	0.0912512	0.0994588	0.0682242	0.0560773	0.0530005	0.0581071	0.0681727	0.0885116	0.132053
a90	0.0451182	0.0579779	0.0485077	0.0545541	0.060473	0.0789183	0.0657818	0.0653137	0.0696733	0.0816087	0.0955137	0.114604	0.161955
a98	0.0418656	0.0567299	0.0569894	0.0787148	0.10342	0.126255	0.0807035	0.0585128	0.0523116	0.0590205	0.0712185	0.0919328	0.122325
a85	0.0363687	0.045431	0.0430139	0.0593104	0.079663	0.103387	0.0754139	0.0659476	0.0632605	0.0724398	0.0853999	0.107509	0.162855
a75	0.0418584	0.0437096	0.0471604	0.0592458	0.0725495	0.0990337	0.0753303	0.0671262	0.0642919	0.0738844	0.0899277	0.106945	0.158937
a85	0.0344916	0.0323804	0.0323624	0.0477983	0.0682318	0.101894	0.0769714	0.0700776	0.0676841	0.0832578	0.103911	0.121284	0.159656
a5	0.0405548	0.0312177	0.0302004	0.0337435	0.041667	0.0681885	0.0556831	0.055621	0.0568814	0.0744687	0.115339	0.154093	0.242342
a66	0.055906	0.0441646	0.0418805	0.0520404	0.0602318	0.0847151	0.064054	0.0633599	0.0626421	0.0756561	0.0955289	0.119533	0.180288
a53	0.0135794	0.0163606	0.0134159	0.0188298	0.030485	0.0527341	0.0483474	0.0537747	0.0699242	0.0839309	0.12116	0.186813	0.290645
a75	0.00907329	0.0106662	0.00917665	0.0148196	0.0293535	0.0638318	0.0671683	0.0818489	0.0994012	0.113113	0.127756	0.161921	0.211871
a66	0.0232821	0.0238842	0.0217024	0.0303748	0.0492881	0.0802945	0.0728821	0.074472	0.0788093	0.0918941	0.11102	0.14052	0.201576
a38	0.00359042	0.00417943	0.00348048	0.00566128	0.0106261	0.0245571	0.0291886	0.0452016	0.0747581	0.0997246	0.157389	0.237846	0.303798
a24	0.0031009	0.00229238	0.00193963	0.00317377	0.00671455	0.018795	0.0288575	0.043301	0.063843	0.0951111	0.164674	0.255988	0.312209
a11	0.00162567	0.00161234	0.00167442	0.00311093	0.00580803	0.0174371	0.0223373	0.0333462	0.0511609	0.0734017	0.15098	0.271394	0.366112
a62	0.0014375	0.00109319	0.00134748	0.00255287	0.00572427	0.018855	0.0263531	0.0373156	0.0595649	0.0844665	0.15785	0.262957	0.340482
