 	mes	beaux-parents	et	moi	nous	sommes	séparés	hier	sans	se	dire	au	revoir	</S>
a66	0.071092	0.0608939	0.0536407	0.0708351	0.0934065	0.131428	0.12971	0.154071	0.128073	0.0659768	0.0271714	0.00657416	0.00394657	0.00318032
a87	0.153578	0.0686857	0.0553373	0.0573103	0.0690999	0.115756	0.102305	0.0925844	0.0928488	0.0650781	0.0514725	0.0259596	0.0246428	0.0253419
a23	0.241694	0.102896	0.0726008	0.0638745	0.0642416	0.0826454	0.0681225	0.0553216	0.0586146	0.0511755	0.0534617	0.0316005	0.0254269	0.0283246
a97	0.198515	0.124983	0.0749459	0.0745675	0.0786294	0.0907647	0.0707401	0.0435898	0.0512272	0.0480312	0.0455286	0.0397901	0.0292734	0.0294143
a83	0.168368	0.143741	0.0828782	0.0798232	0.0791155	0.0958129	0.0724882	0.0491501	0.0545551	0.0507003	0.0448817	0.0350566	0.023499	0.0199303
a88	0.178696	0.166347	0.0819551	0.0782754	0.0600917	0.0693799	0.0404405	0.0402803	0.0627181	0.0675407	0.0734186	0.0355009	0.0240856	0.0212708
a0	0.241179	0.232514	0.0946563	0.0713263	0.0460587	0.0474417	0.0384062	0.0268669	0.0381673	0.0431621	0.059836	0.0297054	0.019076	0.0116042
a47	0.199477	0.213288	0.0968076	0.0755901	0.0502747	0.0463064	0.0408764	0.0263869	0.0344258	0.0396496	0.0660436	0.0464158	0.0390548	0.0254032
a75	0.221627	0.173535	0.0836546	0.0707901	0.0536944	0.0518175	0.0508268	0.0306722	0.039152	0.0406974	0.0667288	0.045313	0.0428684	0.0286225
a47	0.117214	0.13326	0.0829497	0.0798528	0.065345	0.062343	0.0657902	0.0520917	0.0618987	0.0607493	0.0866716	0.0490002	0.0461412	0.0366927
a56	0.0751987	0.1059	0.101207	0.118983	0.0997018	0.077921	0.0699418	0.0452675	0.0511997	0.0454855	0.0656403	0.0407309	0.0496848	0.0531394
a90	0.103169	0.129989	0.121203	0.136259	0.112759	0.087977	0.0840942	0.0475473	0.0425299	0.032442	0.0342831	0.0220097	0.023489	0.0222487
a92	0.0863173	0.118234	0.113247	0.124975	0.10877	0.092461	0.0934985	0.0613091	0.0521825	0.0373073	0.0335165	0.0224457	0.0268865	0.02885
a21	0.0436888	0.0927483	0.10038	0.11479	0.0969952	0.0804681	0.10874	0.0784205	0.0706953	0.0525343	0.0447911	0.0317814	0.0385961	0.0453697
a5	0.0373548	0.0816368	0.0966544	0.109792	0.0938819	0.0790446	0.137511	0.108355	0.0808244	0.0545872	0.0363023	0.0263389	0.0267188	0.0309988
a23	0.0139837	0.0510417	0.0904617	0.118033	0.105141	0.0789563	0.140548	0.114445	0.0812639	0.054667	0.035063	0.0312068	0.0366499	0.0485392
a75	0.00759636	0.0332115	0.0904249	0.133611	0.124623	0.0724414	0.125994	0.087428	0.0507792	0.0294994	0.0207223	0.028926	0.0609369	0.133807
a92	0.0072068	0.031279	0.0668524	0.0969726	0.0951298	0.0583841	0.122083	0.0865179	0.0520884	0.0361006	0.0314094	0.0622118	0.0932513	0.160513
a37	0.00758012	0.0302069	0.0690669	0.102504	0.109211	0.069112	0.146038	0.107942	0.0597385	0.0374837	0.0279985	0.044258	0.0663427	0.122518
a34	0.00704672	0.022268	0.0572294	0.0892576	0.099345	0.0607195	0.138775	0.118825	0.0710711	0.0438468	0.0313474	0.04236	0.0680852	0.149823
a62	0.00569699	0.0192038	0.0461107	0.0742355	0.0829803	0.0500056	0.135611	0.126842	0.0811873	0.0538553	0.0422403	0.0514267	0.0752546	0.15535
a88	0.00849813	0.0213665	0.0421512	0.0665929	0.0780759	0.0501718	0.106807	0.114553	0.0865691	0.0618105	0.0562355	0.0591948	0.0811524	0.16682
a0	0.00777839	0.0177585	0.033582	0.0549524	0.0698377	0.0460312	0.093898	0.0944532	0.0730849	0.0580451	0.0616656	0.0889326	0.104969	0.195011
a47	0.00769354	0.0156682	0.031207	0.0519409	0.066622	0.0455347	0.0863945	0.0917432	0.075891	0.0648488	0.0678074	0.0985472	0.10991	0.186192
a88	0.00842212	0.0159879	0.0309747	0.0468685	0.060473	0.0395156	0.077365	0.0768579	0.0625381	0.0543107	0.0553127	0.0940866	0.12141	0.255877
