 	il	est	dans	l'	atelier	de	menuiserie	</S>
a23	0.268913	0.23024	0.195751	0.167406	0.0747308	0.0223849	0.0122289	0.0283446
a53	0.475315	0.235615	0.133098	0.0911615	0.0331345	0.01089	0.00741612	0.0133701
a15	0.337588	0.21167	0.122033	0.0688271	0.102071	0.0495982	0.0494554	0.058757
a73	0.299271	0.255708	0.173872	0.0948158	0.102205	0.04077	0.0201569	0.0132012
a44	0.234857	0.230309	0.190576	0.14795	0.112668	0.047931	0.0215901	0.0141189
a26	0.170816	0.204392	0.197938	0.159923	0.117972	0.0783098	0.0420153	0.0286329
a27	0.138662	0.181288	0.205109	0.190247	0.105249	0.0866531	0.0537954	0.0389969
a11	0.0861119	0.105944	0.149774	0.201492	0.135617	0.145169	0.106556	0.069337
a0	0.0686583	0.0855833	0.140038	0.210567	0.146913	0.147249	0.1103	0.0906925
a11	0.100209	0.109024	0.159692	0.22923	0.137274	0.11614	0.0776655	0.0707659
a54	0.100826	0.103018	0.148675	0.250701	0.162116	0.112516	0.0641019	0.0580455
a73	0.0421179	0.0466496	0.0567753	0.0782665	0.108003	0.19785	0.261439	0.208899
a44	0.0774627	0.0733044	0.101209	0.169969	0.165919	0.144955	0.136819	0.130362
a84	0.0584707	0.0496936	0.0665743	0.152596	0.204239	0.189612	0.161079	0.117736
a40	0.0495968	0.0404512	0.0505062	0.127085	0.247671	0.18344	0.142377	0.158871
a98	0.0160241	0.0154988	0.0177397	0.0309911	0.0746288	0.16694	0.337716	0.340461
a73	0.0218795	0.019072	0.0200912	0.0358149	0.0916445	0.186258	0.332384	0.292856
a44	0.0252351	0.018698	0.0204719	0.0370829	0.126005	0.187741	0.291921	0.292845
a26	0.0393669	0.0271493	0.0293068	0.0572013	0.155502	0.19031	0.261711	0.239452
a54	0.0522076	0.0303668	0.0270528	0.0472882	0.126102	0.151726	0.206133	0.359123
a73	0.0270049	0.0176978	0.0187938	0.0352586	0.12055	0.153101	0.269769	0.357825
a44	0.0196047	0.0121961	0.0125386	0.0254672	0.120708	0.187214	0.30007	0.322201
a76	0.0206896	0.013116	0.0143183	0.0282299	0.106578	0.17962	0.307013	0.330435
a90	0.0455257	0.0280734	0.0263738	0.0506985	0.151126	0.166446	0.230484	0.301272
a32	0.0327081	0.0216441	0.0226683	0.0402001	0.122206	0.168152	0.247231	0.345191
a54	0.0395858	0.0238815	0.0236528	0.0419224	0.136526	0.195425	0.26738	0.271627
a73	0.0278618	0.016738	0.0181234	0.0379034	0.122082	0.166229	0.239989	0.371073
a56	0.0146535	0.00820609	0.00760284	0.0166265	0.103449	0.168021	0.263982	0.417459
a98	0.0149892	0.00917798	0.00927434	0.0197688	0.0988876	0.166131	0.301935	0.379837
a73	0.0323791	0.0175542	0.0160295	0.0334277	0.106383	0.166126	0.269269	0.358832
a44	0.0125294	0.00649595	0.00550736	0.0125669	0.0870304	0.141321	0.257675	0.476873
a58	0.0118317	0.00578809	0.00547592	0.0118599	0.0775257	0.148363	0.315816	0.42334
a98	0.0117913	0.00446576	0.00340185	0.00643853	0.0393396	0.0765692	0.209699	0.648295
a73	0.0352884	0.0143509	0.011025	0.016739	0.059866	0.112038	0.264258	0.486434
a25	0.0105181	0.00485952	0.00418978	0.00855067	0.0417545	0.0864923	0.222588	0.621047
a73	0.00760934	0.00438712	0.00419854	0.00797938	0.0508409	0.102594	0.246494	0.575897
a84	0.00738716	0.00495264	0.00540593	0.0107039	0.0590502	0.100222	0.208048	0.60423
a82	0.00295493	0.00182319	0.00176931	0.00322781	0.0153761	0.0296236	0.0801262	0.865099
a87	0.00523225	0.00265608	0.00180762	0.00238954	0.0105033	0.0228216	0.0793028	0.875287
</S>	0.00908433	0.00437556	0.00343297	0.00451471	0.0180116	0.0365691	0.120714	0.803298
