 	débarrasse	cette	cendre-là	</S>
a66	0.539399	0.246402	0.120843	0.0933564
a87	0.599946	0.261196	0.0850765	0.0537811
a23	0.672674	0.248188	0.0475777	0.0315599
a18	0.756519	0.142915	0.0521974	0.0483684
a82	0.68208	0.147078	0.0965064	0.0743359
a38	0.55974	0.193502	0.14638	0.100378
a90	0.362081	0.238397	0.234953	0.164569
a79	0.282066	0.262964	0.278865	0.176104
a98	0.177598	0.215032	0.306598	0.300773
a47	0.178363	0.208633	0.299562	0.313442
a15	0.0490799	0.123404	0.35756	0.469956
a44	0.0172766	0.0610171	0.337582	0.584124
a43	0.00679334	0.0480719	0.290186	0.654949
a93	0.00395718	0.0227554	0.190414	0.782873
a44	0.0021451	0.00884242	0.127257	0.861755
a93	0.00308519	0.0108663	0.119805	0.866244
a94	0.00227178	0.0125827	0.140855	0.844291
a90	0.0114468	0.045234	0.224287	0.719033
a70	0.00413198	0.0258802	0.164468	0.805519
a13	0.0130808	0.0488415	0.224429	0.713649
a57	0.067844	0.0960566	0.28368	0.55242
a3	0.20497	0.123578	0.221389	0.450064
a87	0.354428	0.276572	0.189791	0.179209
a23	0.294434	0.268067	0.226503	0.210996
a87	0.138379	0.17089	0.24537	0.44536
</S>	0.0547186	0.0848068	0.229021	0.631453
