 	je	partirai	après	vous	</S>
a23	0.475236	0.299434	0.124792	0.0631358	0.0374016
a85	0.454956	0.253534	0.131428	0.0949674	0.0651142
a87	0.354532	0.274931	0.17679	0.109933	0.0838151
a23	0.280449	0.272571	0.216934	0.143253	0.0867932
a57	0.186024	0.297888	0.253467	0.163211	0.0994094
a20	0.18953	0.305761	0.268715	0.155676	0.0803189
a56	0.251542	0.355563	0.254187	0.096516	0.0421914
a24	0.186716	0.313624	0.314371	0.136186	0.0491023
a32	0.222785	0.234966	0.236061	0.185394	0.120794
a38	0.188813	0.199687	0.228776	0.210029	0.172696
a76	0.110326	0.122608	0.217733	0.277012	0.272321
a94	0.142805	0.127716	0.209939	0.273101	0.246439
a20	0.0673242	0.0804691	0.172547	0.312024	0.367636
a94	0.0412861	0.0453816	0.123949	0.3242	0.465183
a54	0.0193571	0.0248778	0.0912503	0.31254	0.551975
a73	0.00825485	0.0108611	0.0515941	0.253405	0.675885
a26	0.0171106	0.0196709	0.0594648	0.227544	0.67621
a24	0.00764714	0.0115865	0.0367848	0.15479	0.789191
a98	0.0104531	0.0170585	0.0468089	0.178212	0.747468
a9	0.016575	0.0268136	0.0703412	0.219578	0.666692
a87	0.0428422	0.0551855	0.0762123	0.188282	0.637478
</S>	0.0519834	0.0759171	0.0933087	0.217553	0.561238
