 	cela	lui	a	fait	du	bien	</S>
a23	0.353533	0.206745	0.132312	0.0837118	0.0693701	0.0742171	0.0801105
a85	0.429847	0.233312	0.14432	0.0700131	0.0391903	0.0362566	0.0470616
a87	0.378932	0.235063	0.122638	0.0597999	0.0433927	0.0557335	0.104441
a23	0.351302	0.258097	0.180285	0.0842244	0.0404082	0.0360357	0.0496484
a79	0.344053	0.195411	0.117813	0.0627729	0.0536056	0.0820245	0.14432
a41	0.449339	0.208584	0.0977162	0.0476841	0.0432399	0.0613197	0.0921171
a18	0.397986	0.273276	0.165085	0.0792921	0.0350359	0.0250449	0.0242794
a25	0.349015	0.263916	0.17737	0.0938317	0.0454804	0.0344782	0.0359093
a11	0.218825	0.215304	0.194994	0.152463	0.0900957	0.0642255	0.0640925
a62	0.219319	0.217225	0.191665	0.147084	0.0907081	0.0669779	0.0670207
a12	0.242305	0.229262	0.186553	0.13903	0.0898738	0.0612537	0.0517225
a94	0.219465	0.230483	0.193148	0.142173	0.0931677	0.0652882	0.0562744
a90	0.18605	0.217067	0.204817	0.156179	0.0997429	0.0713047	0.0648394
a76	0.157606	0.19649	0.209126	0.17896	0.115492	0.0744602	0.067867
a90	0.153254	0.152511	0.149147	0.150714	0.144969	0.124448	0.124958
a71	0.173656	0.162514	0.155437	0.154531	0.14548	0.108822	0.0995594
a10	0.0931831	0.0956577	0.101846	0.122131	0.169031	0.199205	0.218946
a11	0.0364295	0.0364824	0.0404201	0.0591631	0.125212	0.252707	0.449586
a75	0.0293067	0.0269575	0.0283416	0.0420351	0.0996228	0.246723	0.527013
a41	0.02236	0.0198904	0.0197429	0.0340866	0.101243	0.269307	0.53337
a27	0.00891708	0.00895726	0.0113177	0.0262395	0.0959316	0.285226	0.563411
a25	0.00813624	0.00705437	0.00748479	0.0121145	0.0444599	0.202487	0.718264
a87	0.00913876	0.00677614	0.00659989	0.0100198	0.0391667	0.188559	0.73974
</S>	0.0087908	0.00809364	0.0120756	0.0273085	0.10476	0.276669	0.562303
