 	j'	irai	acheter	des	hameçons	au	marché	</S>
a66	0.339313	0.35079	0.184393	0.0602524	0.0290479	0.0153679	0.0120533	0.00878207
a87	0.55216	0.32771	0.0776302	0.0211636	0.00936362	0.00439048	0.00446046	0.00312199
a23	0.593053	0.232482	0.0771425	0.0378315	0.020549	0.0110174	0.0138972	0.0140272
a83	0.223924	0.162963	0.0804379	0.0860285	0.109791	0.107415	0.124904	0.104537
a75	0.242399	0.248517	0.100371	0.0690619	0.0864299	0.0716137	0.090747	0.0908606
a5	0.210849	0.245152	0.27592	0.128796	0.0550538	0.0267761	0.026798	0.0306554
a37	0.112117	0.219714	0.307593	0.254814	0.0861483	0.0087398	0.006185	0.00468896
a75	0.128388	0.224983	0.279377	0.256188	0.0828083	0.0143458	0.00811888	0.00579177
a43	0.103278	0.223679	0.373104	0.224809	0.0578704	0.00958941	0.00453997	0.00312917
a75	0.0968691	0.147141	0.263384	0.259121	0.128332	0.0576705	0.0284644	0.0190181
a92	0.0550081	0.0590033	0.160916	0.254907	0.224612	0.127381	0.0675654	0.0506071
a98	0.0351209	0.0382369	0.119824	0.223116	0.253325	0.15971	0.093663	0.0770047
a79	0.0251939	0.0197509	0.0779126	0.24575	0.362745	0.151305	0.0722357	0.045107
a44	0.00688378	0.00351459	0.0166866	0.0883638	0.285721	0.319755	0.174619	0.104456
a75	0.00195903	0.000866596	0.00245544	0.0158764	0.117808	0.325823	0.28132	0.253891
a92	0.000223071	0.000136072	0.000538374	0.00489739	0.0575542	0.295972	0.316196	0.324483
a37	0.000104431	5.79996e-05	0.000222108	0.0020643	0.0268876	0.197952	0.314503	0.458209
a27	0.000101722	5.16877e-05	0.000202917	0.00220802	0.0162959	0.149026	0.303689	0.528425
a82	0.00172469	0.00120968	0.00180032	0.00498047	0.0160129	0.0963234	0.266259	0.61169
a87	0.129816	0.0476148	0.0570257	0.0456444	0.0444265	0.0870604	0.160159	0.428253
a23	0.567336	0.154331	0.0907967	0.0488713	0.0354552	0.02493	0.0265669	0.0517126
a87	0.149672	0.0310365	0.0216431	0.0333977	0.109581	0.202613	0.158619	0.293437
</S>	0.0167729	0.00431979	0.003507	0.00842057	0.0676667	0.290439	0.258387	0.350487
