 	qui	est	ce	qui	a	déshabillé	le	voleur	</S>
a66	0.139416	0.136952	0.177287	0.222277	0.208739	0.088336	0.014665	0.00636217	0.00596679
a87	0.459627	0.222392	0.129446	0.0626872	0.0469296	0.0337343	0.0177338	0.0134438	0.014007
a23	0.453984	0.231087	0.155728	0.0794596	0.0383308	0.0184239	0.00773023	0.00671198	0.0085441
a87	0.429535	0.195524	0.134212	0.0876259	0.044669	0.0295047	0.0194821	0.0258053	0.0336417
a23	0.379861	0.198622	0.162862	0.115566	0.0433349	0.0294777	0.0195377	0.0227756	0.0279637
a79	0.338158	0.155787	0.126226	0.100988	0.0559566	0.0338937	0.0407416	0.0632169	0.0850317
a56	0.360695	0.187811	0.144888	0.114373	0.0601308	0.0273124	0.0201148	0.0367483	0.0479269
a5	0.414147	0.250464	0.144265	0.087395	0.0500223	0.0234837	0.00954663	0.00947174	0.0112041
a47	0.23018	0.190406	0.161994	0.144568	0.100053	0.0866229	0.0357977	0.0242187	0.0261598
a5	0.137182	0.128797	0.171013	0.193806	0.12257	0.127383	0.0541255	0.0336724	0.0314508
a61	0.0964958	0.11458	0.162447	0.197126	0.151337	0.167168	0.0516537	0.0299917	0.0292006
a88	0.0784894	0.101917	0.162126	0.230642	0.15977	0.158305	0.0457309	0.0319909	0.0310294
a61	0.0620101	0.0930212	0.147058	0.19829	0.133362	0.164254	0.0741595	0.0600267	0.0678191
a56	0.0433631	0.075882	0.13567	0.199787	0.162043	0.19221	0.0747863	0.0569031	0.0593562
a94	0.0259714	0.0489627	0.104438	0.198393	0.202442	0.20526	0.0911012	0.0640304	0.0594015
a43	0.0205701	0.0382941	0.0826291	0.155487	0.176748	0.226462	0.122474	0.0873727	0.0899639
a37	0.0281495	0.0404289	0.0742887	0.131349	0.158499	0.191609	0.131568	0.117713	0.126394
a5	0.0278638	0.0359691	0.0600605	0.108634	0.162451	0.183069	0.130256	0.136804	0.154892
a56	0.00856776	0.0123124	0.0207024	0.0496606	0.0998713	0.159606	0.187906	0.210091	0.251283
a93	0.0070591	0.0117057	0.0219035	0.0551537	0.121245	0.185996	0.235028	0.186304	0.175605
a70	0.00790379	0.0131451	0.0245089	0.0558781	0.112759	0.170809	0.232903	0.201904	0.180189
a13	0.00497684	0.00703027	0.0111534	0.0223359	0.0436837	0.103317	0.228694	0.283193	0.295616
a83	0.00534746	0.00681332	0.00963832	0.0152369	0.0237243	0.0440997	0.166045	0.350711	0.378385
a50	0.00157852	0.00216876	0.00334299	0.00678786	0.0142868	0.0372548	0.148007	0.350357	0.436216
a83	0.0013035	0.0016933	0.00262014	0.00496017	0.00737618	0.0186043	0.100958	0.331971	0.530514
a43	0.00036086	0.000521435	0.000903941	0.00207921	0.0045773	0.0168737	0.0925502	0.312556	0.569577
a38	0.000802299	0.000982505	0.00130347	0.00205814	0.00313787	0.00858991	0.0739335	0.307461	0.601731
a75	0.00351924	0.00332247	0.00353781	0.00450737	0.00604455	0.0141946	0.100739	0.29974	0.564395
a85	0.00020289	0.000269429	0.000397414	0.000839284	0.00266443	0.0193704	0.112997	0.295142	0.568117
a92	0.000121652	0.000143778	0.000177357	0.000362787	0.00141268	0.0114513	0.0907322	0.276932	0.618666
a37	0.000177073	0.000207333	0.000238845	0.000470679	0.00173111	0.0146871	0.0978465	0.277834	0.606807
a85	0.000717548	0.000807669	0.000903843	0.00159253	0.00381137	0.0172025	0.0872296	0.249942	0.637793
a5	0.000146857	0.000177518	0.000183518	0.000321573	0.00140114	0.0125941	0.0948641	0.263517	0.626794
a12	0.000362878	0.000402798	0.000436258	0.000801411	0.00250184	0.0127989	0.0968379	0.27657	0.609288
a61	0.000679964	0.000712917	0.000771329	0.001173	0.00240734	0.00934971	0.0756406	0.255527	0.653738
a47	0.000972821	0.0010232	0.00110176	0.00168228	0.00313371	0.0108187	0.0723819	0.253716	0.655169
a96	0.000607617	0.000791716	0.00115262	0.00249428	0.00643168	0.0218358	0.100956	0.273446	0.592285
a88	0.000676967	0.000744291	0.000887507	0.00165727	0.0039528	0.0132534	0.0732194	0.260423	0.645185
a18	0.000972655	0.00105814	0.00110727	0.00190042	0.00434464	0.0139064	0.0658609	0.243776	0.667074
a27	0.00512656	0.00472063	0.00409233	0.00490901	0.00939392	0.0178891	0.0721874	0.232583	0.649098
a30	0.104476	0.0656456	0.0412561	0.0330068	0.0572758	0.0834963	0.111436	0.174391	0.329017
a87	0.214581	0.115471	0.0735762	0.0461281	0.060987	0.0569057	0.0748992	0.129086	0.228366
a23	0.286815	0.142843	0.0985361	0.0598862	0.0760457	0.0496668	0.0502893	0.0813857	0.154532
a87	0.230102	0.120705	0.066503	0.0382903	0.0436662	0.0327039	0.0616856	0.129558	0.276786
a23	0.0407154	0.0244467	0.0183899	0.015855	0.0337797	0.0508504	0.126643	0.228914	0.460406
a87	0.0765971	0.0510209	0.0373266	0.0364921	0.0682597	0.0764299	0.120789	0.18748	0.345605
</S>	0.0445037	0.0317123	0.0246778	0.0227314	0.0456574	0.0579188	0.127447	0.217416	0.427935
