 	les	enfants	sont	accourus	ici	</S>
a23	0.576738	0.17972	0.073318	0.0911165	0.0464333	0.0326747
a40	0.336406	0.216201	0.123651	0.15824	0.0959207	0.0695808
a35	0.43687	0.228121	0.164482	0.113272	0.0384658	0.0187893
a14	0.466104	0.26175	0.161061	0.0824593	0.0197947	0.00883161
a35	0.382192	0.29645	0.194399	0.0853019	0.0262441	0.0154124
a38	0.320892	0.309161	0.218761	0.0970256	0.0342041	0.0199552
a47	0.239172	0.285928	0.256863	0.131356	0.0542639	0.0324177
a24	0.11305	0.207519	0.285271	0.220162	0.109538	0.0644591
a98	0.162477	0.198362	0.188311	0.189171	0.154797	0.106882
a83	0.037163	0.0902898	0.166873	0.25172	0.28274	0.171215
a62	0.0473201	0.0863303	0.133967	0.218686	0.281549	0.232147
a35	0.0207606	0.0308442	0.052363	0.172731	0.354248	0.369054
a98	0.0122067	0.0191664	0.0371507	0.144654	0.390916	0.395907
a14	0.00575414	0.009315	0.0219311	0.121234	0.412978	0.428788
a30	0.00877586	0.0123493	0.0257871	0.136248	0.429642	0.387197
a57	0.00819905	0.0109088	0.019778	0.109534	0.413258	0.438322
a87	0.00272744	0.00490424	0.0140346	0.0745549	0.327551	0.576228
a23	0.0119693	0.0207034	0.0343161	0.0995228	0.290889	0.542599
a87	0.0588615	0.0776309	0.0916879	0.164249	0.262939	0.344631
</S>	0.024609	0.0325695	0.0526159	0.140568	0.387634	0.362003
