 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
a23	0.182842	0.122095	0.0815055	0.0697941	0.081719	0.074874	0.136797	0.0316125	0.034648	0.0433362	0.0461019	0.0476074	0.0470674
a79	0.208196	0.106962	0.0716185	0.0786491	0.0774705	0.0663603	0.0956987	0.0644336	0.0558407	0.0412605	0.0392169	0.0394365	0.0548572
a20	0.245272	0.177989	0.107667	0.079775	0.0627407	0.041463	0.0749451	0.0384809	0.0309335	0.0256804	0.0235863	0.0370852	0.0543822
a73	0.484271	0.234571	0.105278	0.0419901	0.0212468	0.0207599	0.0520793	0.00955751	0.00623343	0.00552648	0.00496843	0.00652708	0.00699061
a44	0.277266	0.173791	0.12349	0.0750856	0.0489743	0.0589018	0.148656	0.0323655	0.0180136	0.0123284	0.00981197	0.0101009	0.0112156
a94	0.140465	0.120867	0.11892	0.0877263	0.0761146	0.0935842	0.173366	0.0563594	0.0346203	0.0253329	0.0221111	0.0239143	0.0266187
a9	0.0986254	0.106477	0.134253	0.104955	0.0978889	0.117542	0.166672	0.0519513	0.0325303	0.0225531	0.0200445	0.0218357	0.0246717
a87	0.121852	0.115447	0.138878	0.105195	0.095457	0.118093	0.141046	0.0486386	0.0318667	0.0212486	0.0195317	0.0208175	0.0219292
a23	0.127866	0.105153	0.112175	0.094891	0.0807084	0.0958075	0.107071	0.0639719	0.0482643	0.0337722	0.0363446	0.0450931	0.0488827
a10	0.0429935	0.0364293	0.0440821	0.0501323	0.0629867	0.0805391	0.0885307	0.104081	0.091538	0.0702818	0.0776384	0.114798	0.135969
a75	0.0871833	0.0735535	0.0787821	0.0847831	0.0839805	0.0967855	0.116828	0.0920143	0.071145	0.0454952	0.0430637	0.0569968	0.0693892
a73	0.0581102	0.0636419	0.0828027	0.0822117	0.0964952	0.117102	0.16063	0.0903812	0.0632602	0.0487337	0.0440298	0.0470362	0.0455645
a84	0.0756407	0.0855911	0.107506	0.105166	0.104583	0.117035	0.152039	0.0765778	0.0537891	0.0402312	0.0308685	0.0269116	0.0240599
a57	0.0486258	0.0519254	0.0668691	0.0995453	0.122027	0.137284	0.139349	0.094544	0.073574	0.0453809	0.0361721	0.0381512	0.0465521
a87	0.031623	0.0290734	0.0362753	0.0755359	0.114235	0.147398	0.175696	0.120646	0.087453	0.0478938	0.0357096	0.0410811	0.0573797
a79	0.0566854	0.048353	0.0484082	0.0807832	0.105846	0.116491	0.150655	0.0941333	0.0765177	0.0650363	0.0510462	0.0499379	0.0561061
a20	0.0218218	0.0190393	0.0217678	0.0352133	0.0474065	0.0589219	0.103692	0.110551	0.0948304	0.0967416	0.0977023	0.132374	0.159939
a4	0.046273	0.0490584	0.0610694	0.0848377	0.114964	0.138032	0.171844	0.0683286	0.0493243	0.0436147	0.0473356	0.0619525	0.0633661
a13	0.0533637	0.053581	0.0634546	0.0888909	0.110998	0.130175	0.167016	0.0848479	0.0616438	0.0449531	0.0419265	0.0493152	0.0498339
a38	0.039425	0.0375867	0.0457881	0.0758682	0.1075	0.126033	0.167737	0.103919	0.0816902	0.0578817	0.0522452	0.052167	0.0521592
a75	0.0358027	0.0316055	0.0371611	0.0580727	0.09664	0.117665	0.187006	0.0989744	0.0792947	0.0578139	0.0581646	0.0680825	0.0737174
a56	0.0235488	0.0264177	0.0373256	0.0473623	0.0901968	0.110888	0.143265	0.0907742	0.080605	0.0683021	0.078393	0.0979348	0.104987
a75	0.0201294	0.0202788	0.0256519	0.034665	0.0727178	0.100086	0.166336	0.115642	0.104421	0.0848406	0.0829433	0.0848256	0.0874624
a73	0.018797	0.0219966	0.0319416	0.0395734	0.0833591	0.107736	0.140116	0.102216	0.0935292	0.0765659	0.0827936	0.0971581	0.104218
a94	0.00974445	0.0123583	0.0178087	0.0291086	0.0715983	0.0887273	0.116563	0.120198	0.122002	0.106003	0.0969237	0.101305	0.107659
a69	0.0123386	0.0117391	0.0149007	0.0225444	0.051152	0.0735343	0.10974	0.127143	0.129957	0.106159	0.104857	0.113701	0.122234
a57	0.0135877	0.014339	0.0178642	0.0254486	0.0493925	0.0663294	0.0945203	0.104301	0.114006	0.0983111	0.113233	0.135588	0.15308
a54	0.00764305	0.00759751	0.00974622	0.0164786	0.0396011	0.0546078	0.0874174	0.120176	0.125622	0.111852	0.118734	0.139423	0.1611
a44	0.0149862	0.0168484	0.0213469	0.0282989	0.0514847	0.0614665	0.0852812	0.0902272	0.102061	0.0964136	0.110774	0.144411	0.176401
a11	0.0107637	0.0110087	0.0131966	0.0200431	0.0394935	0.0479198	0.0809111	0.0965928	0.115733	0.113582	0.127673	0.14959	0.173493
a94	0.0128305	0.0103518	0.00994265	0.0139627	0.0274213	0.0341022	0.0659745	0.0916252	0.114326	0.128087	0.145311	0.163422	0.182644
a44	0.0210147	0.0169615	0.0166983	0.0216006	0.0354362	0.0415537	0.0622381	0.0775541	0.0953855	0.106117	0.129714	0.16665	0.209076
