 	cet	homme	qui	arrive	a	le	pouvoir	mystique	d'	abattre	les	éléphants	</S>
a66	0.135659	0.119813	0.100202	0.102983	0.108665	0.116755	0.113537	0.09905	0.0503845	0.025815	0.0125763	0.00757115	0.00698908
a87	0.0876406	0.0854086	0.0778646	0.086598	0.106286	0.103393	0.186207	0.128847	0.0581837	0.0249459	0.0171447	0.015995	0.0214847
a23	0.269311	0.181213	0.115912	0.0896811	0.0756852	0.0745083	0.0860299	0.0461626	0.0222751	0.0117011	0.00901585	0.00801402	0.0104912
a18	0.201751	0.164027	0.1164	0.113538	0.0875253	0.0936018	0.120423	0.0504818	0.0162327	0.0100002	0.00804444	0.00783026	0.0101451
a71	0.222272	0.178757	0.120131	0.0983023	0.0737076	0.0754422	0.083022	0.0443966	0.020548	0.0174887	0.0171627	0.021831	0.0269389
a18	0.236921	0.185354	0.126772	0.103622	0.0855038	0.06952	0.0629611	0.0442274	0.0204343	0.0170482	0.0154167	0.0153042	0.016916
a54	0.197501	0.146515	0.116208	0.09678	0.0925898	0.0733975	0.0686169	0.0583536	0.0318234	0.0293081	0.0287354	0.0287006	0.0314711
a47	0.110622	0.0948007	0.0883466	0.0928268	0.0855555	0.0785985	0.0900262	0.0581097	0.0348848	0.0388724	0.0516457	0.0723332	0.103378
a6	0.0608409	0.0682435	0.0784079	0.0998487	0.0986087	0.107456	0.143385	0.0802967	0.0399828	0.0385515	0.0428721	0.0581414	0.0833651
a21	0.0383371	0.0489454	0.0645001	0.0920517	0.0945166	0.110085	0.123909	0.0790132	0.044063	0.0462819	0.0555196	0.0840303	0.118747
a12	0.0457082	0.0520368	0.0689596	0.102707	0.112299	0.140508	0.192848	0.105758	0.0421351	0.0303973	0.0290319	0.0345365	0.0430727
a62	0.0393467	0.0477073	0.0611971	0.089986	0.103835	0.142399	0.199551	0.110196	0.0460759	0.0330293	0.0317107	0.0421717	0.0527941
a21	0.0283769	0.039253	0.05235	0.0877444	0.109435	0.146966	0.206159	0.128195	0.0566206	0.0345687	0.0284124	0.0361206	0.0457988
a5	0.0232325	0.0325892	0.0424238	0.0733382	0.0955049	0.127206	0.199503	0.152586	0.0821815	0.0467381	0.0334462	0.0400584	0.0511927
a12	0.0207078	0.027029	0.0335612	0.0601879	0.087278	0.118426	0.178532	0.16069	0.0996065	0.0571836	0.0403982	0.0501532	0.0662465
a88	0.0169897	0.0229578	0.0291741	0.0548594	0.0871183	0.126823	0.194622	0.167652	0.093319	0.0524009	0.0366728	0.0474928	0.0699177
a71	0.0100096	0.0148987	0.0203349	0.0446258	0.0871923	0.124909	0.188721	0.157767	0.109504	0.0676815	0.0445026	0.0507872	0.0790666
a82	0.0126388	0.0193373	0.0256305	0.0520907	0.0867821	0.123315	0.166083	0.132275	0.100275	0.0737423	0.0541263	0.0603402	0.0933648
a9	0.0156305	0.0197568	0.0234439	0.0426378	0.0742918	0.118538	0.213826	0.138027	0.0786498	0.0608881	0.0518729	0.0672974	0.0951406
a50	0.0241329	0.0222021	0.0231401	0.0364897	0.0633176	0.10479	0.193571	0.125684	0.0774806	0.0564144	0.050501	0.0812668	0.14101
a88	0.0037411	0.00429829	0.00554647	0.0115577	0.0268174	0.047862	0.0844183	0.09618	0.104831	0.102461	0.109765	0.148261	0.254261
a31	0.00287983	0.00366105	0.00500223	0.0101281	0.0222191	0.0399797	0.0759707	0.0904191	0.101223	0.106469	0.12319	0.162745	0.256113
a62	0.00444707	0.00479277	0.00563515	0.00889395	0.0156872	0.0254023	0.0471301	0.0669307	0.0900674	0.113887	0.166556	0.21296	0.237611
a75	0.00357691	0.00446694	0.00556672	0.00882289	0.0154472	0.0246965	0.0480731	0.066545	0.0823418	0.102406	0.161329	0.213538	0.263189
a92	0.00137778	0.00129825	0.00140629	0.00216571	0.00338295	0.00463159	0.00830306	0.0152418	0.0453931	0.0903151	0.174271	0.284328	0.367886
a5	0.00144879	0.001455	0.00161931	0.00241397	0.00350274	0.00457518	0.00812849	0.014006	0.0398966	0.0839833	0.178805	0.307234	0.352932
a47	0.00242062	0.0025664	0.00289974	0.00416641	0.00582808	0.00717169	0.0113684	0.0214677	0.0474705	0.0813814	0.170008	0.29507	0.348181
a88	0.00286605	0.00342523	0.00406492	0.00633514	0.00956606	0.0110168	0.0155311	0.0275214	0.0549542	0.0901697	0.162478	0.260377	0.351694
a93	0.00111382	0.00134503	0.00170434	0.00321294	0.00539966	0.00691543	0.0114226	0.0177534	0.0361096	0.0590531	0.124968	0.25898	0.472022
a56	0.000529342	0.000652306	0.000848653	0.00175835	0.00353798	0.0054474	0.0111634	0.0146812	0.0283801	0.0446013	0.101472	0.251285	0.535643
a98	0.00025406	0.000304915	0.000388338	0.000801699	0.00166803	0.0022672	0.00465849	0.00691285	0.0178793	0.034465	0.099987	0.263095	0.567318
a85	0.000103239	0.000139566	0.000190759	0.000412311	0.000810097	0.00115648	0.00244231	0.00367385	0.0119197	0.0285303	0.0798544	0.256144	0.614624
a6	0.000171255	0.000201015	0.00024185	0.000452629	0.000796108	0.00103028	0.00201402	0.00267134	0.00920561	0.0240165	0.0709856	0.261856	0.626357
a37	0.000269476	0.000295278	0.000336812	0.000559275	0.000990532	0.0011401	0.00206329	0.00373384	0.0157102	0.0388043	0.097474	0.268568	0.570055
a44	0.000968093	0.00105673	0.00110686	0.00148692	0.00247876	0.00215867	0.00275239	0.00404896	0.0167853	0.0404683	0.116354	0.267925	0.54241
a38	0.0010796	0.00136296	0.00157859	0.00207262	0.00350657	0.00263919	0.0029969	0.0049292	0.0214369	0.0535698	0.134065	0.264522	0.50624
a82	0.00293837	0.00350936	0.00402232	0.00541016	0.00835812	0.00651436	0.00685858	0.00914908	0.0256029	0.0617698	0.134146	0.287876	0.443846
a26	0.0712442	0.0479369	0.0362101	0.0321747	0.0397885	0.0301258	0.036395	0.0442355	0.0777274	0.101415	0.122376	0.153329	0.207041
a57	0.157722	0.100494	0.063916	0.0464101	0.0471617	0.0390353	0.0422579	0.0429734	0.0602581	0.0764149	0.100648	0.0979221	0.124786
a87	0.143981	0.0997108	0.0667084	0.0473644	0.0458001	0.0371734	0.0399661	0.0411311	0.0613211	0.0714167	0.0979076	0.102523	0.144996
a23	0.121494	0.0881534	0.0618875	0.0472917	0.0486117	0.0422056	0.049987	0.0479917	0.0637825	0.0685718	0.0968374	0.107177	0.156009
a99	0.0377063	0.0194127	0.0137032	0.00959583	0.0124254	0.00975582	0.012346	0.0214953	0.0552903	0.0792738	0.151012	0.242918	0.335065
a87	0.035329	0.0192321	0.0140701	0.0115409	0.0171384	0.0175797	0.0262198	0.0375892	0.0598808	0.0764109	0.128664	0.219296	0.33705
a23	0.0134983	0.0098639	0.00804932	0.00787681	0.0123714	0.0134551	0.0216722	0.0279053	0.0403415	0.0533431	0.111434	0.242018	0.438171
