 	la	parcelle	est	fermée	</S>
a66	0.585021	0.258514	0.080668	0.0374488	0.0383473
a87	0.463472	0.309259	0.178089	0.0354343	0.0137451
a23	0.597693	0.296849	0.0531487	0.0319488	0.0203598
a5	0.507462	0.328299	0.047762	0.0397661	0.0767116
a23	0.436662	0.251504	0.0971533	0.0748751	0.139806
a98	0.412481	0.384046	0.112249	0.0509712	0.0402529
a15	0.256388	0.376551	0.26334	0.0650085	0.0387123
a79	0.135076	0.309784	0.346949	0.108247	0.0999448
a56	0.134638	0.249646	0.359833	0.128673	0.12721
a12	0.211922	0.306978	0.230231	0.10216	0.148707
a18	0.15144	0.237028	0.265169	0.135062	0.211301
a12	0.0488988	0.0550928	0.0905739	0.265475	0.539959
a31	0.0264365	0.0320489	0.0995614	0.325139	0.516814
a88	0.014451	0.0178886	0.0651332	0.327338	0.575189
a75	0.0056216	0.00648733	0.02257	0.216865	0.748456
a85	0.00111335	0.00125321	0.00806913	0.147475	0.842089
a92	0.000749647	0.000735507	0.00483704	0.116659	0.877019
a85	0.000213337	0.000269742	0.00259819	0.0782912	0.918628
a47	0.000894248	0.00104458	0.00729712	0.100732	0.890032
a85	0.000355898	0.00048482	0.0059757	0.094146	0.899038
a6	0.000531141	0.000941908	0.0092782	0.0986874	0.890561
a36	0.000300647	0.00046931	0.00526276	0.0979265	0.896041
a26	0.00717501	0.0105477	0.0412843	0.178464	0.762529
a57	0.197504	0.140746	0.14065	0.17625	0.34485
a87	0.365878	0.193868	0.0902941	0.0963457	0.253614
a23	0.414126	0.366269	0.132711	0.0441827	0.0427117
a87	0.223066	0.141075	0.0896465	0.16526	0.380953
</S>	0.0244964	0.0173537	0.0251009	0.190316	0.742733
