 	ses	yeux	se	sont	enflés	à	cause	de	ses	pleurs	</S>
a27	0.174198	0.185407	0.223127	0.134537	0.105511	0.0652277	0.0544144	0.0284867	0.0151813	0.00816044	0.00574876
a38	0.222	0.157135	0.211213	0.104599	0.0626726	0.0648122	0.0612108	0.0430259	0.0284802	0.0209977	0.0238531
a10	0.19274	0.160935	0.213997	0.10484	0.083994	0.0587385	0.0608639	0.0395301	0.0298629	0.0231082	0.0313908
a87	0.218889	0.178352	0.224736	0.119367	0.0870842	0.0474489	0.0393111	0.0282946	0.0236523	0.0168437	0.0160221
a97	0.219383	0.153169	0.200297	0.0950547	0.0658555	0.0526081	0.0539766	0.0501464	0.0465095	0.0320313	0.0309694
a87	0.189623	0.14277	0.19284	0.0925257	0.0824896	0.0600534	0.0561256	0.0558444	0.0546838	0.0366368	0.0364066
a97	0.157931	0.118673	0.145031	0.0818404	0.0920604	0.0682737	0.0625439	0.0665919	0.0753732	0.0634667	0.0682156
a10	0.181378	0.139779	0.174163	0.0910892	0.093365	0.0621074	0.0529186	0.0542058	0.0571616	0.044353	0.0494797
a97	0.190604	0.143623	0.163739	0.0882638	0.0780899	0.0655765	0.058971	0.0621182	0.0631018	0.0421079	0.0438049
a79	0.17931	0.123659	0.137762	0.0820767	0.0981274	0.0753715	0.0690131	0.0670807	0.0687701	0.0476818	0.0511475
a15	0.293975	0.156377	0.0953143	0.0473567	0.0299838	0.0324827	0.0390251	0.0547015	0.073018	0.0657972	0.111968
a79	0.259322	0.183299	0.11501	0.0625923	0.0515179	0.0429998	0.0432694	0.0485337	0.065013	0.051753	0.0766895
a56	0.166549	0.161737	0.148253	0.113483	0.0951776	0.0608395	0.0489575	0.0434166	0.0512701	0.0438478	0.0664685
a12	0.133309	0.158678	0.176811	0.127879	0.135733	0.0806213	0.0603205	0.0396256	0.0353215	0.0250969	0.0266044
a31	0.0960997	0.132642	0.163207	0.127804	0.152936	0.105866	0.0758498	0.0441028	0.0376172	0.0314362	0.0324396
a75	0.0709942	0.100324	0.127676	0.117705	0.187727	0.122736	0.0808468	0.0490906	0.0440089	0.047035	0.0518557
a85	0.071406	0.114218	0.151909	0.134147	0.134692	0.11248	0.080059	0.0502581	0.0408914	0.045563	0.0643765
a92	0.103901	0.14905	0.180749	0.119759	0.0922162	0.0789839	0.0633338	0.0477123	0.0429116	0.0478251	0.0735584
a5	0.0946892	0.14913	0.190615	0.145939	0.133394	0.0959171	0.0643171	0.0383795	0.0273346	0.0263573	0.0339277
a37	0.0817814	0.12249	0.16591	0.141913	0.140883	0.11414	0.0839343	0.0500886	0.0351565	0.029463	0.0342412
a27	0.0372935	0.0540976	0.103904	0.124656	0.178002	0.154848	0.119421	0.0627899	0.0435661	0.04811	0.0733115
a38	0.0114776	0.0121639	0.03336	0.0717974	0.233045	0.18794	0.178738	0.0838535	0.0555448	0.054728	0.0773521
a93	0.0142123	0.0134941	0.0314559	0.0699158	0.214319	0.203438	0.182137	0.0883814	0.059296	0.0519084	0.0714416
a90	0.0126762	0.0148448	0.0314588	0.0602973	0.146642	0.153531	0.165377	0.106393	0.0835409	0.0852185	0.140021
a93	0.0127945	0.0178631	0.032372	0.0517911	0.107858	0.123899	0.138938	0.112734	0.111456	0.11931	0.170985
