 	cet	homme	est	très	actif	il	travaille	beaucoup	</S>
a23	0.29269	0.181847	0.13962	0.102951	0.106528	0.0549796	0.0367127	0.0389533	0.0457185
a24	0.480437	0.191772	0.0994757	0.0810992	0.0778062	0.019424	0.0141975	0.0135174	0.0222709
a71	0.478947	0.217788	0.100743	0.0623291	0.0683079	0.0228356	0.0173893	0.0120166	0.0196432
a38	0.527707	0.235461	0.0959677	0.0504377	0.0518137	0.0131085	0.00905778	0.00646312	0.00998364
a30	0.50416	0.261217	0.101559	0.0501282	0.0403744	0.0119065	0.0094971	0.00875182	0.0124057
a41	0.333165	0.228128	0.133471	0.0896442	0.0785906	0.0382057	0.0322908	0.0303765	0.0361287
a66	0.305327	0.233564	0.148176	0.0969884	0.0864114	0.04253	0.0334699	0.0261802	0.0273542
a38	0.216616	0.178118	0.14271	0.10802	0.11462	0.0784035	0.0615106	0.0466308	0.0533705
a26	0.140245	0.132854	0.127257	0.119475	0.14091	0.125842	0.0906978	0.0568047	0.0659143
a24	0.144722	0.128475	0.113223	0.100321	0.132222	0.140103	0.100704	0.0633667	0.0768639
a25	0.157029	0.142159	0.139123	0.131964	0.157166	0.114806	0.0810942	0.0365523	0.0401056
a38	0.082893	0.108915	0.108699	0.0982937	0.109686	0.104918	0.118617	0.107939	0.16004
a24	0.0953649	0.111304	0.114261	0.118003	0.131458	0.12866	0.132525	0.0774926	0.0909314
a71	0.104603	0.131001	0.167693	0.1702	0.175314	0.0889668	0.0780905	0.0431672	0.0409649
a26	0.0371215	0.0505054	0.0719029	0.115815	0.16131	0.16447	0.187768	0.102383	0.108723
a41	0.0407118	0.058642	0.0770019	0.101974	0.110373	0.132595	0.209232	0.128295	0.141176
a25	0.0315412	0.0411585	0.0647242	0.0914119	0.132192	0.136337	0.201637	0.150431	0.150567
a35	0.0327345	0.041391	0.0583584	0.0723617	0.0987459	0.0949373	0.182649	0.177975	0.240848
a32	0.0569423	0.0625742	0.0741455	0.065474	0.0859956	0.0784854	0.129502	0.18348	0.263402
a75	0.0250276	0.0255625	0.0345994	0.0389167	0.059341	0.0974841	0.181639	0.244094	0.293335
a41	0.012985	0.0125496	0.0207992	0.0260683	0.0519271	0.118368	0.202447	0.257076	0.29778
a35	0.0143469	0.0141025	0.0227328	0.0262481	0.0475465	0.101032	0.185316	0.262243	0.326432
a75	0.0200085	0.0189619	0.0246936	0.0230325	0.031605	0.0784493	0.155584	0.267168	0.380497
a76	0.0162658	0.0152267	0.0244844	0.0260809	0.0386722	0.128713	0.215848	0.261633	0.273075
a35	0.0239478	0.0234293	0.0368467	0.0399034	0.0573885	0.117506	0.189505	0.26082	0.250652
a41	0.0145143	0.0138353	0.0212564	0.0258606	0.0359384	0.0703475	0.142045	0.295277	0.380925
a25	0.0162068	0.014096	0.0192114	0.023008	0.0287745	0.0536552	0.124431	0.304118	0.416499
a87	0.0189499	0.0148661	0.0188811	0.0220256	0.0286034	0.0464087	0.115342	0.28629	0.448633
a23	0.00817409	0.00774737	0.00765441	0.00842438	0.0127588	0.0242224	0.0773665	0.296006	0.557646
a87	0.0155246	0.0112652	0.00966972	0.0103317	0.0162859	0.0218576	0.0815216	0.333033	0.500511
a23	0.0077366	0.00776035	0.0077491	0.00773269	0.0141443	0.0229747	0.079504	0.306724	0.545675
a20	0.0181986	0.0140601	0.0103766	0.011682	0.0198394	0.0399369	0.161724	0.34191	0.382273
a30	0.0160517	0.0119471	0.0102472	0.0107638	0.0190575	0.0363688	0.110197	0.281586	0.50378
a32	0.00404778	0.00473308	0.00655719	0.00900894	0.0197978	0.0404228	0.101635	0.292722	0.521075
a75	0.0023302	0.0021737	0.00235501	0.00273362	0.00530516	0.0175882	0.0742613	0.313953	0.5793
a73	0.00359694	0.00378875	0.00519118	0.006143	0.0104887	0.022467	0.0750184	0.290894	0.582412
a35	0.0014215	0.00174025	0.00282456	0.00431038	0.00796967	0.0219597	0.0691732	0.272501	0.618099
a76	0.002256	0.00250241	0.00410472	0.0055607	0.00877581	0.0255165	0.0735088	0.29951	0.578265
a90	0.00164527	0.00208073	0.00387958	0.00565791	0.00869863	0.0237757	0.0682068	0.276492	0.609563
a98	0.00225972	0.00220657	0.00334536	0.00495561	0.00728052	0.0162034	0.048778	0.238371	0.6766
a24	0.00975284	0.00690317	0.00831299	0.0100193	0.0122864	0.0192306	0.0511115	0.244845	0.637538
a9	0.00356002	0.00300604	0.00472125	0.0073765	0.0124513	0.0155111	0.0440488	0.272543	0.636782
a87	0.000990039	0.00071134	0.000763881	0.00116789	0.00221078	0.00701258	0.0373056	0.29994	0.649897
</S>	0.00234599	0.00159292	0.00146776	0.00190547	0.00340053	0.0123702	0.0621004	0.350144	0.564673
