 	l'	enfant	n'	est	pas	content	de	sa	part	de	nourriture	</S>
a66	0.18119	0.10612	0.097595	0.103488	0.12849	0.11872	0.0858359	0.0709805	0.0505832	0.0298938	0.0165009	0.010603
a87	0.167514	0.0903819	0.0783885	0.0904217	0.107217	0.129698	0.126391	0.0789437	0.0565305	0.0356534	0.0241058	0.0147551
a10	0.222848	0.120357	0.113854	0.0989072	0.115093	0.120354	0.08387	0.0347418	0.0320766	0.0224704	0.0208178	0.0146096
a38	0.241787	0.136176	0.152296	0.115308	0.116887	0.104966	0.0724444	0.0224632	0.013444	0.00854293	0.00761214	0.00807386
a54	0.187149	0.0897201	0.114835	0.0950611	0.126226	0.123891	0.0916396	0.0446854	0.0361889	0.0327148	0.0311526	0.0267357
a98	0.261259	0.159602	0.123193	0.0832506	0.0934379	0.0804619	0.0510826	0.0425584	0.033302	0.0275401	0.0233843	0.0209274
a47	0.149616	0.135409	0.126071	0.0913438	0.0908802	0.0964491	0.0747252	0.0756997	0.0639539	0.0425594	0.0316386	0.0216548
a85	0.11397	0.116953	0.116155	0.0907497	0.0905364	0.0977745	0.0734574	0.0806337	0.0785685	0.0569175	0.0469152	0.0373694
a5	0.0940532	0.106673	0.10925	0.0961692	0.0815185	0.0980448	0.0930452	0.0862841	0.085837	0.0579939	0.0510546	0.0400764
a61	0.114967	0.120695	0.127415	0.113166	0.0889837	0.0871982	0.0877565	0.070258	0.0638345	0.0449738	0.0420097	0.0387419
a62	0.0623952	0.081588	0.0988923	0.118828	0.100378	0.107328	0.103783	0.0943385	0.0811351	0.0556405	0.0472529	0.0484411
a96	0.0439245	0.0562675	0.0742491	0.108912	0.0948368	0.100232	0.0977901	0.110346	0.0947201	0.0779259	0.0685617	0.072234
a21	0.0438309	0.0542885	0.0733439	0.104469	0.0911001	0.0936624	0.0929728	0.107043	0.0935282	0.0851427	0.079868	0.0807504
a85	0.0189287	0.0205644	0.0254641	0.0402692	0.0402032	0.0573262	0.0560703	0.100422	0.142156	0.151931	0.162283	0.184381
a6	0.00942863	0.0101678	0.0122148	0.0187932	0.0180223	0.0275946	0.0255974	0.0620121	0.117339	0.163119	0.221644	0.314068
a36	0.00945688	0.0106799	0.011794	0.0183384	0.0166449	0.0226448	0.0210812	0.0493586	0.0842848	0.13685	0.215379	0.403488
a2	0.0175796	0.0148558	0.0130801	0.0167115	0.0133678	0.0156918	0.0148206	0.0217286	0.0402078	0.0766368	0.176105	0.579215
a27	0.0344469	0.0306444	0.023037	0.020023	0.0213164	0.0269576	0.0286663	0.0382856	0.0707728	0.113431	0.191598	0.400821
a10	0.110322	0.0666686	0.0463515	0.0527555	0.0774816	0.0818709	0.089597	0.0740792	0.0720823	0.0771953	0.0975031	0.154093
a87	0.201387	0.105261	0.0650886	0.0738015	0.10054	0.0956345	0.0873645	0.062275	0.0497962	0.0427716	0.0469375	0.0691422
a23	0.155925	0.089099	0.0678012	0.0839235	0.112037	0.115024	0.102205	0.0775689	0.058005	0.0446121	0.043799	0.0500002
a99	0.0699018	0.0415576	0.0377298	0.0602542	0.0809399	0.0948586	0.094717	0.0765186	0.0870921	0.0956595	0.121619	0.139152
a97	0.0550808	0.0377556	0.0347872	0.0555698	0.0721341	0.100512	0.0983717	0.0838067	0.102949	0.106506	0.126347	0.12618
</S>	0.0654333	0.049242	0.0442791	0.0612134	0.0700141	0.0766453	0.0699441	0.0647728	0.0821849	0.0918132	0.130872	0.193586
