 	de	vous	tous	personne	n'	a	dit	au-revoir	à	l'	oncle	</S>
a66	0.190824	0.125229	0.0816908	0.0692357	0.103148	0.150719	0.119583	0.0727483	0.0362059	0.0216834	0.0159742	0.0129589
a87	0.310114	0.153823	0.0958317	0.0668516	0.061608	0.0662448	0.0442217	0.0348547	0.0327957	0.0400635	0.0474456	0.0461454
a23	0.445965	0.240379	0.145224	0.0627059	0.0344612	0.0219005	0.00758501	0.00536832	0.00443076	0.00604124	0.0102625	0.0156774
a10	0.325695	0.235119	0.214795	0.0945294	0.0367211	0.0192873	0.00629361	0.00592815	0.00819361	0.0119609	0.0187812	0.0226964
a54	0.291758	0.204183	0.208163	0.107131	0.04592	0.0259944	0.0105699	0.0112655	0.016668	0.0216401	0.0268911	0.0298152
a36	0.147199	0.174366	0.169495	0.0861917	0.0483049	0.0338864	0.019267	0.0348404	0.0442114	0.0610851	0.0781815	0.102972
a61	0.121467	0.18976	0.169031	0.0836501	0.0476779	0.031223	0.0259056	0.0554392	0.0611452	0.075227	0.0717549	0.0677196
a12	0.156287	0.223149	0.214069	0.126199	0.0801321	0.0510274	0.0227134	0.0260709	0.0218011	0.0255921	0.0260405	0.0269181
a61	0.0998397	0.153092	0.189306	0.177837	0.125667	0.080583	0.0312209	0.032334	0.0248988	0.0266686	0.0266037	0.0319484
a75	0.0747439	0.109612	0.157146	0.189835	0.145138	0.100501	0.0407242	0.0401073	0.0329184	0.0334125	0.0329408	0.0429207
a6	0.0403511	0.0599154	0.101809	0.156539	0.152615	0.143132	0.0815882	0.0738428	0.0514054	0.0433569	0.0405774	0.0548683
a36	0.0290509	0.0385463	0.0670764	0.11622	0.144274	0.149857	0.102438	0.0998341	0.0713926	0.0556986	0.0488013	0.0768104
a0	0.0253001	0.0279771	0.0520898	0.107912	0.165211	0.175549	0.095205	0.0788848	0.0628668	0.0537665	0.0589167	0.0963217
a90	0.0303432	0.0358472	0.0562462	0.104265	0.158196	0.177996	0.0958015	0.0698652	0.0618213	0.0582074	0.0614379	0.089973
a69	0.00863861	0.0108681	0.0205455	0.0551588	0.107305	0.167019	0.166095	0.131868	0.0798207	0.0630263	0.0669957	0.122659
a58	0.00968542	0.0118493	0.0225491	0.0571131	0.0994529	0.151303	0.161374	0.13161	0.0858026	0.0670374	0.0724257	0.129797
a3	0.0240175	0.0260248	0.0383254	0.0719187	0.0977091	0.119319	0.127499	0.0957909	0.0764876	0.0703379	0.085375	0.167196
a87	0.0439158	0.048629	0.0623562	0.0965719	0.113732	0.135246	0.133933	0.0969402	0.0683859	0.0497511	0.0536913	0.0968489
a23	0.0687437	0.0619896	0.0566986	0.0604718	0.0684558	0.0882613	0.110906	0.107907	0.0831253	0.0680937	0.0753184	0.150029
a79	0.013385	0.0102587	0.0121999	0.0179382	0.0298979	0.0461613	0.0856224	0.124614	0.122075	0.121896	0.136775	0.279177
a44	0.00619128	0.00832997	0.010731	0.0181882	0.0296339	0.0404797	0.0671019	0.116497	0.0895507	0.112045	0.156248	0.345003
a54	0.00317845	0.00455468	0.00703405	0.0155536	0.0281917	0.0416948	0.0784664	0.136159	0.111206	0.113876	0.142021	0.318064
a36	0.00281922	0.00420649	0.00603803	0.0127642	0.0250143	0.0451639	0.100607	0.141543	0.110295	0.124549	0.146849	0.28015
a0	0.00145084	0.00175104	0.0029341	0.00674173	0.0132348	0.0227804	0.0539857	0.100519	0.102462	0.107741	0.144946	0.441453
a11	0.00293423	0.00337887	0.00515456	0.0109272	0.0148402	0.0204408	0.0373458	0.067287	0.101157	0.132449	0.187577	0.416508
a62	0.00243424	0.00272809	0.00382304	0.0094311	0.012894	0.0184009	0.0310721	0.0613269	0.106044	0.146296	0.213367	0.392182
a61	0.00114202	0.00139379	0.00252137	0.00757527	0.0111066	0.0161966	0.0289544	0.0593601	0.113698	0.168385	0.22977	0.359897
a6	0.000996508	0.00121534	0.00207796	0.00577988	0.00845173	0.0130246	0.0261388	0.0547683	0.10498	0.168142	0.24012	0.374305
a37	0.00044435	0.000519661	0.00103839	0.00311579	0.00420994	0.0054729	0.0103426	0.0259585	0.0668434	0.132858	0.220031	0.529166
a90	0.000409606	0.000467105	0.000804329	0.0021054	0.00285764	0.00395581	0.00753398	0.0207839	0.0590575	0.124982	0.237334	0.539709
a56	0.00027518	0.000295184	0.000495541	0.00140016	0.00231984	0.00363965	0.0077454	0.0247104	0.0601052	0.133516	0.243529	0.521968
a96	0.000320731	0.000358524	0.000564083	0.00139808	0.00229235	0.00345098	0.0065373	0.0158469	0.0396322	0.0955444	0.20849	0.625565
a34	0.000245937	0.000309027	0.00049412	0.00118211	0.00191551	0.00281344	0.00505511	0.0110519	0.0326195	0.0855578	0.211463	0.647293
a75	0.000180575	0.000210968	0.000324021	0.000789446	0.00143225	0.00239553	0.00503981	0.0130991	0.0374345	0.0919345	0.20534	0.641819
a85	0.000155767	0.00015971	0.000219893	0.000505991	0.000928124	0.00146439	0.0043743	0.0152817	0.0392107	0.0945832	0.215641	0.627475
a36	0.000202423	0.000227545	0.000351681	0.000901989	0.00150195	0.00193777	0.00532253	0.019346	0.0480909	0.113497	0.206438	0.602183
a61	0.000169945	0.000196231	0.000271133	0.00059213	0.000812026	0.00103359	0.0023645	0.00751493	0.022971	0.0598793	0.162277	0.741918
a18	0.000307899	0.000364566	0.000484937	0.00105348	0.00173833	0.00238379	0.00515423	0.0138116	0.0375695	0.0868053	0.202857	0.647469
a38	0.00272083	0.00282418	0.00231394	0.00309628	0.00406652	0.00402924	0.00876778	0.021434	0.0504094	0.100785	0.199	0.600553
a54	0.00922617	0.00904907	0.00621223	0.00798983	0.0100688	0.00969449	0.0218457	0.0457176	0.0753929	0.115345	0.186748	0.50271
a47	0.000445444	0.0004642	0.00052872	0.00100559	0.00149511	0.00185949	0.00514907	0.0137891	0.028888	0.0676355	0.188958	0.689782
a36	0.000109555	0.000111184	0.000119903	0.000224244	0.000389743	0.000578418	0.00212302	0.00864181	0.0215311	0.0560949	0.156983	0.753093
a2	0.00500983	0.00504939	0.00349822	0.00382393	0.00486537	0.00482891	0.0124047	0.0301705	0.064595	0.120436	0.219233	0.526085
a57	0.111802	0.0729464	0.0313838	0.0252882	0.0320789	0.030701	0.0508257	0.0606857	0.0728963	0.0993314	0.153731	0.25833
a87	0.253053	0.144831	0.0636849	0.0405531	0.0448426	0.0439397	0.0460812	0.0421395	0.0403295	0.0550599	0.0937252	0.13176
a23	0.166471	0.12114	0.0522047	0.0303242	0.0334785	0.0341077	0.0438525	0.0533758	0.0566956	0.0875466	0.142358	0.178445
a87	0.0941145	0.0673542	0.0453697	0.034938	0.0321221	0.0290896	0.0357584	0.0633192	0.0688114	0.109448	0.173144	0.246531
</S>	0.0107767	0.00809406	0.00592999	0.00723753	0.00924611	0.00996854	0.0220071	0.0457069	0.0598893	0.115737	0.219991	0.485415
