 	le	guérisseur	lui	a	donné	un	médicament	pour	le	faire	vomir	</S>
a66	0.237183	0.157659	0.111534	0.0882581	0.0828695	0.0768856	0.0736011	0.0580701	0.0492985	0.0243155	0.01921	0.0211153
a87	0.139482	0.102498	0.102749	0.0914083	0.0919645	0.0910324	0.0990625	0.0943603	0.0696484	0.0432285	0.0352998	0.0392663
a23	0.393142	0.250767	0.142262	0.0704973	0.0484313	0.0232886	0.0159368	0.0105454	0.00847661	0.00949646	0.0121012	0.0150553
a99	0.365635	0.228544	0.13965	0.0757261	0.0543761	0.0261382	0.021927	0.013682	0.0100379	0.0141268	0.0203456	0.0298115
a54	0.245676	0.153395	0.108327	0.0739885	0.0676798	0.0428357	0.0404142	0.0317696	0.031265	0.0501661	0.0697969	0.084686
a37	0.0943658	0.0887783	0.0839689	0.0826293	0.0885664	0.0812127	0.0634417	0.0553848	0.0492882	0.0717497	0.113217	0.127397
a6	0.0878336	0.0920194	0.087539	0.108428	0.121377	0.119622	0.083965	0.0681831	0.0415301	0.048889	0.0614606	0.0791532
a36	0.0654787	0.0658419	0.0767753	0.114823	0.134763	0.14429	0.105597	0.0818856	0.0394807	0.0467417	0.054421	0.0699018
a85	0.0644366	0.0564437	0.0696877	0.102319	0.12074	0.125474	0.0985179	0.0838512	0.0474325	0.0608123	0.0709961	0.0992888
a92	0.0240798	0.0283178	0.0431353	0.0736392	0.0993865	0.142603	0.149048	0.107867	0.0588964	0.0651873	0.0903549	0.117484
a98	0.0470518	0.047855	0.064283	0.0980658	0.121378	0.147017	0.139211	0.0981936	0.0542282	0.0437348	0.0571713	0.0818105
a79	0.0339244	0.0311413	0.0416884	0.0691793	0.0949638	0.137537	0.149617	0.128228	0.081897	0.0569767	0.0714746	0.103372
a56	0.0258141	0.0221206	0.0293232	0.0495985	0.0696395	0.108833	0.130141	0.1338	0.10103	0.0744304	0.101781	0.153489
a75	0.0403772	0.0328794	0.0421139	0.0592717	0.0722766	0.099385	0.132261	0.119331	0.0923012	0.0676149	0.0850079	0.157181
a21	0.0152119	0.0122711	0.0146271	0.0218509	0.0287199	0.0494894	0.0914495	0.127799	0.150749	0.126126	0.13604	0.225667
a75	0.019936	0.0157569	0.0164504	0.0196793	0.0226222	0.0335018	0.0643077	0.089601	0.142949	0.148457	0.151592	0.275146
a96	0.00667758	0.00505114	0.00520855	0.00703932	0.00878868	0.0151127	0.0335583	0.0652207	0.127867	0.177737	0.21392	0.333819
a56	0.012891	0.00967932	0.00802288	0.00902804	0.00926845	0.0114833	0.0189455	0.026737	0.0449131	0.104822	0.219611	0.524598
a75	0.00870648	0.00682316	0.00587175	0.00660926	0.00628164	0.00776264	0.013333	0.0199814	0.0354662	0.101329	0.230285	0.55755
a56	0.00190739	0.00133564	0.00106325	0.00121863	0.00124615	0.00191886	0.00393915	0.00774932	0.0186401	0.082512	0.23291	0.64556
a75	0.00276427	0.00197332	0.0014697	0.00160511	0.00156968	0.00178139	0.00237297	0.00399665	0.00947523	0.0645398	0.226115	0.682337
a25	0.000945112	0.000578086	0.000418151	0.000494717	0.000571611	0.00101408	0.00234015	0.00604807	0.0189028	0.0951063	0.249701	0.62388
a79	0.000283079	0.000203269	0.00017886	0.000222913	0.000287259	0.000581042	0.00134905	0.00379049	0.0133103	0.0980807	0.284815	0.596898
a7	0.00211531	0.0015293	0.00113769	0.00122268	0.00134815	0.00182251	0.0029511	0.00689639	0.0205724	0.101012	0.296359	0.563034
a84	0.00233844	0.00160415	0.00125054	0.00126361	0.00133143	0.00161551	0.00235017	0.00705868	0.0294508	0.146656	0.327151	0.47793
a87	0.0855505	0.0473088	0.0320296	0.032643	0.0319341	0.0301046	0.0295705	0.0523151	0.0723098	0.110912	0.193813	0.281509
a23	0.319562	0.188554	0.113631	0.0794804	0.0677546	0.0497602	0.0440918	0.0335265	0.025932	0.024428	0.026287	0.0269923
a87	0.169589	0.118562	0.0621607	0.0339443	0.0268825	0.0195165	0.0182311	0.0239408	0.0357937	0.114317	0.171041	0.206021
</S>	0.0123643	0.00732022	0.00378368	0.00246474	0.00221293	0.00214199	0.00250383	0.00485959	0.0122204	0.0943156	0.287925	0.567888
