 	la	douleur	au	ventre	entraîne	la	diarrhée	</S>
a66	0.243853	0.145235	0.112903	0.175876	0.171632	0.0810692	0.043314	0.0261185
a87	0.292067	0.166825	0.0973212	0.0905823	0.118845	0.0730661	0.0848844	0.0764092
a23	0.477649	0.309686	0.103272	0.0365285	0.0240521	0.015494	0.0160786	0.0172401
a79	0.290806	0.302655	0.210684	0.0790976	0.0263809	0.0195938	0.0294689	0.0413129
a44	0.425601	0.321647	0.134224	0.0519453	0.0220707	0.0135888	0.0153114	0.0156122
a70	0.336338	0.334347	0.187303	0.0698915	0.0194715	0.0145966	0.0209162	0.0171363
a34	0.210706	0.36319	0.287185	0.0860999	0.0180474	0.01106	0.0131072	0.0106041
a5	0.175556	0.33203	0.312209	0.114192	0.022274	0.013651	0.0155462	0.0145416
a18	0.159766	0.278063	0.295096	0.164183	0.0412022	0.0212059	0.0220114	0.0184723
a61	0.12723	0.185947	0.275532	0.215415	0.0852829	0.0396657	0.0380577	0.0328693
a62	0.13081	0.168081	0.237225	0.228225	0.109758	0.0461367	0.0424716	0.0372924
a61	0.106651	0.128955	0.190781	0.21614	0.163377	0.0775935	0.064423	0.0520799
a43	0.0936254	0.102478	0.156459	0.19988	0.194957	0.111038	0.0825782	0.0589843
a61	0.0589937	0.0604362	0.101846	0.169555	0.236003	0.154388	0.123945	0.0948329
a11	0.0348178	0.0380329	0.0641157	0.117987	0.232858	0.210443	0.184651	0.117095
a56	0.0215805	0.0197417	0.0347522	0.0606565	0.191558	0.192879	0.240321	0.238511
a94	0.0188718	0.021312	0.0325976	0.0558286	0.192569	0.236289	0.259938	0.182593
a90	0.00900818	0.00867169	0.0158573	0.0284416	0.127591	0.200075	0.299555	0.3108
a25	0.00657088	0.00681084	0.0107965	0.0175953	0.0985318	0.190948	0.304077	0.364669
a92	0.00561433	0.00554869	0.00920592	0.013209	0.0630622	0.121446	0.280837	0.501076
a21	0.00574788	0.00619224	0.00894236	0.0146542	0.069401	0.143099	0.291931	0.460033
a85	0.00283277	0.00234063	0.00324123	0.00707822	0.0486214	0.108656	0.323003	0.504227
a5	0.00352246	0.00270065	0.00389491	0.00573667	0.0326148	0.0844841	0.290674	0.576372
a61	0.00295256	0.00190397	0.00201623	0.00239713	0.0182786	0.0629223	0.265087	0.644443
a88	0.00378109	0.00283056	0.00323973	0.004431	0.0235193	0.0678711	0.278532	0.615795
a24	0.00669355	0.00533217	0.00649682	0.00785539	0.0275955	0.0707089	0.26344	0.611878
a36	0.00792182	0.00520202	0.00615982	0.00812901	0.0261464	0.0682641	0.253386	0.624791
a2	0.0299977	0.0178826	0.01971	0.017938	0.0346102	0.0903452	0.279075	0.510441
a57	0.117046	0.0504168	0.0436859	0.0320292	0.0416965	0.0851438	0.256073	0.373908
a87	0.352365	0.11103	0.0497755	0.0289026	0.0438154	0.0814267	0.151221	0.181463
a23	0.530624	0.172418	0.0467854	0.0166413	0.0271938	0.0414457	0.0814717	0.0834202
a87	0.199667	0.0836338	0.0316967	0.0193909	0.0601958	0.0972286	0.213822	0.294366
</S>	0.056721	0.0268341	0.0152177	0.0126259	0.0362449	0.0732148	0.259078	0.520063
