 	nous	jouons	de	la	trompette	pour	accueillir	le	chef	</S>
a66	0.309292	0.162635	0.111287	0.121339	0.113157	0.0399546	0.0260711	0.029251	0.0344623	0.0525508
a87	0.259805	0.215986	0.148292	0.0988587	0.0642918	0.0352795	0.0243319	0.0321496	0.0465595	0.0744461
a23	0.540399	0.282548	0.0597953	0.0328868	0.0196758	0.00904104	0.00706099	0.00832006	0.0140411	0.0262319
a87	0.574438	0.197802	0.0678258	0.0394822	0.0429933	0.00779414	0.00884739	0.0133776	0.0178394	0.0296004
a23	0.545037	0.241348	0.0634466	0.0438552	0.0461427	0.0103907	0.00784848	0.0101757	0.0127095	0.0190462
a50	0.490154	0.227158	0.0575504	0.0349806	0.0359385	0.0111604	0.0180101	0.027771	0.0378858	0.0593916
a88	0.504629	0.0941116	0.0589908	0.101976	0.0926222	0.019656	0.0240005	0.030929	0.0314921	0.0415928
a0	0.456227	0.0976559	0.0855025	0.130817	0.0995999	0.0312836	0.0205589	0.0237384	0.0231957	0.0314202
a21	0.296401	0.129298	0.110904	0.112326	0.121018	0.047152	0.0297919	0.036475	0.0449733	0.0716606
a92	0.150613	0.136344	0.154802	0.175415	0.258639	0.0528978	0.0167895	0.0156394	0.015209	0.0236512
a21	0.0803333	0.105904	0.157659	0.190011	0.311836	0.0548254	0.0228459	0.0233643	0.0222177	0.0310029
a47	0.0524455	0.0961319	0.146939	0.164422	0.352682	0.082836	0.0287443	0.0241786	0.0235519	0.0280683
a61	0.0377303	0.0832405	0.140468	0.161989	0.311127	0.100015	0.042847	0.0356509	0.037933	0.0489994
a18	0.014594	0.0458888	0.118351	0.132875	0.34849	0.116902	0.0532979	0.0469189	0.0534177	0.0692654
a93	0.0121221	0.0277409	0.0512267	0.0448897	0.105551	0.0997018	0.131493	0.12981	0.167608	0.229857
a75	0.00979364	0.0238511	0.0544217	0.0694904	0.182675	0.138827	0.127602	0.100729	0.124081	0.16853
a21	0.00551525	0.00917519	0.0209002	0.0281658	0.0892591	0.109642	0.19735	0.146144	0.172977	0.220872
a61	0.0129635	0.0276209	0.0480262	0.055798	0.129034	0.197307	0.186359	0.125997	0.10259	0.114304
a21	0.00682251	0.010538	0.0212279	0.0231571	0.0735426	0.163379	0.203063	0.163285	0.155837	0.179149
a47	0.01194	0.0213414	0.0316937	0.0320539	0.0550524	0.158194	0.223797	0.177594	0.143668	0.144665
a21	0.00364383	0.00765949	0.0131044	0.0157854	0.033079	0.0795805	0.18313	0.179057	0.220348	0.264613
a92	0.00683203	0.012864	0.0199114	0.0201307	0.0314551	0.10304	0.20085	0.201353	0.204163	0.1994
a75	0.00236156	0.00416437	0.00649517	0.00726317	0.0088351	0.0413066	0.177626	0.205504	0.273872	0.272572
a92	0.000705138	0.00119411	0.00216433	0.0024321	0.00308422	0.0192946	0.153061	0.193847	0.309428	0.31479
a56	0.000469984	0.000763113	0.00150639	0.00163157	0.00193483	0.0125012	0.11467	0.161616	0.329998	0.374908
a44	0.000619104	0.00109391	0.00193111	0.0021034	0.00253334	0.010445	0.0664534	0.0989431	0.274046	0.541832
a4	0.0003325	0.000547368	0.000936167	0.000967887	0.00104416	0.00336313	0.0286487	0.0567636	0.263541	0.643856
a70	0.000160789	0.000244531	0.000443441	0.000435889	0.000534922	0.00252536	0.0269775	0.0560198	0.278194	0.634464
a66	0.000209591	0.000313846	0.000537014	0.000516395	0.000780315	0.00403785	0.0286144	0.0576704	0.26813	0.63919
a38	0.00228714	0.00214082	0.00204278	0.00170162	0.001123	0.00587183	0.0747249	0.123129	0.295494	0.491485
a9	0.00410732	0.00243401	0.00253936	0.00228933	0.00175834	0.0124248	0.0771602	0.106338	0.276802	0.514147
a10	0.045385	0.0186024	0.0154533	0.0151766	0.00780923	0.039951	0.0934492	0.105281	0.211272	0.44762
a87	0.087824	0.0580974	0.0366305	0.0377865	0.0217682	0.0463778	0.0933514	0.117222	0.186962	0.31398
a23	0.118564	0.0799671	0.0468907	0.0496332	0.0259007	0.0531144	0.106126	0.128767	0.167165	0.223871
a99	0.0240459	0.0219308	0.00808335	0.00612784	0.0024849	0.00959186	0.0408026	0.0816229	0.289306	0.516004
a87	0.0123871	0.0105228	0.00502553	0.00419552	0.00371025	0.0181396	0.0713907	0.105642	0.29327	0.475716
</S>	0.00422541	0.0037171	0.00290996	0.00294058	0.00399266	0.0205788	0.0703068	0.103961	0.286761	0.500607
