 	prends	les	feuilles	epororo	pour	nettoyer	les	fesses	de	l'	enfant	</S>
a66	0.203757	0.179868	0.152769	0.174117	0.0858495	0.0771815	0.0526075	0.031501	0.0160144	0.0110488	0.00774857	0.00753762
a87	0.236087	0.150556	0.142478	0.233371	0.0829863	0.0645286	0.0381805	0.0221637	0.00968373	0.00764964	0.00535524	0.00695951
a23	0.13809	0.123008	0.166223	0.270803	0.0818449	0.101816	0.0427331	0.0293269	0.0132418	0.0109279	0.00911692	0.0128687
a99	0.121027	0.132813	0.23471	0.239508	0.0727736	0.0754321	0.0305078	0.0230032	0.0153384	0.0155692	0.0156652	0.0236523
a53	0.100355	0.114431	0.195441	0.370818	0.0618888	0.061882	0.027442	0.0181774	0.0104676	0.0102145	0.0108139	0.0180699
a93	0.172726	0.165229	0.234113	0.265773	0.0649219	0.0558108	0.0198297	0.00900405	0.00408063	0.00303257	0.00265756	0.00282246
a98	0.199984	0.176944	0.170044	0.174736	0.0904752	0.0783802	0.0440483	0.0284283	0.0137082	0.00952855	0.00735895	0.00636432
a79	0.144524	0.122814	0.123956	0.119292	0.116749	0.116524	0.0814151	0.0662312	0.0471955	0.0275648	0.0197757	0.013959
a90	0.0761983	0.0806615	0.0950481	0.12177	0.112404	0.102116	0.0852036	0.0917004	0.0898402	0.0636821	0.04701	0.0343662
a15	0.0577276	0.0676733	0.0922605	0.0996682	0.13836	0.0868955	0.0830046	0.100481	0.102243	0.0725232	0.0559248	0.0432389
a79	0.0521089	0.0735731	0.117389	0.0776656	0.137396	0.0882619	0.0877607	0.0908522	0.0924097	0.0710734	0.0600404	0.0514691
a90	0.0431129	0.059534	0.100089	0.0903342	0.176801	0.0937503	0.082229	0.087182	0.0818997	0.06519	0.062882	0.0569969
a98	0.0475339	0.0620562	0.0920535	0.0882653	0.163285	0.102513	0.0887894	0.094416	0.0826436	0.0628266	0.060022	0.055596
a92	0.0269799	0.0492307	0.0806264	0.0698818	0.154542	0.124781	0.104483	0.0917853	0.086546	0.0704458	0.071906	0.068792
a85	0.0134415	0.0195873	0.0308915	0.0248833	0.0904889	0.10701	0.109778	0.131801	0.130869	0.110075	0.116977	0.114197
a47	0.00753735	0.0120362	0.0197384	0.0155229	0.0482707	0.0697763	0.0941697	0.120303	0.1269	0.127754	0.164092	0.1939
a54	0.00219264	0.0028875	0.00402915	0.00298744	0.0157074	0.0289437	0.0301819	0.0512298	0.0912992	0.130883	0.257735	0.381923
a47	0.0020643	0.0029016	0.00440678	0.00222321	0.0137253	0.0365841	0.0335973	0.0489459	0.0842118	0.120667	0.252278	0.398395
a6	0.000882578	0.00118365	0.0016576	0.000878872	0.00395365	0.0137798	0.0151903	0.0313533	0.0734753	0.132876	0.31465	0.410119
a36	0.000638129	0.000712427	0.000939258	0.000604595	0.00212466	0.0071889	0.00697823	0.0138951	0.0460639	0.119577	0.314408	0.48687
a37	0.000856655	0.000611777	0.000694262	0.000967886	0.00194397	0.00493735	0.00424606	0.0108342	0.0375967	0.104659	0.311156	0.521497
a79	0.00144217	0.00106047	0.00161726	0.00267168	0.00571904	0.0134015	0.0136171	0.0263707	0.0499125	0.109644	0.277695	0.496849
a7	0.000431946	0.000302231	0.000484114	0.000526308	0.00164973	0.00515201	0.00612307	0.014471	0.0441397	0.113379	0.321179	0.492162
a26	0.000623581	0.000423679	0.000638309	0.000791955	0.00312537	0.0120073	0.0144851	0.0284969	0.0561461	0.119509	0.284866	0.478887
a57	0.0344233	0.0262883	0.0269218	0.0492352	0.0515872	0.0676905	0.0530498	0.0704098	0.110234	0.128099	0.180132	0.201929
a87	0.131404	0.0937615	0.102761	0.179285	0.06756	0.0867976	0.0398658	0.0369298	0.0526832	0.0554052	0.0715614	0.0819852
a10	0.101997	0.0729543	0.0750336	0.147929	0.0791793	0.0743118	0.0455726	0.0536975	0.0816766	0.0835569	0.093597	0.0904946
a87	0.0404518	0.027248	0.0271558	0.0541858	0.0337036	0.0520142	0.0394957	0.0667337	0.107252	0.141733	0.186226	0.223801
a23	0.0226449	0.0170684	0.0179638	0.0346209	0.0334512	0.0534425	0.0444511	0.0766495	0.113408	0.147569	0.200762	0.237969
a9	0.0027315	0.00172617	0.00176799	0.0027657	0.00628097	0.0211175	0.026693	0.0605033	0.142546	0.204621	0.263356	0.265891
</S>	0.00616699	0.00487408	0.0069924	0.0115424	0.0154594	0.0397776	0.0324625	0.0558562	0.128748	0.188588	0.243403	0.266129
