 	elle	vide	les	boyaux	</S>
a23	0.492015	0.222652	0.115173	0.0896096	0.0805501
a40	0.484284	0.245381	0.103994	0.0865278	0.0798133
a0	0.227618	0.18581	0.170361	0.216063	0.200147
a11	0.560069	0.311697	0.0781033	0.0325296	0.0176013
a75	0.646566	0.27317	0.0487981	0.0184928	0.0129735
a85	0.40694	0.29386	0.152749	0.0883052	0.0581453
a5	0.322799	0.281333	0.1865	0.124054	0.0853139
a47	0.406477	0.249551	0.158615	0.104939	0.0804178
a43	0.268368	0.235021	0.222124	0.152198	0.122289
a11	0.151213	0.141427	0.276008	0.241497	0.189855
a75	0.0921936	0.0964684	0.244631	0.289095	0.277612
a25	0.062211	0.0816569	0.191786	0.293176	0.37117
a37	0.0168037	0.0303718	0.133237	0.357069	0.462518
a85	0.0100026	0.0197411	0.103219	0.346044	0.520993
a61	0.00601747	0.0202251	0.0999525	0.311243	0.562562
a75	0.00606194	0.0148701	0.084186	0.339151	0.555731
a6	0.00438151	0.0184166	0.0974182	0.322927	0.556857
a37	0.00375905	0.0131789	0.0803031	0.314417	0.588342
a66	0.00274515	0.0124914	0.0871359	0.335415	0.562212
a26	0.00972869	0.0214483	0.083852	0.277136	0.607835
a57	0.0499606	0.0814516	0.145328	0.253329	0.469932
a10	0.244069	0.224048	0.189945	0.151232	0.190706
a87	0.318335	0.242282	0.185256	0.130112	0.124014
a23	0.304646	0.214804	0.191401	0.142622	0.146527
a87	0.15242	0.141517	0.228704	0.225437	0.251922
</S>	0.0309071	0.0536684	0.177022	0.305168	0.433235
