 	elle	m'	a	aspergé	d'	eau	</S>
a85	0.430858	0.366791	0.136641	0.0245628	0.0146428	0.0123794	0.0141244
a87	0.459369	0.315213	0.101468	0.0333096	0.0240509	0.0254508	0.0411388
a23	0.329449	0.254975	0.150186	0.0673429	0.0448957	0.0564187	0.0967328
a20	0.170603	0.144367	0.118775	0.0758115	0.0771412	0.126612	0.286689
a73	0.20022	0.243971	0.247505	0.119426	0.0816542	0.0579368	0.049287
a37	0.173139	0.206332	0.296521	0.197433	0.063877	0.0354396	0.0272571
a24	0.140629	0.154396	0.209967	0.222411	0.118109	0.083217	0.0712713
a12	0.108377	0.106892	0.13765	0.174944	0.180353	0.157922	0.133862
a94	0.0651782	0.0581348	0.0771077	0.129227	0.191772	0.227382	0.251198
a76	0.0638591	0.0444667	0.0431737	0.0925031	0.18443	0.263888	0.307679
a20	0.0341923	0.0259185	0.0336714	0.0975229	0.227968	0.279658	0.301069
a73	0.0119541	0.00964782	0.014848	0.062511	0.218084	0.315522	0.367432
a94	0.00549707	0.00440497	0.00756059	0.0437708	0.179695	0.319775	0.439296
a41	0.00294404	0.0024812	0.00475224	0.0296026	0.133947	0.307115	0.519158
a26	0.00308731	0.00301151	0.00660388	0.0431835	0.149472	0.291323	0.503319
a73	0.00169541	0.00133428	0.00217157	0.0151996	0.0821075	0.252794	0.644698
a2	0.00343551	0.0034491	0.00726881	0.0274299	0.082613	0.229074	0.646729
a57	0.00592594	0.00533694	0.00654127	0.0163499	0.0536838	0.193292	0.71887
a87	0.00387657	0.00442739	0.00682897	0.0134439	0.0450627	0.188975	0.737386
</S>	0.00345744	0.00623213	0.0154042	0.0416322	0.0937682	0.230028	0.609477
