 	onze	a	insisté	pour	poursuivre	cette	affaire-là	</S>
a66	0.196284	0.269919	0.326947	0.123729	0.0595292	0.0138728	0.00512243	0.00459626
a87	0.243709	0.256835	0.262556	0.131337	0.048555	0.026373	0.0125962	0.0180392
a97	0.180025	0.175708	0.273994	0.107627	0.0791562	0.0641785	0.0556648	0.0636462
a87	0.202707	0.179102	0.234625	0.0992275	0.0806524	0.0711058	0.0645064	0.0680736
a97	0.225754	0.186144	0.237826	0.0987277	0.0791108	0.0681953	0.0486904	0.0555513
a99	0.219269	0.195368	0.25979	0.0961268	0.0701433	0.0550766	0.047252	0.0569752
a97	0.237915	0.219159	0.276873	0.0925602	0.0563939	0.0415714	0.0324934	0.0430343
a79	0.22423	0.19852	0.267454	0.0966133	0.067092	0.0523515	0.0405952	0.053144
a13	0.251944	0.207668	0.221319	0.0954099	0.0619469	0.0542972	0.0430763	0.0643386
a11	0.364721	0.231269	0.191707	0.0616612	0.0462934	0.0418846	0.0232795	0.0391846
a21	0.290057	0.224016	0.199868	0.0847779	0.07127	0.0566795	0.0298667	0.0434646
a5	0.291505	0.267974	0.236185	0.0738141	0.0613254	0.0275926	0.0185305	0.0230736
a85	0.234767	0.25486	0.246624	0.0897901	0.0821652	0.0370369	0.0249551	0.0298028
a6	0.164733	0.222005	0.227475	0.13076	0.115244	0.0619673	0.0335432	0.0442724
a36	0.163434	0.225785	0.263949	0.137807	0.10854	0.0452812	0.0245217	0.0306826
a27	0.104197	0.162085	0.221142	0.150347	0.151857	0.0696034	0.0556579	0.0851109
a24	0.0652286	0.0869185	0.141016	0.118485	0.162572	0.0936319	0.111248	0.2209
a50	0.0622966	0.0821891	0.149921	0.126483	0.183071	0.102692	0.0968949	0.196452
a96	0.0358155	0.0466552	0.112802	0.118245	0.198503	0.112699	0.126928	0.248351
a62	0.0238158	0.0342139	0.0965525	0.121994	0.202659	0.134866	0.132153	0.253746
a47	0.0171005	0.0274212	0.0632133	0.0831384	0.172118	0.187659	0.170676	0.278673
a34	0.016924	0.023435	0.0604132	0.0936049	0.173139	0.17752	0.174699	0.280266
a56	0.00878683	0.0136567	0.0314235	0.0517072	0.124159	0.201353	0.236997	0.331917
a44	0.00722904	0.00942462	0.0187825	0.0381477	0.102132	0.18334	0.254928	0.386017
a56	0.00380242	0.00518665	0.0104599	0.026203	0.0721961	0.161194	0.280396	0.440562
a43	0.00162411	0.00211906	0.00469672	0.0143803	0.0402003	0.104591	0.294653	0.537735
a56	0.000202454	0.000244942	0.000574423	0.00280801	0.010867	0.0600709	0.354547	0.570685
a47	0.000344606	0.000395482	0.000809059	0.00386154	0.0135046	0.0617985	0.321463	0.597823
a96	0.000349871	0.000390946	0.000832357	0.00508493	0.0161083	0.0840322	0.344229	0.548973
a90	0.000152725	0.000149485	0.000337638	0.00225005	0.00666344	0.0531847	0.398368	0.538894
a69	0.00013568	0.000181846	0.000379471	0.00216275	0.00733436	0.0451995	0.345719	0.598887
a94	5.50741e-05	8.4644e-05	0.000194366	0.00102464	0.00360142	0.0255185	0.287927	0.681594
a88	4.86757e-05	5.24176e-05	0.000103753	0.000714784	0.00214879	0.0262037	0.376048	0.59468
a9	0.000484673	0.000504934	0.000876017	0.00374202	0.0082259	0.0510463	0.435628	0.499492
a97	0.00666032	0.00760988	0.0143461	0.0259946	0.0380119	0.108547	0.440233	0.358597
a99	0.0248141	0.0273295	0.0415349	0.0584683	0.0848096	0.152314	0.339544	0.271186
a97	0.00854563	0.00778176	0.0123743	0.0197318	0.0280152	0.0893655	0.325256	0.50893
</S>	0.00450374	0.00477985	0.00953699	0.020307	0.0315191	0.0885009	0.309289	0.531563
