 	c'	est	avec	des	tiges	de	bois	ou	de	métal	que	l'	on	renforce	le	manche	d'	une	hache	</S>
a66	0.140317	0.172826	0.179431	0.141502	0.0571287	0.0284914	0.0209719	0.0236149	0.0333712	0.0321734	0.0263523	0.0215257	0.0184428	0.0209361	0.0156499	0.0143207	0.0136838	0.0139045	0.0131678	0.0121886
a87	0.138734	0.205763	0.20774	0.149118	0.0475527	0.021452	0.013346	0.0115505	0.0118449	0.0102226	0.00862815	0.00935092	0.0094713	0.0152112	0.0185489	0.0199606	0.0242098	0.0252664	0.0271959	0.0248326
a23	0.329437	0.299208	0.187276	0.0609317	0.0172195	0.00784322	0.00570308	0.00492038	0.00507395	0.00425449	0.00422648	0.00461487	0.00455101	0.00804912	0.0061843	0.00723178	0.00846936	0.0103449	0.0113473	0.013114
a40	0.200415	0.179464	0.0949146	0.0280724	0.0163892	0.0151983	0.0166675	0.0194275	0.0257072	0.0273937	0.0201805	0.0196457	0.0204914	0.0360114	0.0347152	0.0395035	0.045258	0.0495617	0.0563714	0.0546121
a37	0.095407	0.0826575	0.0731323	0.061961	0.0474002	0.0404699	0.0377095	0.0566435	0.0548747	0.046588	0.0420998	0.0370232	0.0348146	0.0513888	0.0484078	0.0425759	0.0427983	0.0420986	0.0343011	0.027648
a61	0.124446	0.141294	0.180833	0.21881	0.0932777	0.0181532	0.0105141	0.00800139	0.0106804	0.00862146	0.00827291	0.0101635	0.0123686	0.0211992	0.0239153	0.0250702	0.0273449	0.0226485	0.0188039	0.015582
a12	0.098366	0.104234	0.148468	0.191167	0.142627	0.0305441	0.017608	0.0135147	0.020716	0.0153765	0.0135268	0.0155367	0.0183672	0.0344178	0.0340499	0.0300028	0.0271463	0.0199018	0.0140777	0.0103521
a21	0.0815544	0.0690772	0.0886256	0.140448	0.182188	0.0520275	0.0351968	0.0285706	0.0440464	0.0292674	0.022787	0.0214211	0.0234721	0.0411759	0.035258	0.030397	0.0264177	0.0200265	0.0155544	0.0124881
a5	0.0367958	0.0288908	0.0355271	0.0691672	0.167779	0.102663	0.074186	0.0640132	0.0778295	0.0504036	0.0384639	0.0317075	0.0304563	0.0410522	0.0332152	0.0292669	0.0252637	0.0219537	0.0205521	0.0208134
a36	0.0214182	0.0187224	0.0246923	0.0557668	0.151257	0.136048	0.0916609	0.0761418	0.0850478	0.0483992	0.0365254	0.0293668	0.0274474	0.0316004	0.0271669	0.0276485	0.0263373	0.0268372	0.0271874	0.0307275
