 	j'	aime	manger	les	légumes	kyekyeli	aux	poissons	</S>
a66	0.112675	0.14915	0.194953	0.223103	0.240861	0.05705	0.0116523	0.00580079	0.00475533
a87	0.485752	0.192484	0.121295	0.074336	0.059183	0.0275175	0.0101686	0.0134814	0.015783
a23	0.417435	0.182603	0.129848	0.0894969	0.0561842	0.0402124	0.0244134	0.0275991	0.0322092
a18	0.364294	0.165814	0.0902692	0.0783024	0.0494348	0.071596	0.0525412	0.056367	0.0713816
a75	0.283636	0.195443	0.122322	0.0982865	0.0827047	0.0590324	0.0463123	0.0528545	0.059408
a5	0.345726	0.201186	0.147705	0.0948447	0.0981338	0.0339048	0.0160104	0.0285037	0.0339862
a12	0.266243	0.191698	0.146447	0.12394	0.129492	0.0802045	0.0221756	0.0198255	0.019975
a88	0.308344	0.168829	0.132284	0.134787	0.116863	0.0878002	0.0225788	0.014293	0.0142214
a62	0.166869	0.14893	0.135839	0.161361	0.129229	0.121272	0.0569817	0.0401024	0.0394162
a96	0.160745	0.140587	0.127788	0.14719	0.123534	0.114319	0.0685884	0.0562554	0.0609931
a75	0.144204	0.13623	0.143384	0.187364	0.182368	0.105525	0.0361504	0.0301268	0.0346486
a92	0.0773587	0.102246	0.133405	0.203385	0.209033	0.142945	0.0434389	0.0389788	0.0492093
a37	0.0602208	0.0936032	0.129218	0.196655	0.203152	0.143889	0.0562384	0.0526152	0.064409
a56	0.0539141	0.101012	0.14811	0.216609	0.207634	0.115132	0.0438154	0.0502699	0.063503
a21	0.0376595	0.0721397	0.130956	0.217274	0.225186	0.118796	0.0545174	0.0623507	0.0811218
a5	0.0196208	0.0336634	0.0711972	0.172225	0.225468	0.164048	0.0926819	0.0998722	0.121224
a21	0.0102738	0.0165218	0.0327122	0.104551	0.174359	0.166819	0.131596	0.154642	0.208526
a47	0.0112779	0.0161187	0.0294585	0.0906235	0.158624	0.178736	0.151285	0.161839	0.202037
a18	0.0113143	0.0177397	0.0289196	0.0763127	0.137698	0.187141	0.172552	0.169814	0.198508
a62	0.00520569	0.00811173	0.0119242	0.0263201	0.0487483	0.124574	0.18475	0.228278	0.362087
a47	0.00352279	0.00494444	0.00706231	0.0163977	0.0381391	0.145941	0.262623	0.239926	0.281444
a31	0.00630339	0.00862411	0.0105278	0.0195407	0.0383261	0.116857	0.250013	0.265535	0.284273
a0	0.00160108	0.0020246	0.00269203	0.00632129	0.0155883	0.0719472	0.244106	0.345538	0.310182
a75	0.00078517	0.000996104	0.00126852	0.00226278	0.00473704	0.0304315	0.190762	0.355216	0.413541
a85	0.000151527	0.000203253	0.000275661	0.000710504	0.00203918	0.017773	0.168657	0.373191	0.436999
a6	0.000191359	0.0002782	0.000323398	0.000680772	0.00163796	0.0100367	0.116561	0.395907	0.474384
a0	0.000164603	0.000195119	0.000249395	0.000603326	0.00163999	0.0117018	0.11977	0.344056	0.52162
a62	0.000127477	0.00012719	0.000158625	0.000291063	0.000739078	0.00512228	0.0917071	0.31998	0.581747
a88	0.000119924	0.000153004	0.000236783	0.000547167	0.00150238	0.0103844	0.12438	0.324866	0.53781
a9	0.000112617	0.000119061	0.000194949	0.000429825	0.00134102	0.00716109	0.122124	0.307958	0.56056
a99	0.00569345	0.0042301	0.00498403	0.00590771	0.0160034	0.031695	0.191573	0.277801	0.462113
a87	0.0456339	0.0256454	0.0313453	0.0358381	0.0662806	0.0788305	0.19069	0.225721	0.300015
a23	0.116258	0.0605018	0.0743385	0.0760007	0.0881942	0.0730726	0.155982	0.178269	0.177383
a97	0.0689409	0.0214722	0.0186729	0.0174589	0.0195323	0.0240505	0.121589	0.29834	0.409943
</S>	0.014434	0.00670199	0.00875633	0.014038	0.0164049	0.0221986	0.122192	0.295706	0.499569
