 	le	repas	qu'	il	ont	préparé	est	délicieux	</S>
a66	0.387811	0.208349	0.129878	0.0917734	0.0664091	0.040072	0.0255141	0.0239426	0.0262517
a87	0.375503	0.187487	0.115217	0.0664506	0.0514173	0.0485275	0.0422429	0.0564441	0.0567103
a23	0.535275	0.219271	0.0846339	0.0331834	0.0273955	0.0270252	0.0238368	0.0242083	0.0251709
a61	0.407333	0.170264	0.0631345	0.0228052	0.029067	0.0518441	0.0724906	0.0816696	0.101392
a75	0.294038	0.13985	0.0862961	0.0697244	0.0805384	0.0897162	0.0815331	0.0731203	0.0851832
a6	0.232074	0.198568	0.143562	0.0893382	0.0871487	0.0891441	0.0673769	0.0475892	0.0451986
a37	0.188109	0.199042	0.169361	0.11997	0.105062	0.100974	0.0605937	0.0291909	0.0276983
a62	0.279427	0.261127	0.176857	0.103737	0.0636794	0.0486977	0.0340487	0.0166715	0.0157545
a12	0.24517	0.241466	0.202467	0.133338	0.0765315	0.0441599	0.026508	0.0156785	0.0146817
a96	0.153849	0.175812	0.197013	0.188177	0.112126	0.0643757	0.0470088	0.0313116	0.0303263
a31	0.099777	0.111164	0.151413	0.214038	0.158323	0.0990393	0.0722257	0.0481879	0.0458329
a12	0.0650315	0.071948	0.103978	0.225948	0.194387	0.121379	0.0922452	0.0639866	0.0610968
a37	0.0496632	0.0560916	0.0735	0.166758	0.187219	0.148882	0.129903	0.0946787	0.0933051
a98	0.0469804	0.0572898	0.0752428	0.134947	0.147194	0.123865	0.142933	0.128038	0.14351
a47	0.00979098	0.013029	0.023187	0.0822529	0.141039	0.168546	0.214328	0.170506	0.177322
a85	0.00802677	0.00844986	0.0156496	0.0581458	0.109196	0.1385	0.221024	0.195374	0.245634
a5	0.00413213	0.0042832	0.00715591	0.0298358	0.0768842	0.144171	0.275768	0.217107	0.240663
a12	0.00789745	0.00888692	0.0125834	0.0291865	0.0529058	0.0994909	0.214427	0.262053	0.312568
a96	0.00503012	0.00560544	0.00820097	0.0212188	0.0421942	0.0809308	0.188697	0.278914	0.369209
a18	0.00301727	0.00333734	0.0049807	0.0139006	0.027494	0.0591567	0.157975	0.298182	0.431957
a54	0.0133924	0.0115736	0.0136217	0.0275046	0.0417692	0.0684075	0.132491	0.260452	0.430788
a6	0.000465063	0.000492231	0.000749292	0.00329404	0.0135483	0.056672	0.180633	0.2802	0.463947
a37	0.000491012	0.000533425	0.000828871	0.00381975	0.014365	0.0493413	0.161574	0.275039	0.494008
a6	0.000939855	0.000811241	0.00108499	0.00354764	0.00989099	0.0318987	0.1244	0.271693	0.555733
a79	0.000738349	0.000950803	0.00150996	0.00551723	0.0162038	0.0529168	0.159061	0.283766	0.479336
a7	0.000588876	0.000724342	0.00116243	0.00427014	0.0125834	0.041175	0.137832	0.288288	0.513376
a37	0.00224245	0.00239627	0.00318458	0.00974591	0.0257604	0.0605466	0.158096	0.275394	0.462634
a18	0.00341246	0.00352464	0.00479129	0.0156982	0.0384039	0.0716651	0.163149	0.256389	0.442966
a25	0.0187534	0.0193535	0.0258826	0.0648542	0.10335	0.11585	0.175151	0.206066	0.270739
a87	0.100266	0.0737776	0.0737102	0.124541	0.141508	0.11701	0.130309	0.116257	0.122621
a23	0.249521	0.139047	0.108661	0.100892	0.0868371	0.0721864	0.0790441	0.0817633	0.082047
a87	0.17596	0.114236	0.0665826	0.0572155	0.0639882	0.0693237	0.0996681	0.152297	0.200729
a23	0.0424296	0.0310269	0.0214158	0.0302123	0.0495367	0.0757853	0.167404	0.25565	0.326539
a87	0.0966696	0.0677978	0.0420668	0.03965	0.0516543	0.0704617	0.145631	0.20995	0.276119
</S>	0.0400037	0.0294984	0.0195153	0.0319918	0.0595215	0.0992158	0.188112	0.231216	0.300925
