 	cette	plume	rouge	est	celle	du	péroquet	</S>
a66	0.346993	0.152321	0.124147	0.148905	0.121112	0.0589691	0.0236802	0.0238726
a87	0.401488	0.27286	0.153002	0.0676907	0.0431695	0.0262125	0.0145257	0.0210524
a23	0.696061	0.176166	0.0498101	0.0200433	0.0164736	0.0127162	0.0103533	0.0183763
a83	0.644659	0.207596	0.0507155	0.0152125	0.0117768	0.0129585	0.0178424	0.0392398
a12	0.363151	0.231095	0.0786954	0.0392217	0.0317357	0.0459055	0.0786867	0.131509
a18	0.374474	0.318674	0.155677	0.0609507	0.0327286	0.0200155	0.017239	0.0202411
a75	0.209998	0.248677	0.217926	0.118337	0.0761453	0.0441163	0.0389342	0.0458663
a6	0.143608	0.207738	0.224103	0.170916	0.103299	0.0588447	0.0440465	0.0474445
a85	0.077958	0.152216	0.240489	0.241764	0.144947	0.0607002	0.039182	0.0427432
a6	0.0731449	0.152738	0.222389	0.258423	0.162534	0.0533873	0.0353731	0.0420104
a36	0.0956716	0.157177	0.217804	0.236103	0.140488	0.0530553	0.04142	0.0582816
a75	0.0508962	0.0849123	0.184627	0.260414	0.195274	0.0744275	0.0596876	0.0897613
a56	0.0228507	0.0596457	0.130836	0.247796	0.219455	0.105453	0.0843789	0.129585
a44	0.036469	0.0723878	0.139724	0.248128	0.220666	0.106842	0.0688989	0.106885
a31	0.0254935	0.0414394	0.0856169	0.201661	0.238252	0.16173	0.100771	0.145036
a24	0.0211977	0.0380808	0.0696471	0.169466	0.222522	0.200749	0.125185	0.153152
a83	0.011529	0.0138479	0.0257335	0.0685828	0.129535	0.211472	0.233217	0.306082
a9	0.00852811	0.00843811	0.015167	0.039177	0.0822138	0.170505	0.26096	0.415012
a83	0.0107169	0.00794506	0.0170449	0.0335214	0.0603471	0.136217	0.244326	0.489881
a75	0.00463063	0.00373697	0.00672401	0.0121223	0.0233606	0.0837214	0.232967	0.632737
a92	0.00105661	0.0011969	0.00233035	0.00598132	0.0152885	0.0726558	0.28948	0.612011
a7	0.000534565	0.000502901	0.00109853	0.00337287	0.0103698	0.0567739	0.272959	0.654388
a44	0.000438079	0.000354192	0.000541631	0.00111957	0.00335269	0.0276243	0.19389	0.772679
a93	0.000331879	0.000331837	0.000603265	0.00150283	0.00563648	0.0457753	0.252888	0.692931
a4	0.000146241	0.000200621	0.000398564	0.00121955	0.00463715	0.0402834	0.244892	0.708223
a11	0.000372435	0.000521488	0.00105057	0.00336262	0.0114813	0.06395	0.261673	0.657588
a0	0.00043791	0.000533863	0.00163152	0.00527137	0.0196383	0.0955863	0.315671	0.561229
a9	0.00457656	0.0020836	0.00416268	0.00847045	0.0268305	0.0957339	0.319655	0.538487
a87	0.0956014	0.0608911	0.0561981	0.0599739	0.0878395	0.138004	0.217992	0.283501
a23	0.315588	0.156859	0.0882421	0.0655629	0.0695871	0.0827554	0.105388	0.116017
a87	0.174688	0.127859	0.0615469	0.0432952	0.0467695	0.07947	0.165489	0.300883
</S>	0.0178813	0.0123536	0.00908665	0.00887085	0.0146547	0.0553894	0.234692	0.647072
