 	sa	démarche	me	fait	rire	</S>
a85	0.446754	0.192504	0.202542	0.0991877	0.0379532	0.0210582
a66	0.482994	0.120731	0.174241	0.100227	0.0661845	0.0556236
a87	0.506161	0.195738	0.0992813	0.0577441	0.0550243	0.0860519
a23	0.710215	0.186014	0.0438666	0.0220021	0.0164514	0.0214507
a87	0.672571	0.210003	0.0487163	0.0202509	0.0180623	0.0303962
a23	0.647497	0.199319	0.0731691	0.0290376	0.0232805	0.0276968
a87	0.676366	0.177443	0.0576766	0.0253828	0.0240411	0.0390904
a23	0.553649	0.210341	0.106677	0.0436657	0.0363635	0.0493044
a50	0.551658	0.17461	0.0866866	0.0503061	0.0528038	0.0839347
a62	0.364312	0.326834	0.117541	0.0586899	0.0565182	0.0761054
a34	0.292521	0.328585	0.15326	0.0812045	0.0676342	0.0767949
a21	0.185677	0.314099	0.200826	0.11862	0.083919	0.0968592
a12	0.243894	0.307851	0.270045	0.100478	0.0385582	0.0391737
a18	0.165183	0.225174	0.275465	0.163868	0.0775825	0.0927277
a61	0.0974152	0.113082	0.200141	0.19236	0.137906	0.259096
a24	0.12491	0.137999	0.232502	0.232367	0.119373	0.152848
a21	0.0954353	0.090738	0.181338	0.256862	0.158804	0.216824
a85	0.169825	0.153465	0.235734	0.191196	0.115757	0.134022
a79	0.152963	0.122172	0.134188	0.130967	0.161508	0.298201
a90	0.105567	0.0752039	0.103829	0.165194	0.190313	0.359893
a98	0.0427397	0.0291581	0.0518835	0.167359	0.246468	0.462392
a85	0.0183109	0.0136017	0.0212511	0.0908583	0.238826	0.617152
a21	0.00726323	0.00433527	0.00866752	0.0529043	0.241881	0.684949
a5	0.0203824	0.011005	0.0171593	0.0675643	0.252734	0.631155
a23	0.0175243	0.0094976	0.0169886	0.0626586	0.241593	0.651738
a21	0.0101175	0.00486771	0.00965716	0.0519116	0.240179	0.683267
a5	0.0104672	0.00560237	0.0130591	0.0581261	0.246771	0.665974
a21	0.00778427	0.00376249	0.00878901	0.0425064	0.211284	0.725874
a5	0.00985832	0.00479723	0.0100982	0.0449536	0.220366	0.709926
a18	0.00653511	0.0033579	0.00855217	0.0421789	0.185568	0.753808
a56	0.00426742	0.00257935	0.00659279	0.0271388	0.147489	0.811933
a44	0.00293178	0.00182022	0.00513018	0.0250875	0.16012	0.80491
a58	0.00259475	0.00155409	0.00369272	0.0186403	0.143188	0.83033
a53	0.00992205	0.00392411	0.00697651	0.0277017	0.166683	0.784793
a4	0.00292156	0.00140067	0.00393406	0.0214175	0.148617	0.821709
a57	0.00166054	0.000979357	0.00253493	0.0166738	0.142393	0.835758
a82	0.00288194	0.00126195	0.00336603	0.0193596	0.137299	0.835832
a87	0.0711458	0.0253543	0.024287	0.0526095	0.177284	0.649319
a23	0.451249	0.251926	0.0828192	0.0523663	0.0626233	0.0990162
a87	0.197857	0.135467	0.0545463	0.0808053	0.195225	0.336099
</S>	0.0461117	0.0321974	0.0232094	0.0604429	0.214326	0.623713
