 	la	manière	dont	le	pain	a	suffi	pour	tout	le	monde	nous	a	surpris	</S>
a66	0.119441	0.0843612	0.0716474	0.0853489	0.114674	0.100862	0.0876313	0.10359	0.0765542	0.0612902	0.0310678	0.0216978	0.0149118	0.0141478	0.0127742
a87	0.0666812	0.0388625	0.0568071	0.0766117	0.0868499	0.0907324	0.0928042	0.0809562	0.0861263	0.0801582	0.0595581	0.0515069	0.0473212	0.0419035	0.0431206
a23	0.151505	0.0844839	0.0852659	0.0835178	0.0921688	0.0844325	0.0817582	0.0778267	0.0694326	0.06421	0.0341867	0.0302006	0.0209842	0.0192998	0.0207274
a50	0.121809	0.126316	0.145784	0.10514	0.104677	0.0959471	0.0850332	0.0654834	0.0459098	0.0405375	0.0213076	0.0154082	0.010489	0.00747951	0.00867974
a88	0.1512	0.12418	0.10554	0.0927466	0.0970886	0.0911542	0.0937827	0.0679145	0.0494344	0.044678	0.0229926	0.0152883	0.0137242	0.0122932	0.0179828
a71	0.268402	0.292758	0.166774	0.0600552	0.0451075	0.0301345	0.0215309	0.0207727	0.017949	0.019469	0.0149465	0.0137707	0.0123954	0.00876802	0.00716623
a38	0.257743	0.28204	0.161251	0.0579498	0.042312	0.030571	0.0224765	0.0184962	0.0165401	0.0197056	0.0195987	0.0216885	0.0192123	0.016241	0.0141739
a93	0.234746	0.261265	0.149576	0.0520747	0.0379506	0.0281956	0.0225912	0.0183693	0.0178057	0.0216684	0.0252864	0.0312931	0.0339692	0.0340983	0.0311098
a34	0.196118	0.226771	0.167532	0.0769783	0.0565638	0.0428845	0.0310564	0.0206318	0.0194803	0.0223596	0.0255903	0.0289007	0.0303178	0.0282194	0.0265969
a56	0.183749	0.188644	0.167281	0.0876	0.0700941	0.0585523	0.0429241	0.0269305	0.0240995	0.0250035	0.0242466	0.0241292	0.0247507	0.0253194	0.0266768
a61	0.13412	0.146814	0.158797	0.0997584	0.0823068	0.0721558	0.0559923	0.0330507	0.0283322	0.0280547	0.0259421	0.0257041	0.0288982	0.0364489	0.0436254
a47	0.11975	0.127292	0.148949	0.0974923	0.0829693	0.0770905	0.0594287	0.0367059	0.0311125	0.029969	0.028094	0.0288891	0.0336732	0.0462074	0.0523774
a21	0.0590282	0.06809	0.113917	0.106925	0.0967378	0.102139	0.0882572	0.0524071	0.0463923	0.043247	0.0388259	0.0402924	0.0428213	0.0488875	0.0520315
a12	0.0534515	0.0554937	0.095816	0.0893961	0.0859552	0.0904872	0.0736294	0.0612759	0.0614784	0.0559206	0.0491674	0.0473996	0.046396	0.0615809	0.0725522
a94	0.0305927	0.029926	0.0630071	0.0891708	0.0943151	0.107718	0.0928921	0.0819874	0.0832366	0.0731279	0.0565545	0.0470714	0.0418571	0.0489054	0.0596385
a90	0.0141849	0.0153107	0.0414246	0.096388	0.118769	0.150244	0.143051	0.0862355	0.0774628	0.063766	0.0426588	0.0337193	0.030248	0.0374192	0.0491189
a15	0.0096663	0.0111628	0.0279397	0.0637315	0.0798401	0.094425	0.110473	0.0759797	0.0986708	0.0894474	0.0778037	0.0576685	0.0484118	0.0636967	0.0910827
a79	0.00669545	0.00803397	0.0181379	0.0476509	0.0834182	0.121486	0.150728	0.0959864	0.113142	0.0903883	0.0675123	0.0372053	0.0328939	0.04802	0.0787009
a98	0.00778568	0.00942484	0.0204615	0.051839	0.0855374	0.133811	0.153773	0.0959772	0.105408	0.0828434	0.0625894	0.0397806	0.033542	0.0464284	0.070799
a15	0.00544902	0.0069918	0.0137237	0.0337149	0.0661782	0.122865	0.160936	0.0982485	0.116122	0.0866576	0.0683066	0.0412392	0.0368523	0.054268	0.0884472
a98	0.00694038	0.00871461	0.0160071	0.0332362	0.0624094	0.108319	0.150712	0.10281	0.133583	0.0989888	0.078086	0.0422438	0.035188	0.0456111	0.0771499
a79	0.0126687	0.0152558	0.0191867	0.0339087	0.0579965	0.102873	0.115295	0.0833598	0.103892	0.0806755	0.0811428	0.0611939	0.057429	0.0694523	0.105671
a98	0.0119579	0.0138936	0.0199167	0.0389759	0.0694016	0.128321	0.152296	0.105587	0.126168	0.0906631	0.0717315	0.0437002	0.0323459	0.0366332	0.0584084
a85	0.0147645	0.0160035	0.0189004	0.0308692	0.0502638	0.0892562	0.105507	0.0821294	0.115438	0.0898645	0.0892251	0.0648402	0.0581853	0.06755	0.107203
a21	0.010716	0.0119485	0.0132989	0.0244204	0.0440861	0.0817885	0.0927609	0.0765693	0.107431	0.0808842	0.0898879	0.064582	0.0670475	0.0873577	0.147221
a12	0.00462387	0.00555138	0.0098167	0.0250881	0.0458203	0.086826	0.0984727	0.0917852	0.144644	0.115554	0.100792	0.0633393	0.0493577	0.0589793	0.0993495
a96	0.00674589	0.0080213	0.0145326	0.0341791	0.058636	0.109483	0.115249	0.0854993	0.125717	0.0937277	0.0752274	0.0483216	0.0453062	0.0642621	0.115091
a18	0.00584581	0.0068755	0.0132904	0.0328275	0.0581215	0.115065	0.142602	0.0821053	0.129646	0.0896902	0.0678329	0.0387414	0.0374267	0.0601131	0.119818
a82	0.0101163	0.0102586	0.0188733	0.0418338	0.0768799	0.159905	0.158875	0.102216	0.130868	0.0793403	0.0568995	0.0306231	0.026239	0.0368236	0.0602487
a87	0.0138821	0.0130464	0.0183741	0.0309849	0.0542	0.114206	0.133968	0.092242	0.121245	0.0828607	0.0668377	0.0545059	0.0587933	0.0688312	0.0760226
a23	0.0153001	0.0087606	0.0101132	0.0209113	0.0437291	0.0688599	0.111116	0.100331	0.116867	0.0974712	0.0792158	0.073135	0.0786299	0.0903579	0.0852021
a79	0.00792041	0.00533199	0.00662182	0.01233	0.0239966	0.0342611	0.0442981	0.0588524	0.0882463	0.0949089	0.093935	0.107413	0.124422	0.146166	0.151296
a18	0.0035456	0.00237326	0.00424664	0.00978713	0.0207721	0.0323	0.0557577	0.0567442	0.0730255	0.0710452	0.0747306	0.0662775	0.110285	0.16029	0.258819
a75	0.000776284	0.000472912	0.000870522	0.00248419	0.00573908	0.0097232	0.0140445	0.0153119	0.0313496	0.0393414	0.0644943	0.0857889	0.161958	0.267477	0.300169
