 	les	urines	de	la	femme	sortent	du	vagin	</S>
a10	0.340339	0.162944	0.152812	0.127489	0.106397	0.0521594	0.0218545	0.0171626	0.0188424
a2	0.285772	0.10527	0.108137	0.110483	0.129772	0.0966109	0.0492518	0.050595	0.0641075
a40	0.19966	0.12768	0.150905	0.151347	0.169973	0.100508	0.0365687	0.0301996	0.0331599
a85	0.257768	0.163599	0.122334	0.0947692	0.0828891	0.0981617	0.0644806	0.0572113	0.058787
a37	0.419525	0.137064	0.101129	0.0768148	0.0683378	0.0688893	0.0421158	0.0392746	0.0468505
a5	0.254182	0.134997	0.14075	0.127182	0.125365	0.0851441	0.040286	0.0439437	0.0481507
a12	0.138904	0.135505	0.16984	0.158613	0.157337	0.0987009	0.0460922	0.0462998	0.048708
a21	0.164166	0.149628	0.192907	0.162858	0.153037	0.0803381	0.0341138	0.0307613	0.0321903
a92	0.151832	0.152937	0.193867	0.16105	0.148126	0.0896053	0.0428409	0.0295945	0.0301464
a56	0.0617776	0.128123	0.181401	0.174568	0.179385	0.122956	0.0614556	0.0441418	0.0461927
a94	0.0475963	0.123474	0.188097	0.179232	0.174801	0.118264	0.0642563	0.051038	0.0532409
a96	0.0365181	0.104019	0.17273	0.184213	0.192818	0.11911	0.0654984	0.0588727	0.0662198
a56	0.0336078	0.0846946	0.141036	0.164617	0.182519	0.137214	0.0929261	0.0802268	0.0831593
a34	0.0264191	0.0628607	0.102829	0.135997	0.173315	0.149997	0.118108	0.110955	0.119519
a98	0.0181332	0.0604812	0.10945	0.158504	0.205331	0.161044	0.106581	0.0894808	0.0909952
a25	0.0295409	0.0486375	0.0675725	0.0951733	0.152035	0.150124	0.138968	0.146961	0.170988
a79	0.0192136	0.0420103	0.0627357	0.11334	0.199391	0.17649	0.130485	0.117424	0.13891
a75	0.0168956	0.0329779	0.0462631	0.0796346	0.14507	0.149785	0.143205	0.178248	0.207921
a92	0.0154636	0.0304562	0.0402347	0.060814	0.114685	0.119714	0.139356	0.213732	0.265544
a56	0.0155914	0.0318503	0.0401288	0.0551944	0.107126	0.122444	0.14057	0.224102	0.262994
a21	0.0100965	0.0262508	0.0376376	0.0548585	0.105051	0.124877	0.149867	0.23113	0.260232
a12	0.0249665	0.0421744	0.053022	0.0704789	0.115664	0.12958	0.142979	0.19268	0.228454
a96	0.0133622	0.0274442	0.0378542	0.0536978	0.0909319	0.124695	0.165594	0.237572	0.248849
a18	0.00614066	0.0165208	0.0271995	0.0464462	0.0826326	0.123851	0.180236	0.26709	0.249884
a11	0.00667045	0.00843533	0.0125719	0.0223233	0.0423896	0.0751746	0.121112	0.287798	0.423525
a62	0.00561387	0.00846309	0.0126678	0.022822	0.0398839	0.0608412	0.118266	0.290722	0.440719
a88	0.00162899	0.00360935	0.00519862	0.00908544	0.0166082	0.035884	0.0914382	0.309867	0.52668
a71	0.00399763	0.00442053	0.00607996	0.00988109	0.0175339	0.0362755	0.0911658	0.314558	0.516088
a9	0.00822905	0.0118676	0.0136037	0.019194	0.0275075	0.045093	0.126462	0.321117	0.426926
a10	0.0551611	0.0620922	0.0566066	0.0560177	0.0619865	0.0815384	0.182017	0.241293	0.203288
a87	0.0847047	0.0829996	0.0780197	0.0885434	0.110041	0.147571	0.166847	0.139827	0.101447
a10	0.0856185	0.0766908	0.101094	0.133311	0.157921	0.149999	0.123958	0.0968534	0.0745538
a87	0.0961268	0.0634187	0.0828824	0.109088	0.139622	0.129253	0.111488	0.128189	0.139932
a23	0.0908782	0.068536	0.0979545	0.118846	0.139002	0.113684	0.0936275	0.119088	0.158384
a27	0.0371927	0.0364868	0.0416751	0.0419452	0.0570103	0.100015	0.157015	0.222439	0.306221
</S>	0.042481	0.0550593	0.0648927	0.057681	0.0671317	0.0894505	0.136041	0.205799	0.281464
