 	a	son	tour	son	frère	l'	a	mal	reçu	</S>
a87	0.141136	0.126232	0.189599	0.153325	0.137903	0.106603	0.0601221	0.0400696	0.0246336	0.0203774
a23	0.190312	0.140556	0.122719	0.0742627	0.05326	0.0522816	0.0545293	0.076116	0.100058	0.135905
a83	0.125979	0.160152	0.16172	0.130494	0.0921028	0.0763897	0.0678797	0.0732326	0.0579133	0.054137
a76	0.408168	0.260143	0.147384	0.0739482	0.0405299	0.0269803	0.0159435	0.011154	0.00879812	0.00695128
a94	0.321223	0.223702	0.1315	0.0939284	0.0772871	0.0635774	0.0386566	0.0224064	0.0155313	0.0121886
a58	0.252795	0.200464	0.178789	0.117789	0.0874457	0.0608414	0.0358015	0.0249352	0.0217024	0.0194366
a25	0.187585	0.163057	0.15821	0.126557	0.0999309	0.0767663	0.0558959	0.0440439	0.041194	0.0467607
a38	0.148648	0.157839	0.176299	0.14699	0.115785	0.0817587	0.0521892	0.0403804	0.0363953	0.0437144
a76	0.128526	0.147994	0.170819	0.155307	0.131585	0.0925513	0.0550583	0.041348	0.0359063	0.0409054
a20	0.105845	0.135791	0.170154	0.163132	0.146008	0.107851	0.0574146	0.0373907	0.035687	0.040727
a76	0.0905522	0.125836	0.1748	0.15217	0.139773	0.10335	0.0619389	0.0504822	0.0476404	0.0534565
a73	0.0874602	0.109692	0.1435	0.134546	0.128471	0.111056	0.0819303	0.0659152	0.0648203	0.0726096
a57	0.04222	0.0576753	0.104541	0.164224	0.194386	0.150616	0.0876554	0.0679103	0.0608275	0.0699447
a87	0.0181302	0.0380362	0.0845717	0.204888	0.225921	0.167149	0.0870145	0.0533787	0.0517224	0.0691885
a23	0.0258206	0.0410504	0.0564389	0.158635	0.178081	0.162691	0.119122	0.0833267	0.083591	0.0912443
a79	0.0249656	0.0476977	0.0424697	0.122492	0.138703	0.128623	0.12311	0.108956	0.116132	0.146851
a20	0.0644794	0.0974388	0.0807893	0.143249	0.150207	0.115012	0.0836943	0.0745217	0.0677609	0.122847
a14	0.0765493	0.106821	0.15875	0.172518	0.151283	0.117372	0.067093	0.0492178	0.0443795	0.0560165
a35	0.0199661	0.0339838	0.0747477	0.167993	0.207328	0.175267	0.109367	0.0790551	0.0636793	0.0686124
a14	0.0219236	0.0357765	0.0606817	0.133211	0.171555	0.143817	0.100363	0.0948965	0.0968427	0.140932
a94	0.0144138	0.026386	0.0452632	0.123292	0.182624	0.157482	0.108269	0.101503	0.103432	0.137335
a98	0.00819301	0.0168349	0.0323393	0.114185	0.178251	0.157353	0.110847	0.105386	0.11906	0.157551
a53	0.0140731	0.0216184	0.0436225	0.113088	0.180092	0.152058	0.105826	0.1025	0.113586	0.153536
a20	0.035733	0.0399879	0.0608608	0.134374	0.175049	0.144344	0.0962178	0.0940305	0.0927034	0.1267
a14	0.0168955	0.0242666	0.0441838	0.0996118	0.141741	0.126546	0.0995694	0.11568	0.145757	0.18575
a41	0.0141179	0.01939	0.0343719	0.0690034	0.115017	0.105259	0.0993882	0.136337	0.172586	0.234529
a24	0.0117761	0.0192904	0.0293845	0.0659496	0.105463	0.107747	0.104231	0.141061	0.184326	0.230771
a41	0.00599457	0.00973433	0.0106939	0.0195844	0.0319041	0.0361694	0.0507617	0.116916	0.255126	0.463116
a96	0.00859189	0.0131973	0.0174389	0.0322132	0.0520707	0.0610449	0.0749348	0.139784	0.233657	0.367068
a66	0.00567489	0.00844165	0.0101997	0.0194178	0.0316596	0.0390806	0.0515327	0.116099	0.249868	0.468026
a62	0.0073254	0.00755421	0.0106328	0.0225183	0.0370156	0.051524	0.0701906	0.133149	0.233797	0.426293
a47	0.00341269	0.00512365	0.00510451	0.00977165	0.0164412	0.0233803	0.037485	0.100306	0.242246	0.556729
a93	0.00640934	0.00926265	0.0111371	0.0164152	0.0220043	0.0258739	0.0347658	0.0900824	0.231516	0.552533
a90	0.00733351	0.0104066	0.0088978	0.0168847	0.0262777	0.0341155	0.0493697	0.118489	0.245922	0.482304
a76	0.0115211	0.0154018	0.012558	0.0248355	0.0366947	0.0442038	0.0587385	0.126702	0.24104	0.428304
a90	0.01002	0.0123955	0.0104976	0.0222828	0.0348205	0.040222	0.0537984	0.131313	0.251187	0.433463
a13	0.00875704	0.0132742	0.0114215	0.0289831	0.0446881	0.0511794	0.0642843	0.139043	0.248445	0.389925
a38	0.0218355	0.0256634	0.0252812	0.0354613	0.0414784	0.0449525	0.0501514	0.0960775	0.193928	0.465171
a41	0.0143408	0.0167998	0.0172442	0.0269301	0.0298725	0.0340361	0.0424332	0.0990469	0.209418	0.509878
a24	0.0145766	0.0199494	0.0146641	0.0214185	0.0265607	0.0315461	0.0429499	0.11161	0.227992	0.488733
a32	0.0221737	0.0288066	0.01765	0.0251453	0.0300525	0.0264805	0.0323505	0.0754372	0.159355	0.582548
a25	0.0208844	0.0245719	0.0157298	0.0192042	0.0224609	0.0221494	0.029576	0.072851	0.168826	0.603746
a87	0.0157143	0.0196526	0.0175315	0.0277867	0.0334721	0.0321189	0.0428359	0.0983584	0.184859	0.527671
a23	0.015923	0.0124265	0.00746165	0.0143854	0.0212265	0.0264423	0.0529015	0.136196	0.222832	0.490205
a87	0.0161924	0.019357	0.00728791	0.0167586	0.0272952	0.0380606	0.0684885	0.14818	0.23178	0.4266
</S>	0.0207256	0.0211865	0.00619283	0.0193702	0.0346621	0.0419678	0.072186	0.154656	0.210172	0.418882
