 	oswala	était	en	train	de	bavarder	dans	la	foule	</S>
a66	0.257743	0.16134	0.0804177	0.0700109	0.0864938	0.120028	0.0763377	0.0576433	0.0456349	0.0443505
a87	0.255358	0.118292	0.0824091	0.0814258	0.0941373	0.103078	0.0896623	0.0686182	0.0549018	0.0521171
a23	0.564417	0.157968	0.054477	0.0383873	0.0298029	0.0278139	0.0303132	0.0342494	0.0308374	0.0317334
a87	0.436676	0.163289	0.0698991	0.0502425	0.0461171	0.0459946	0.0455247	0.0456494	0.0448317	0.0517766
a23	0.347563	0.159017	0.0685611	0.0542729	0.0563386	0.0632033	0.0659251	0.0654682	0.059402	0.060249
a79	0.232429	0.110036	0.0619128	0.0569224	0.0636237	0.0541785	0.0795702	0.089669	0.111252	0.140406
a69	0.325159	0.254115	0.14361	0.0837689	0.0528961	0.0223556	0.0229971	0.0247547	0.031821	0.0385228
a11	0.214206	0.250783	0.204583	0.116796	0.0659553	0.0309256	0.0231337	0.0224639	0.0309151	0.0402382
a90	0.116906	0.158231	0.183242	0.144976	0.0983894	0.0633353	0.04377	0.0431036	0.0583389	0.0897085
a15	0.0865783	0.110769	0.152402	0.156115	0.123499	0.0792679	0.046863	0.0488118	0.0735911	0.122103
a98	0.068724	0.0891491	0.136865	0.159288	0.137896	0.0923176	0.0552021	0.0556936	0.0807672	0.124098
a85	0.123769	0.132082	0.181204	0.164494	0.13725	0.0786666	0.0447072	0.0365905	0.0448549	0.0563814
a37	0.114726	0.109331	0.152018	0.15763	0.145854	0.0976681	0.0532852	0.0410569	0.0524966	0.0759341
a66	0.122244	0.097305	0.132435	0.149024	0.145632	0.119125	0.0600929	0.0486657	0.0535816	0.0718941
a61	0.0591783	0.040308	0.0675776	0.11562	0.155278	0.143077	0.0793623	0.0747768	0.0998583	0.164963
a21	0.0416989	0.0297828	0.0498728	0.0944431	0.165918	0.198198	0.129101	0.0957697	0.0896352	0.10558
a75	0.0517027	0.0347617	0.0481546	0.0806686	0.148013	0.187288	0.149526	0.108536	0.0945607	0.0967879
a85	0.0249963	0.0183136	0.0269324	0.0447156	0.0920649	0.148317	0.139928	0.138295	0.166789	0.199647
a44	0.0260798	0.0185967	0.0282914	0.0517972	0.111388	0.160604	0.143498	0.134066	0.150631	0.175048
a66	0.00963305	0.00640385	0.0109635	0.0221008	0.0594016	0.104158	0.108011	0.145226	0.20671	0.327392
a98	0.00723932	0.00464171	0.0065826	0.0114214	0.029988	0.0638254	0.0861924	0.165514	0.263658	0.360938
a44	0.00443485	0.00297709	0.00500559	0.0106309	0.0289521	0.0573798	0.078722	0.150652	0.260508	0.400737
a98	0.00278324	0.0015196	0.0022243	0.00401223	0.0100547	0.020822	0.0381286	0.123338	0.28664	0.510477
a85	0.0017302	0.00101083	0.00168235	0.00363581	0.0103835	0.0202135	0.0370405	0.105005	0.269492	0.549806
a5	0.00161936	0.000984126	0.00155575	0.0032813	0.00942445	0.0183434	0.0357106	0.09932	0.259588	0.570173
a11	0.00467246	0.00256929	0.00365014	0.00615214	0.0139377	0.0268903	0.0536341	0.131347	0.271683	0.485464
a75	0.00175373	0.000977166	0.00176539	0.00330844	0.00746042	0.0141595	0.0344533	0.122291	0.282193	0.531639
a85	0.00266355	0.0013288	0.00245841	0.0046485	0.0103664	0.0158322	0.027262	0.0725117	0.213615	0.649313
a44	0.0049322	0.00251127	0.00436752	0.00778464	0.0169491	0.0210239	0.0375674	0.0905989	0.235458	0.578807
a13	0.00126336	0.000708077	0.00137598	0.0025994	0.00585165	0.00818985	0.0179409	0.0635662	0.2162	0.682304
a98	0.00351034	0.0017737	0.00297967	0.00526034	0.0120082	0.0188677	0.0392082	0.118118	0.27248	0.525794
a6	0.00139319	0.000657591	0.00130947	0.00242916	0.00537134	0.00825274	0.0202497	0.0704278	0.232956	0.656953
a61	0.000702622	0.000376318	0.00071086	0.00125413	0.0027884	0.00346947	0.0106778	0.048158	0.202725	0.729138
a83	0.000752586	0.000415875	0.000792879	0.00143373	0.00318318	0.00465291	0.013057	0.0526576	0.204847	0.718207
a9	0.000771632	0.000458768	0.000928224	0.00165675	0.00373308	0.00583822	0.0150811	0.0673478	0.239605	0.664579
a87	0.0209879	0.0112024	0.014348	0.0170078	0.0276561	0.0273643	0.0441773	0.104735	0.2459	0.486621
a23	0.174744	0.0598118	0.0437556	0.0377937	0.0430793	0.0474237	0.0760632	0.136759	0.174245	0.206325
a87	0.160323	0.0524982	0.0349686	0.0264456	0.028224	0.0222924	0.0437307	0.0909218	0.18058	0.360016
</S>	0.0263854	0.00971448	0.00835562	0.00886502	0.011169	0.0140397	0.0367146	0.113789	0.238431	0.532536
