 	les	champignons	poussent	d'	eux-mêmes	</S>
a66	0.595696	0.336107	0.0530138	0.00771712	0.00405962	0.00340679
a87	0.616259	0.256322	0.0629658	0.0187279	0.0230273	0.0226981
a23	0.599604	0.272657	0.069292	0.0205298	0.0181916	0.0197257
a40	0.419827	0.250412	0.0789785	0.0476865	0.0723961	0.1307
a7	0.622208	0.234924	0.0532863	0.0289965	0.0267542	0.0338315
a93	0.44961	0.371754	0.11585	0.0327054	0.0182774	0.0118027
a90	0.273266	0.274408	0.295419	0.114506	0.0326508	0.00974964
a44	0.137206	0.313717	0.334007	0.150878	0.04931	0.0148818
a98	0.0891951	0.153625	0.276696	0.247949	0.152294	0.0802399
a47	0.0908892	0.234809	0.312697	0.213619	0.0974885	0.0504976
a36	0.0694881	0.215158	0.248831	0.237264	0.152159	0.0771006
a56	0.0127112	0.0269728	0.0712664	0.184293	0.278364	0.426392
a25	0.0175232	0.0268377	0.0688981	0.161042	0.269945	0.455754
a54	0.00257252	0.00792661	0.0410047	0.148164	0.243511	0.55682
a47	0.00242073	0.00680734	0.0200738	0.0900403	0.204428	0.67623
a37	0.00395343	0.0132422	0.0317222	0.106265	0.2518	0.593017
a5	0.0034101	0.00954027	0.0231403	0.076517	0.209815	0.677578
a18	0.00354148	0.00917657	0.0272725	0.0685647	0.188288	0.703156
a71	0.00262612	0.0060591	0.0138858	0.0503228	0.174171	0.752935
a9	0.0436949	0.0284065	0.0257004	0.0547695	0.162452	0.684977
a97	0.463116	0.193487	0.0782801	0.0581263	0.0919809	0.115009
a87	0.442668	0.323341	0.111808	0.0355183	0.040864	0.0458003
a23	0.385808	0.343859	0.11864	0.0455065	0.0480729	0.0581125
a87	0.250251	0.248836	0.112454	0.0865251	0.107683	0.19425
</S>	0.0875568	0.108493	0.0589952	0.106559	0.147026	0.491369
