 	la	maman	habille	son	enfant	</S>
a66	0.475883	0.371655	0.0770884	0.0286135	0.0253206	0.0214398
a87	0.46268	0.336536	0.109252	0.0424621	0.0272646	0.0218049
a23	0.575599	0.258052	0.0814652	0.0361535	0.0230405	0.025689
a99	0.499971	0.219663	0.0894653	0.069342	0.0552726	0.066286
a30	0.434545	0.172865	0.109966	0.0847218	0.08977	0.108132
a53	0.368046	0.257784	0.196251	0.0758565	0.0547741	0.0472875
a79	0.291381	0.251267	0.200327	0.108168	0.0821822	0.066675
a98	0.158609	0.189186	0.190037	0.162248	0.156504	0.143416
a47	0.0674681	0.143314	0.239534	0.221457	0.177988	0.150239
a92	0.0412938	0.0690401	0.161963	0.24018	0.238948	0.248576
a47	0.0759082	0.127733	0.22683	0.208262	0.172566	0.1887
a0	0.0353395	0.0706679	0.170683	0.231894	0.226837	0.264579
a75	0.0395733	0.0534413	0.115159	0.195591	0.245222	0.351014
a47	0.0245405	0.0404145	0.106422	0.227871	0.270143	0.330609
a98	0.00742128	0.010495	0.0483691	0.237121	0.312764	0.383829
a92	0.00364453	0.00547432	0.0389528	0.220243	0.307351	0.424334
a34	0.00371608	0.00480072	0.0303701	0.18385	0.326657	0.450606
a96	0.00518603	0.0048413	0.0183801	0.120768	0.286412	0.564412
a66	0.00274377	0.00226885	0.0118209	0.076365	0.237309	0.669492
a75	0.00686028	0.0077404	0.0319863	0.0843001	0.237795	0.631318
a85	0.00123433	0.00169932	0.0141484	0.0660904	0.202068	0.714759
a37	0.000192343	0.000261444	0.00334064	0.0390005	0.176941	0.780264
a36	0.000772778	0.00132416	0.0107875	0.0597497	0.198312	0.729054
a2	0.0189818	0.0282657	0.0747994	0.143813	0.226333	0.507807
a57	0.145236	0.0688453	0.0638787	0.130716	0.20331	0.388013
a87	0.434094	0.241902	0.095629	0.0652706	0.0653195	0.0977849
a23	0.373459	0.271254	0.156293	0.0692613	0.0549424	0.0747897
a87	0.147463	0.0899278	0.0722486	0.116917	0.185973	0.387471
</S>	0.0158844	0.00982235	0.0186671	0.110528	0.246385	0.598713
