 	où	vas-tu	</S>
a23	0.563068	0.318571	0.11836
a70	0.623688	0.250262	0.12605
a54	0.345778	0.388501	0.265721
a76	0.383577	0.391431	0.224993
a35	0.391446	0.358361	0.250194
a76	0.423072	0.358038	0.21889
a90	0.424114	0.308153	0.267734
a38	0.435354	0.29071	0.273935
a14	0.373041	0.299519	0.32744
a44	0.247238	0.293555	0.459206
a57	0.17791	0.270006	0.552085
a79	0.0744577	0.277887	0.647655
a34	0.0748571	0.243817	0.681326
a62	0.077748	0.228328	0.693924
a24	0.0953859	0.239803	0.664811
a9	0.130674	0.279433	0.589893
a87	0.144548	0.27333	0.582123
a23	0.164399	0.234302	0.6013
a87	0.405194	0.246126	0.348681
</S>	0.242255	0.27138	0.486365
