 	la	chienne	fait	têter	ses	petits	</S>
a66	0.358181	0.316003	0.154046	0.0799591	0.0454754	0.0272093	0.0191262
a87	0.492587	0.282252	0.103462	0.0572998	0.0302614	0.0191038	0.0150348
a97	0.347746	0.426386	0.115948	0.0518892	0.0227645	0.017108	0.018158
a87	0.276886	0.557436	0.102865	0.0298944	0.0108048	0.0101009	0.0120135
a10	0.292716	0.539467	0.106805	0.0299614	0.0103738	0.00942923	0.011248
a87	0.347104	0.523236	0.0730422	0.0217902	0.0111843	0.0110501	0.0125934
a23	0.340065	0.491818	0.0957871	0.032745	0.0136195	0.012208	0.0137581
a18	0.31022	0.520224	0.0790487	0.0383998	0.0183535	0.016011	0.0177436
a53	0.182083	0.561686	0.14728	0.0542014	0.0232997	0.0156771	0.0157733
a56	0.28871	0.462554	0.144664	0.0521985	0.0244392	0.0142051	0.0132298
a70	0.279852	0.431974	0.165233	0.0600072	0.0297658	0.0181459	0.0150216
a12	0.204778	0.463496	0.170606	0.0694874	0.0407102	0.0288493	0.0220732
a96	0.184036	0.388615	0.19905	0.0944702	0.056841	0.0426926	0.0342956
a54	0.151994	0.313364	0.205256	0.123235	0.0838236	0.0670292	0.0552985
a56	0.110846	0.234075	0.232082	0.18305	0.116506	0.0673666	0.0560741
a96	0.0862634	0.15413	0.196408	0.207254	0.162295	0.107726	0.0859228
a56	0.0531542	0.106562	0.168201	0.218069	0.194207	0.143655	0.116151
a79	0.0338778	0.0681031	0.133668	0.196972	0.219971	0.19696	0.150449
a44	0.0366021	0.0706032	0.178331	0.233937	0.213866	0.155864	0.110796
a54	0.0157725	0.02924	0.119509	0.252372	0.245767	0.184923	0.152417
a56	0.0128837	0.0281856	0.142678	0.287029	0.221679	0.166842	0.140702
a75	0.0094789	0.015391	0.0828303	0.239439	0.252427	0.211897	0.188537
a54	0.0110483	0.0209415	0.0955865	0.235117	0.228016	0.208517	0.200774
a15	0.00533152	0.00830418	0.0435043	0.161905	0.23392	0.264613	0.282422
a69	0.0061301	0.00745017	0.0339142	0.12693	0.223825	0.294438	0.307312
a44	0.00309154	0.00337231	0.0161986	0.0811457	0.199107	0.328756	0.368328
a56	0.0020342	0.00212599	0.0117431	0.0594384	0.178862	0.349964	0.395832
a44	0.000950511	0.00115601	0.0063329	0.0384174	0.144396	0.366134	0.442613
a26	0.000746378	0.000724311	0.00347019	0.0186336	0.0865444	0.331934	0.557947
a96	0.000271567	0.000184733	0.00107072	0.00685543	0.0557207	0.294839	0.641057
a98	0.000232343	0.000165051	0.000863432	0.00494181	0.0441111	0.284428	0.665259
a71	0.000159011	0.000154228	0.000840165	0.00637558	0.039404	0.263803	0.689264
a82	0.000205964	0.000119586	0.000756077	0.00522416	0.0343261	0.245776	0.713592
a97	0.0197051	0.0116308	0.0147889	0.0321012	0.0641769	0.252582	0.605015
a87	0.137434	0.0791731	0.0397399	0.0495961	0.0717814	0.216924	0.405351
a23	0.245975	0.162837	0.0833175	0.07376	0.0891092	0.162937	0.182064
a87	0.12145	0.0424703	0.0353532	0.0626657	0.14941	0.271283	0.317368
a97	0.0445131	0.0325852	0.0317682	0.062709	0.127456	0.279075	0.421894
a87	0.0805508	0.0993145	0.0829709	0.0971606	0.128369	0.21195	0.299684
a97	0.15387	0.154234	0.116214	0.101156	0.111566	0.158221	0.204738
a87	0.122073	0.172946	0.122258	0.0995702	0.115943	0.169741	0.197468
a97	0.167436	0.188478	0.138527	0.105628	0.107977	0.136094	0.155861
</S>	0.140859	0.17441	0.123936	0.0955461	0.116029	0.165931	0.183288
