 	sa	marchandise	est	restée	sans	surveillance	au	marché	</S>
a66	0.241868	0.204007	0.114362	0.124654	0.187744	0.0906501	0.0179693	0.00980838	0.00893702
a87	0.311061	0.180825	0.104805	0.0978336	0.165458	0.0820757	0.0254003	0.0173398	0.015202
a23	0.284971	0.240158	0.135602	0.122771	0.134507	0.0423316	0.0152652	0.0118131	0.0125824
a87	0.308946	0.298193	0.152558	0.0915737	0.0720975	0.0185869	0.0160378	0.0191559	0.0228505
a23	0.290746	0.304072	0.170779	0.0866526	0.0647132	0.0251029	0.0172138	0.0196632	0.021057
a87	0.291369	0.247742	0.127397	0.0771841	0.090673	0.0528391	0.04149	0.0330252	0.0382797
a23	0.306679	0.28014	0.146945	0.0811047	0.0752438	0.036335	0.0245284	0.0234615	0.0255625
a79	0.284539	0.219812	0.113235	0.0777568	0.105248	0.0635184	0.0499147	0.0389031	0.0470731
a20	0.216287	0.17848	0.094942	0.0845714	0.154436	0.100067	0.078287	0.0438601	0.04907
a47	0.237345	0.136406	0.0984822	0.08391	0.141275	0.182717	0.0666498	0.026534	0.0266816
a21	0.0878728	0.0784221	0.0854265	0.0785882	0.134865	0.2134	0.167171	0.0748195	0.0794354
a12	0.0717381	0.0656134	0.0999095	0.108742	0.144881	0.282394	0.118848	0.05394	0.0539343
a21	0.0813329	0.0875321	0.14836	0.141947	0.150339	0.22131	0.0783954	0.0443689	0.0464152
a75	0.0764965	0.0820856	0.130305	0.133512	0.138612	0.233056	0.0896649	0.0575595	0.0587086
a5	0.0424168	0.054475	0.11323	0.127478	0.127275	0.199451	0.124808	0.100597	0.110268
a90	0.0535234	0.0623255	0.119456	0.139086	0.119511	0.176333	0.108296	0.101185	0.120284
a56	0.0387509	0.0461939	0.106057	0.140855	0.120785	0.175094	0.118369	0.114637	0.139258
a94	0.0376425	0.0426126	0.0957363	0.144723	0.131184	0.174632	0.117935	0.114089	0.141446
a90	0.0220798	0.0268982	0.0627002	0.097791	0.0881396	0.111576	0.165868	0.182034	0.242913
a56	0.0149389	0.0177007	0.0413665	0.0696779	0.0655101	0.0742961	0.189143	0.224022	0.303345
a12	0.0166453	0.019126	0.0368367	0.0515122	0.0454182	0.0553535	0.199661	0.260653	0.314794
a90	0.0169123	0.0187402	0.0361369	0.0462633	0.0367047	0.041921	0.177422	0.246976	0.378924
a4	0.0102058	0.0128831	0.0271384	0.0441359	0.0371004	0.0297248	0.175203	0.261508	0.4021
a58	0.00863609	0.0104696	0.0205002	0.031215	0.0266401	0.0219085	0.217724	0.281936	0.380971
a31	0.012281	0.0189408	0.0304556	0.0464178	0.0279966	0.0137883	0.107895	0.25541	0.486815
a24	0.00599553	0.00670006	0.0101143	0.0131543	0.0106202	0.00958115	0.162373	0.322315	0.459146
a61	0.00186117	0.00296679	0.00570789	0.00884368	0.00656207	0.00604287	0.130371	0.304033	0.533611
a62	0.00129399	0.00218897	0.00406819	0.00554818	0.00421651	0.00454954	0.126686	0.286042	0.565406
a88	0.000912083	0.0016195	0.00304384	0.00442281	0.00372988	0.00401479	0.121404	0.284859	0.575995
a11	0.000836177	0.00152019	0.00267519	0.00417749	0.00458313	0.00462787	0.0972417	0.260321	0.624017
a90	0.00208074	0.00333154	0.0054938	0.00856757	0.0103008	0.00826836	0.109042	0.268603	0.584312
a98	0.000188948	0.000353756	0.000681487	0.00120086	0.00135514	0.00179823	0.0791527	0.266907	0.648361
a92	0.000255437	0.000396963	0.000760794	0.0012742	0.00107473	0.00125013	0.0729554	0.218663	0.703369
a21	0.000363106	0.000544463	0.000941036	0.00155327	0.00111189	0.000975386	0.0549617	0.241246	0.698304
a85	0.000460461	0.000624972	0.000973944	0.00125286	0.000928582	0.000873633	0.044153	0.235918	0.714815
a21	0.000156815	0.000177736	0.000288339	0.00039651	0.000256755	0.000243514	0.030028	0.206116	0.762337
a5	0.000166599	0.000208002	0.000359885	0.000531666	0.000406189	0.000495376	0.0398508	0.201968	0.756014
a21	0.00043277	0.000567056	0.000934415	0.0011769	0.000730186	0.000811921	0.0404099	0.225102	0.729835
a5	0.00054966	0.000641735	0.000957997	0.00112122	0.000867371	0.000843432	0.0386461	0.243148	0.713225
a75	0.00058074	0.00065201	0.00102279	0.00105911	0.000771332	0.000881003	0.0364282	0.208351	0.750254
a5	0.000721471	0.00089155	0.00144499	0.00178915	0.00147333	0.00139309	0.0530517	0.24564	0.693595
a75	0.000718745	0.000920536	0.00146015	0.00157228	0.00103696	0.00105934	0.0368433	0.220769	0.735619
a5	0.00101044	0.00113175	0.00179684	0.00191937	0.00118298	0.00100717	0.0421838	0.222887	0.726881
a18	0.00033224	0.000425895	0.000773934	0.000967034	0.000722537	0.00121782	0.054515	0.233763	0.707282
a27	0.00039275	0.000509085	0.00100695	0.00196888	0.00286442	0.00521271	0.108103	0.251027	0.628916
a82	0.0462431	0.0334581	0.042189	0.0650947	0.0912271	0.0730204	0.153817	0.199803	0.295147
a87	0.110305	0.0714024	0.0629326	0.0882234	0.129586	0.0703181	0.113263	0.158438	0.195531
a23	0.102285	0.0763861	0.0728975	0.103951	0.156199	0.0713292	0.0944567	0.153181	0.169315
a87	0.0566921	0.0363122	0.0382021	0.0503441	0.0605671	0.0261041	0.106433	0.256356	0.368989
</S>	0.00991206	0.00662922	0.00926998	0.017553	0.0230776	0.0122033	0.0989375	0.286903	0.535514
