 	j'	ai	vu	une	foule	de	gens	au	marché	</S>
a66	0.334241	0.182025	0.115038	0.0783552	0.0825971	0.0814015	0.0584648	0.0313844	0.0201467	0.0163464
a87	0.333713	0.259493	0.15678	0.0652947	0.0410931	0.0415529	0.0272066	0.0237973	0.0228281	0.0282413
a23	0.319991	0.318687	0.204408	0.061399	0.0460248	0.015047	0.00762035	0.0071077	0.00841094	0.0113039
a18	0.361993	0.296172	0.162582	0.0495611	0.047016	0.0222651	0.0129882	0.0127623	0.0143534	0.0203074
a83	0.34355	0.2018	0.121661	0.0616909	0.0770208	0.0449646	0.028502	0.0325506	0.0372283	0.051031
a50	0.234104	0.206379	0.159144	0.142102	0.121876	0.0530182	0.0277731	0.0223901	0.0170105	0.0162034
a88	0.121618	0.131946	0.149353	0.178739	0.149575	0.0861796	0.0528707	0.0466151	0.0419377	0.0411657
a71	0.0805856	0.0969006	0.122508	0.166111	0.157981	0.103506	0.0715694	0.0665925	0.0665267	0.0677199
a62	0.050011	0.0620637	0.0773874	0.147308	0.176295	0.136896	0.0908478	0.084214	0.0841097	0.0908669
a21	0.0418207	0.052498	0.0694303	0.139724	0.174746	0.129976	0.0866761	0.087176	0.101252	0.116701
a12	0.0457051	0.0541828	0.076893	0.1288	0.131821	0.11848	0.0961834	0.102651	0.119393	0.125891
a96	0.028601	0.0342973	0.0469966	0.105886	0.145437	0.16121	0.128561	0.109346	0.114353	0.125313
a18	0.014575	0.0181247	0.0234323	0.0669607	0.114184	0.164651	0.145659	0.13383	0.151545	0.167038
a70	0.00919934	0.0121478	0.0139567	0.0353776	0.084099	0.159324	0.151131	0.148449	0.183613	0.202703
a90	0.00670614	0.00726551	0.00773913	0.0195727	0.0449663	0.124523	0.155397	0.167354	0.216132	0.250343
a79	0.00293159	0.00305686	0.00342633	0.0097832	0.0219903	0.0972409	0.173564	0.206341	0.22909	0.252575
a44	0.00111435	0.00148934	0.00180251	0.00696549	0.016331	0.0837492	0.162964	0.210671	0.239	0.275912
a79	0.000817687	0.000958978	0.000932777	0.00296735	0.00670008	0.0314643	0.084284	0.17579	0.294472	0.401613
a92	0.000470468	0.00062276	0.000567955	0.00169701	0.0032924	0.0178291	0.0623584	0.158129	0.302582	0.452452
a79	0.000261359	0.000333336	0.000294846	0.000919328	0.00198359	0.0140242	0.065205	0.176325	0.319109	0.421544
a37	0.000158707	0.00024969	0.000212535	0.000734005	0.00145556	0.0112751	0.0555594	0.160872	0.314069	0.455414
a75	0.000169126	0.000237241	0.000196178	0.000601335	0.000857965	0.00563155	0.0334787	0.125153	0.300662	0.533013
a92	9.0589e-05	0.000128634	9.97203e-05	0.000295164	0.000490244	0.00473744	0.0354349	0.131651	0.327575	0.499498
a37	7.81818e-05	0.000117289	9.73411e-05	0.000298728	0.000494815	0.00417026	0.029393	0.111807	0.320152	0.533391
a26	0.000177527	0.000259003	0.000213333	0.000631159	0.000684994	0.00373942	0.0204471	0.0913658	0.288192	0.59429
a82	0.0101933	0.00865041	0.00670631	0.00784533	0.0047681	0.0113234	0.0285457	0.079546	0.241843	0.600579
a87	0.219318	0.149615	0.0814064	0.043669	0.0212677	0.0251007	0.0418831	0.0733223	0.126402	0.218016
a23	0.270536	0.245656	0.161464	0.0649393	0.0279491	0.0219648	0.029489	0.0447544	0.0588819	0.0743661
a87	0.155232	0.134226	0.0837844	0.037116	0.0153248	0.0172215	0.0337995	0.0870935	0.169158	0.267043
</S>	0.0270034	0.0245527	0.0176997	0.0120026	0.00630951	0.0142901	0.0363832	0.111924	0.265758	0.484077
