 	qui	a	étendu	son	filet	dans	ce	champ	de	chasse	</S>
a66	0.30781	0.1481	0.0482244	0.068712	0.0918539	0.112132	0.088915	0.0502139	0.0319774	0.0262507	0.0258107
a87	0.381698	0.18919	0.03467	0.0395591	0.0372566	0.043706	0.0456731	0.046423	0.0520175	0.0602109	0.0695966
a23	0.447023	0.173313	0.033336	0.0302563	0.0275878	0.0375921	0.0470599	0.0540721	0.0509325	0.0507211	0.0481061
a79	0.273314	0.125033	0.033177	0.0371617	0.0395178	0.0593114	0.0777426	0.0938703	0.0847196	0.085288	0.0908641
a15	0.353885	0.175244	0.0500608	0.0593933	0.0523587	0.0664369	0.06162	0.0529107	0.0431424	0.0401469	0.0448019
a92	0.222081	0.22106	0.0845259	0.0810505	0.0625286	0.0680936	0.0583624	0.055132	0.0499099	0.0470923	0.0501632
a37	0.183352	0.254	0.111341	0.101697	0.0682708	0.0626275	0.0502588	0.0422129	0.0406247	0.0426612	0.0429545
a85	0.16917	0.21031	0.142051	0.122715	0.0798587	0.0654618	0.0468781	0.0370038	0.0371253	0.0423766	0.0470494
a6	0.12528	0.200479	0.18962	0.151513	0.0976065	0.0589233	0.0343107	0.0247658	0.0290671	0.0401219	0.0483121
a37	0.125853	0.142756	0.180859	0.158223	0.113751	0.0713592	0.0442096	0.0339928	0.036155	0.0429785	0.0498635
a90	0.111775	0.115633	0.197252	0.178035	0.124408	0.0684194	0.0399113	0.0307798	0.0350363	0.0448894	0.053861
a93	0.0743809	0.0889429	0.184713	0.165578	0.136262	0.0812098	0.050062	0.0390489	0.0454459	0.0595363	0.0748203
a13	0.0554111	0.0394808	0.101486	0.126231	0.139294	0.113528	0.0821113	0.0679605	0.0741693	0.0910441	0.109284
a11	0.0211258	0.017824	0.0471582	0.0681069	0.0975713	0.0923056	0.0889463	0.105358	0.134985	0.155827	0.170792
a21	0.0115725	0.00984731	0.0206039	0.0271343	0.0480327	0.0621404	0.0883475	0.144683	0.191105	0.201354	0.195179
a5	0.00594911	0.00427353	0.010432	0.0178743	0.0320122	0.0529225	0.0838041	0.135023	0.18561	0.222534	0.249564
a56	0.0029655	0.00228762	0.00487988	0.00767342	0.0152315	0.0283521	0.0570943	0.122654	0.205142	0.257872	0.295847
a75	0.00121678	0.00107759	0.00310228	0.0048213	0.0109364	0.0238937	0.0555816	0.139908	0.235437	0.259045	0.264981
a85	0.000357823	0.000394661	0.00164744	0.00281401	0.00626591	0.0142186	0.0331308	0.106837	0.215516	0.278208	0.340609
a92	0.000288712	0.000380185	0.00233251	0.0032116	0.00634026	0.0119732	0.0245448	0.0699501	0.16988	0.284994	0.426104
a85	0.000197946	0.000265743	0.00114401	0.00146505	0.00330484	0.00803501	0.0215074	0.0694025	0.165141	0.275808	0.453729
a6	0.000105843	0.000177858	0.00111499	0.00155604	0.00334029	0.00763103	0.0184142	0.0654231	0.167122	0.283496	0.451618
a43	9.45149e-05	0.000154644	0.000908118	0.00127421	0.00296467	0.00756634	0.0198811	0.0687205	0.167065	0.279002	0.452369
a96	0.00123816	0.00183227	0.00385591	0.00426523	0.00738397	0.0149654	0.0256683	0.0557396	0.153882	0.280391	0.450778
a83	0.0104445	0.0133476	0.0199676	0.0224067	0.0303607	0.0415711	0.0429587	0.057924	0.114367	0.221189	0.425463
a18	0.00643773	0.00988678	0.0185324	0.0195073	0.02681	0.0396221	0.0409775	0.059524	0.117211	0.221288	0.440203
a9	0.0503855	0.0434554	0.0418489	0.0321706	0.0380592	0.0473142	0.0406964	0.0520913	0.100176	0.186501	0.367302
a87	0.226511	0.0979772	0.0516685	0.0390697	0.0413195	0.048745	0.0440154	0.050774	0.073767	0.119721	0.206431
a23	0.277628	0.107576	0.0467824	0.0357729	0.0353152	0.0420021	0.0412492	0.0548676	0.0796595	0.116996	0.162151
a87	0.0963872	0.041391	0.0115466	0.00651293	0.00717684	0.00981393	0.020089	0.0655437	0.161435	0.262849	0.317255
</S>	0.011281	0.00741262	0.00479752	0.00351911	0.00536945	0.00996353	0.0244352	0.0700408	0.159637	0.290032	0.413512
