 	okusu	avait	marqué	sa	génération	par	sa	beauté	</S>
a66	0.32947	0.240316	0.117638	0.104949	0.0789973	0.0650616	0.035952	0.0157044	0.0119122
a87	0.445319	0.250811	0.134429	0.0738029	0.0340815	0.0260228	0.0158593	0.00933803	0.0103355
a23	0.418281	0.28489	0.162053	0.0769008	0.0239538	0.00997892	0.00713171	0.00589328	0.0109177
a57	0.474097	0.258519	0.130185	0.0739482	0.0235397	0.00645871	0.00491733	0.00771098	0.0206245
a82	0.429761	0.262371	0.1533	0.0849599	0.0186684	0.00785207	0.00810165	0.0123736	0.0226113
a13	0.4022	0.267483	0.14407	0.0887228	0.0251332	0.014449	0.0129902	0.0170263	0.0279253
a38	0.458697	0.250442	0.126815	0.0643641	0.0220755	0.0153414	0.015873	0.0189523	0.0274399
a11	0.434319	0.243473	0.14219	0.0747252	0.0316349	0.0180372	0.0156438	0.0161385	0.0238381
a75	0.281612	0.231329	0.19848	0.128223	0.0772006	0.0325854	0.0179067	0.0145173	0.0181459
a6	0.192681	0.227356	0.214835	0.150289	0.089732	0.0432324	0.0290003	0.0242976	0.0285772
a36	0.112473	0.183063	0.203485	0.15938	0.120695	0.0709763	0.0512315	0.0447865	0.0539106
a7	0.104607	0.149587	0.169182	0.150713	0.142122	0.0841594	0.0596446	0.0626781	0.0773067
a21	0.0898953	0.125519	0.146296	0.150067	0.171135	0.0906228	0.0570531	0.0706338	0.0987776
a12	0.0727522	0.101517	0.127203	0.195798	0.259066	0.103286	0.0455669	0.0409383	0.0538723
a96	0.039644	0.0637322	0.0864065	0.207314	0.303687	0.134707	0.0519719	0.0475938	0.0649437
a75	0.0277451	0.0388124	0.0524944	0.146076	0.305907	0.168128	0.075193	0.0735864	0.112057
a85	0.012851	0.017316	0.0207693	0.0632868	0.165664	0.144855	0.147242	0.186097	0.241919
a47	0.00634563	0.00915223	0.0101524	0.0356015	0.0883792	0.0975327	0.151599	0.273907	0.32733
a36	0.00396501	0.00516687	0.00445043	0.016073	0.0345061	0.0537469	0.102057	0.298768	0.481266
a21	0.00630079	0.00657475	0.00514964	0.0118867	0.0198292	0.0354735	0.0845626	0.26817	0.562053
a85	0.00729914	0.00717113	0.00675245	0.0153617	0.0336554	0.0503225	0.137181	0.312526	0.42973
a6	0.00266495	0.00306362	0.00274982	0.00497719	0.00837673	0.016844	0.0601093	0.322633	0.578582
a37	0.000614246	0.000560462	0.00036977	0.00105958	0.00237922	0.00695176	0.0459077	0.286328	0.655829
a79	0.0023524	0.00157343	0.00092048	0.0012695	0.00189161	0.00510924	0.0366828	0.271946	0.678255
a20	0.000543031	0.00044982	0.000304971	0.000742878	0.0017364	0.00725956	0.0623834	0.341042	0.585538
a32	0.00084661	0.000726471	0.000432343	0.000942144	0.00224331	0.00994141	0.0916986	0.355302	0.537867
a54	0.000557296	0.0005002	0.000312827	0.000755962	0.00235789	0.0114603	0.103265	0.335937	0.544854
a7	0.000572233	0.000415644	0.000273695	0.000561157	0.00186634	0.00988376	0.102776	0.353289	0.530362
a36	0.00145255	0.00119998	0.000915647	0.00167135	0.00377135	0.0166485	0.122734	0.291759	0.559848
a2	0.0135359	0.00802604	0.00481492	0.00420385	0.00618232	0.0298715	0.121541	0.298977	0.512848
a57	0.171102	0.111419	0.0496774	0.0374565	0.0451574	0.0698675	0.0805623	0.172487	0.26227
a87	0.33057	0.227145	0.138871	0.102482	0.0551758	0.0435219	0.0353854	0.0322386	0.0346104
a23	0.400102	0.227429	0.137533	0.0795563	0.0408417	0.031008	0.0290547	0.0276274	0.0268479
a87	0.0672814	0.0488842	0.0380318	0.0306395	0.0226956	0.0284876	0.0745947	0.293111	0.396274
</S>	0.0052084	0.00429576	0.00354894	0.00298225	0.00427257	0.00836342	0.0488704	0.307025	0.615433
