 	la	panthère	s'	approche	du	cabri	sans	bruit	</S>
a85	0.414103	0.201431	0.104763	0.0726435	0.0434193	0.0413852	0.0381672	0.0391731	0.0449148
a87	0.441027	0.158042	0.0766672	0.0666681	0.0752897	0.0491774	0.0324469	0.0409801	0.0597017
a23	0.259479	0.188023	0.145409	0.0981833	0.0654495	0.0629636	0.0452141	0.0513218	0.0839578
a13	0.278301	0.158207	0.101601	0.0651378	0.0396266	0.0401348	0.0453463	0.0853746	0.186271
a53	0.343982	0.314593	0.184543	0.0798642	0.0218047	0.0128532	0.0111464	0.0131341	0.0180791
a54	0.193685	0.308458	0.295564	0.140066	0.0322775	0.0125671	0.00646609	0.00496746	0.0059494
a41	0.146617	0.252282	0.274976	0.164039	0.0766703	0.0371998	0.0178526	0.0144203	0.0159425
a94	0.144028	0.222758	0.254333	0.192686	0.102681	0.0412343	0.0169978	0.0122406	0.0130415
a20	0.127234	0.215551	0.273894	0.216651	0.103705	0.0317429	0.0115097	0.00914492	0.0105674
a73	0.096668	0.159709	0.239619	0.237388	0.134449	0.0577263	0.0271836	0.0227402	0.0245179
a94	0.103309	0.159856	0.223304	0.245674	0.140164	0.0563585	0.0267684	0.0218889	0.0226782
a75	0.0883207	0.126915	0.193009	0.263521	0.175059	0.069485	0.0317749	0.025503	0.0264116
a41	0.0838883	0.111599	0.158965	0.215496	0.17569	0.0977989	0.0620158	0.0510085	0.0435392
a35	0.0765628	0.0890099	0.11875	0.174871	0.160701	0.106085	0.0833701	0.0929466	0.0977036
a41	0.0627449	0.0729185	0.0923245	0.141129	0.152849	0.119133	0.1084	0.125297	0.125204
a98	0.0463625	0.0466153	0.0546576	0.0867663	0.129038	0.140832	0.147984	0.177255	0.170489
a73	0.0423273	0.0378686	0.0383929	0.051088	0.0894169	0.135706	0.162684	0.217906	0.224611
a94	0.0545292	0.0418751	0.0396743	0.0571068	0.0876236	0.140031	0.162654	0.200139	0.216367
a38	0.0452046	0.0370593	0.0364382	0.0481094	0.0652805	0.119385	0.178089	0.230693	0.23974
a76	0.0266874	0.0189328	0.0191416	0.0303464	0.0504103	0.115313	0.211668	0.270267	0.257233
a32	0.0365948	0.0194156	0.0161423	0.0254028	0.0475381	0.10444	0.183037	0.269775	0.297655
a47	0.0162747	0.0112794	0.0130322	0.0218712	0.0373596	0.0762344	0.179596	0.321651	0.322702
a35	0.0274028	0.0148293	0.0145257	0.0237895	0.0410887	0.0808249	0.184429	0.313786	0.299324
a76	0.0275178	0.0132666	0.0128966	0.0232308	0.0377254	0.0655563	0.150931	0.314061	0.354815
a90	0.0573969	0.0257744	0.020242	0.0305784	0.0501323	0.0810505	0.152318	0.277604	0.304903
a76	0.0303749	0.0163689	0.0155779	0.0258826	0.0473846	0.0806041	0.151611	0.285295	0.346901
a94	0.0610528	0.0303958	0.0247882	0.0319858	0.0458594	0.0715797	0.127452	0.254458	0.352428
a58	0.0214166	0.00988107	0.00729438	0.0116938	0.0245774	0.0498341	0.114476	0.288278	0.472549
a54	0.00814961	0.00245492	0.00151548	0.00347726	0.0106203	0.0264532	0.0740364	0.264005	0.609288
a73	0.0269898	0.0162684	0.0094423	0.0103052	0.0126356	0.020157	0.0602661	0.252823	0.591113
a57	0.00735665	0.00345171	0.00228603	0.00380884	0.00694906	0.0167013	0.0669061	0.271675	0.620866
a87	0.0104743	0.00305275	0.00129522	0.00212891	0.00476624	0.0135019	0.0485379	0.250277	0.665966
</S>	0.00376471	0.00158222	0.000621605	0.000851306	0.00196811	0.00982089	0.0539371	0.269844	0.65761
