 	celui	qui	nous	a	lancé	les	pierres	c'	est	le	fils	d'	ibara	</S>
a87	0.362923	0.276849	0.151539	0.0843449	0.0345556	0.0176678	0.00952864	0.00539324	0.00555344	0.00659834	0.00751841	0.00868509	0.0132252	0.0156183
a23	0.302502	0.152213	0.0930852	0.0598557	0.0397888	0.0347654	0.0299133	0.0266026	0.0289038	0.0297762	0.0365231	0.0461545	0.0583681	0.0615476
a79	0.179576	0.125086	0.124085	0.10214	0.0793843	0.0573827	0.0532765	0.0440507	0.0365262	0.0317009	0.0312525	0.0329068	0.0418255	0.0608072
a44	0.229346	0.169185	0.107464	0.0745036	0.0442934	0.0371124	0.0360961	0.0563392	0.0456075	0.0377122	0.0351928	0.0364135	0.041689	0.0490458
a54	0.290317	0.255362	0.106348	0.0790945	0.0429426	0.0446093	0.0342987	0.0305763	0.0244996	0.0187243	0.016877	0.0155826	0.0209739	0.0197943
a47	0.211364	0.2055	0.0997667	0.0813407	0.0544507	0.0557834	0.0482567	0.0594516	0.0462874	0.033991	0.0268518	0.0223234	0.0290352	0.0255972
a85	0.136905	0.145629	0.0946324	0.0805062	0.0824073	0.074237	0.0715436	0.0860716	0.064226	0.0422508	0.0325061	0.0262209	0.0328427	0.0300223
a92	0.0498917	0.065532	0.0757391	0.0759301	0.0955172	0.0945729	0.108234	0.131027	0.102851	0.0620742	0.0444919	0.0327046	0.0332286	0.028206
a61	0.017252	0.0179306	0.0308326	0.0501893	0.0984895	0.113507	0.14772	0.189389	0.134331	0.0711662	0.0462497	0.0324097	0.0277106	0.0228228
a37	0.0142631	0.0152041	0.0286671	0.0485418	0.100908	0.123882	0.158963	0.189932	0.137329	0.0706285	0.0427934	0.0279936	0.0223014	0.0185914
a0	0.0126215	0.0157158	0.0291183	0.0460668	0.100239	0.120465	0.147975	0.173918	0.128449	0.0724377	0.0500125	0.0382413	0.0334005	0.0313392
a75	0.00785934	0.00955995	0.0215037	0.0375697	0.0954361	0.110467	0.138262	0.163515	0.127892	0.0808536	0.0595967	0.0515049	0.0466704	0.0493087
