 	il	est	arrivé	au	village	</S>
a23	0.489447	0.178234	0.0765059	0.0708659	0.0737469	0.111201
a87	0.441335	0.195108	0.104067	0.0789149	0.077005	0.10357
a23	0.398879	0.199877	0.11622	0.0890236	0.085528	0.110473
a20	0.230983	0.116809	0.090141	0.116887	0.163607	0.281573
a73	0.308046	0.171078	0.157885	0.141798	0.122717	0.098476
a36	0.371448	0.30371	0.18111	0.0755567	0.0396378	0.028537
a41	0.350147	0.298833	0.182397	0.0827502	0.0491384	0.0367341
a94	0.341846	0.276066	0.163113	0.091216	0.0681954	0.0595645
a32	0.276382	0.256405	0.189652	0.117308	0.086196	0.0740573
a25	0.182442	0.180026	0.177064	0.165167	0.151003	0.144299
a38	0.152546	0.137708	0.136731	0.154324	0.192169	0.226523
a73	0.0897006	0.085076	0.101441	0.152211	0.238368	0.333202
a44	0.0493645	0.0467886	0.0729594	0.161924	0.284327	0.384637
a26	0.0215621	0.0218719	0.038768	0.110809	0.293868	0.513121
a94	0.00843171	0.00831186	0.0186864	0.0725708	0.26556	0.626439
a53	0.00453206	0.00539835	0.0141831	0.0602984	0.259081	0.656507
a4	0.00570746	0.00621344	0.0138545	0.0530286	0.235893	0.685303
a57	0.00488168	0.00568373	0.0133538	0.0541072	0.239082	0.682892
a82	0.00279854	0.0031304	0.00846314	0.040966	0.209455	0.735187
a87	0.00479883	0.00511517	0.00948537	0.0407632	0.189768	0.750069
</S>	0.0138764	0.0166469	0.0244203	0.076675	0.250981	0.6174
