 	il	y	a	des	mangues	par	terre	dans	la	cour	</S>
a23	0.254402	0.186003	0.121817	0.103592	0.0835359	0.0820797	0.0660893	0.0465679	0.0257795	0.0160803	0.0140533
a87	0.272114	0.196995	0.118871	0.0756268	0.0581726	0.0618201	0.0545146	0.0487567	0.0401062	0.0371158	0.0359079
a10	0.121244	0.108459	0.113093	0.101871	0.0848531	0.0933968	0.0764381	0.0533962	0.0567958	0.0775343	0.112918
a57	0.16015	0.15009	0.122221	0.0914852	0.0702036	0.0668055	0.0470006	0.0441012	0.0536088	0.0773058	0.117028
a40	0.149017	0.151924	0.133381	0.10084	0.0772656	0.0700139	0.0448492	0.0469003	0.0558359	0.0697452	0.100227
a37	0.304806	0.221734	0.152066	0.0844498	0.0623588	0.0531446	0.0341411	0.0287728	0.0212281	0.0186899	0.0186095
a54	0.195585	0.205313	0.18427	0.126132	0.101816	0.0856104	0.0404458	0.024217	0.0141118	0.0114654	0.0110335
a47	0.138956	0.150267	0.151792	0.12938	0.119159	0.111733	0.0707834	0.0493148	0.0306461	0.0244421	0.0235265
a37	0.109036	0.142228	0.158052	0.136068	0.117089	0.104291	0.0628794	0.0465653	0.0368722	0.0407933	0.0461268
a85	0.122463	0.15369	0.16527	0.157477	0.12771	0.117448	0.058898	0.0334796	0.0214858	0.0203776	0.0217013
a41	0.0785955	0.0862208	0.111532	0.131446	0.10994	0.102035	0.0808508	0.0726664	0.0697761	0.0753697	0.0815673
a61	0.088912	0.0838211	0.104532	0.123637	0.10349	0.0961407	0.0753306	0.0706678	0.0703372	0.0837017	0.0994295
a66	0.102299	0.0974031	0.116113	0.146984	0.125572	0.12013	0.0809327	0.0575627	0.0442752	0.0488532	0.059874
a90	0.066981	0.0598086	0.076459	0.128325	0.129926	0.158594	0.12397	0.0818741	0.0564934	0.0542963	0.0632725
a76	0.0534664	0.039363	0.0430767	0.0619949	0.0615386	0.094633	0.10746	0.114821	0.123115	0.138107	0.162425
a90	0.0307972	0.0215187	0.0222555	0.0284702	0.0299342	0.0407613	0.0564928	0.0868127	0.147281	0.233108	0.302568
a94	0.0327269	0.0214857	0.0228784	0.0329817	0.0366554	0.0607514	0.0985178	0.136302	0.164534	0.184165	0.209002
a25	0.0248353	0.0174519	0.0172438	0.0239324	0.0258302	0.0419161	0.0764273	0.129617	0.196414	0.218048	0.228283
a56	0.0116329	0.00718312	0.00700902	0.0109117	0.0144476	0.0232592	0.0467541	0.0969692	0.195194	0.277958	0.308681
a43	0.0124881	0.0086714	0.008883	0.0140591	0.0173093	0.0267134	0.0466699	0.0861858	0.176232	0.285638	0.31715
a75	0.00633409	0.00394101	0.00402966	0.00668871	0.00908755	0.0151718	0.0271296	0.0531026	0.128216	0.289466	0.456832
a41	0.00776431	0.004289	0.00449286	0.00794331	0.0116706	0.0178786	0.0277402	0.0505574	0.123063	0.289028	0.455573
a27	0.0047285	0.00259979	0.00250385	0.00388762	0.00495256	0.00721133	0.013177	0.030016	0.101507	0.306043	0.523374
a38	0.000772734	0.000406401	0.000407508	0.000609658	0.00079544	0.00153089	0.00420229	0.0155055	0.0696827	0.272198	0.633889
a41	0.000825077	0.000381504	0.000342209	0.000446476	0.000543336	0.00113723	0.00305222	0.0122194	0.062835	0.26445	0.653767
a37	0.000811362	0.000480516	0.000487912	0.000693698	0.000978617	0.00171322	0.00408523	0.0149396	0.0662352	0.261794	0.647781
a66	0.000888524	0.000460227	0.000477918	0.000709823	0.000946182	0.00176459	0.00419183	0.0147147	0.0643205	0.261718	0.649808
a9	0.00177753	0.000802396	0.000760129	0.00106693	0.0013505	0.00279186	0.00747175	0.0250461	0.095898	0.283489	0.579546
a87	0.0445267	0.0233669	0.019666	0.0214083	0.0248762	0.0319696	0.0508566	0.0756419	0.143986	0.215055	0.348647
a23	0.178059	0.118287	0.106031	0.0895726	0.0723522	0.0655519	0.0641419	0.0614986	0.0794958	0.0772276	0.0877824
a87	0.0762701	0.045352	0.039486	0.034744	0.0280679	0.0327529	0.0443358	0.0583662	0.121984	0.21239	0.306252
a23	0.00774671	0.00498651	0.00438664	0.00462967	0.00491923	0.00937639	0.0236301	0.0472066	0.117432	0.273	0.502686
a87	0.0151803	0.00867128	0.008285	0.00882418	0.00817696	0.0139725	0.0285355	0.046368	0.115563	0.261465	0.484958
</S>	0.00825682	0.00638776	0.00654537	0.00754163	0.00788186	0.0137959	0.0289719	0.0494599	0.116205	0.266469	0.488485
