 	il	l'	accusé	de	vol	</S>
a23	0.435165	0.213124	0.0923701	0.0745221	0.0885068	0.0963123
a87	0.433167	0.243527	0.0835828	0.0699999	0.0717974	0.0979266
a23	0.287401	0.244694	0.155846	0.100131	0.0909199	0.121008
a53	0.294143	0.218307	0.101475	0.119891	0.115401	0.150783
a20	0.470855	0.301077	0.111337	0.0602542	0.03357	0.0229076
a30	0.480893	0.369627	0.0996348	0.0282098	0.0123874	0.00924794
a57	0.455087	0.363962	0.122213	0.0310175	0.0157422	0.0119786
a2	0.293695	0.311412	0.190282	0.0804719	0.0650129	0.0591265
a30	0.23343	0.270253	0.241686	0.0959114	0.0810877	0.0776315
a57	0.204149	0.266949	0.261004	0.106771	0.0844199	0.0767083
a87	0.114674	0.163139	0.258972	0.159153	0.143895	0.160167
a38	0.0538444	0.0802291	0.157596	0.199298	0.228528	0.280505
a41	0.0948277	0.130565	0.206951	0.171807	0.178484	0.217365
a76	0.141956	0.169989	0.205024	0.17509	0.165048	0.142893
a20	0.0982036	0.108223	0.170233	0.204886	0.20771	0.210744
a41	0.0404164	0.045873	0.122985	0.236037	0.273932	0.280757
a32	0.0336189	0.0379495	0.107729	0.207124	0.283454	0.330124
a24	0.0184	0.0183469	0.0493652	0.131157	0.310485	0.472246
a26	0.0114936	0.0106735	0.0285789	0.0978022	0.290637	0.560815
a94	0.0164993	0.013858	0.0236518	0.0880276	0.266115	0.591849
a90	0.00615824	0.00487882	0.0123458	0.0594196	0.252592	0.664606
a20	0.00468938	0.00419217	0.0117869	0.0530417	0.247007	0.679283
a73	0.0111254	0.0118309	0.025218	0.110182	0.263203	0.578441
a57	0.00858896	0.00738311	0.0171519	0.0869103	0.266021	0.613944
a87	0.00640478	0.00477593	0.00920564	0.0573848	0.240885	0.681344
a23	0.0126445	0.0152382	0.0272478	0.118213	0.281985	0.544672
a87	0.0332424	0.0443552	0.0700904	0.138212	0.267917	0.446183
</S>	0.0133299	0.0188117	0.0431111	0.152609	0.290698	0.48144
