 	l'	enfant	a	de	la	dartre	au	dos	</S>
a66	0.319421	0.264862	0.195258	0.0671714	0.0323029	0.0321775	0.0309722	0.0331456	0.0246888
a87	0.483187	0.298404	0.141517	0.0295278	0.0104747	0.0105601	0.00775996	0.00957047	0.00899969
a23	0.382025	0.309608	0.175025	0.066596	0.023848	0.0130088	0.0109631	0.0100642	0.0088614
a54	0.296998	0.237897	0.173551	0.108222	0.0538511	0.0259486	0.0216755	0.0320072	0.0498497
a6	0.26774	0.183851	0.202781	0.139581	0.040226	0.0495367	0.0410779	0.0393954	0.0358119
a5	0.0967192	0.122521	0.213785	0.278768	0.166077	0.0532278	0.0235323	0.0242501	0.0211209
a85	0.0953189	0.112209	0.191262	0.273627	0.178616	0.0730838	0.0325317	0.0277704	0.0155803
a92	0.0669915	0.079524	0.148135	0.297768	0.188056	0.0779792	0.0437301	0.0556977	0.0421191
a37	0.0626812	0.0713996	0.121395	0.211424	0.18127	0.156528	0.0719612	0.0727221	0.0506191
a93	0.0696376	0.0698309	0.121432	0.19283	0.158597	0.13082	0.0785994	0.0870283	0.0912242
a90	0.0369066	0.0373895	0.0589832	0.105567	0.12966	0.174699	0.148165	0.145499	0.163131
a79	0.00692813	0.00676165	0.0118755	0.0319283	0.102726	0.274942	0.176312	0.168814	0.219713
a90	0.00173565	0.00164908	0.00221082	0.00640411	0.032491	0.159954	0.164192	0.265945	0.365418
a69	0.000299106	0.000234454	0.00022544	0.000527783	0.00404783	0.0698736	0.155247	0.316072	0.453473
a58	0.000101289	8.22087e-05	8.06043e-05	0.000206765	0.0017501	0.0559646	0.123255	0.320738	0.497821
a53	0.000646705	0.000485009	0.000269312	0.000285609	0.00121205	0.0244488	0.0731065	0.247215	0.652331
a4	0.000418281	0.000305009	0.000248955	0.0004124	0.00248616	0.0458153	0.129024	0.312413	0.508877
a57	0.000435856	0.000316936	0.000295572	0.000561739	0.00379957	0.0652942	0.154629	0.304712	0.469955
a82	0.0157933	0.00974024	0.0063065	0.00743683	0.0176091	0.0718931	0.102681	0.264243	0.504297
a87	0.192965	0.130058	0.0607733	0.0274976	0.0290606	0.0577235	0.0790908	0.172641	0.250191
a23	0.36563	0.292767	0.178234	0.0719252	0.0346979	0.0148783	0.0106008	0.014914	0.0163529
a87	0.0271276	0.0171322	0.00710859	0.00313769	0.00399894	0.0504071	0.152275	0.403308	0.335505
</S>	0.00993434	0.00664451	0.00312568	0.00171308	0.00356149	0.0423418	0.10361	0.416193	0.412876
