 	il	y	a	belle	lurette	qu'	on	s'	est	vu	toi	et	moi	</S>
a66	0.219743	0.226727	0.179716	0.103148	0.046592	0.0289584	0.0227079	0.0280924	0.0323686	0.0317224	0.0295282	0.0212696	0.0159152	0.0135108
a87	0.244387	0.23072	0.224176	0.155597	0.0556897	0.0254838	0.0151649	0.0116936	0.0105841	0.0119155	0.00596875	0.00281458	0.00274782	0.00305695
a97	0.239371	0.182651	0.145709	0.112635	0.0628503	0.0415182	0.0312432	0.0323195	0.039553	0.045309	0.0288045	0.0154557	0.0118307	0.01075
a87	0.194877	0.189552	0.150727	0.117452	0.0625043	0.0542835	0.0417049	0.0392114	0.0465294	0.0439293	0.0212619	0.0134885	0.0118739	0.0126041
a97	0.192379	0.186619	0.162912	0.125756	0.0660587	0.0508892	0.0376264	0.0370882	0.0438958	0.0411585	0.0201121	0.0130308	0.0111491	0.0113242
a99	0.195935	0.215443	0.181623	0.137176	0.067795	0.0427953	0.0285813	0.025411	0.0268309	0.0269823	0.0161939	0.0115758	0.0113315	0.0123264
a62	0.203759	0.222867	0.196634	0.169006	0.0787635	0.033386	0.0181124	0.0145702	0.0136813	0.0146877	0.00959704	0.00729809	0.00807161	0.0095671
a0	0.226493	0.230516	0.179747	0.144218	0.0708863	0.0386016	0.0237165	0.0197878	0.0165108	0.0149002	0.0105292	0.00739643	0.00787203	0.00882478
a75	0.140077	0.180786	0.172511	0.172559	0.109689	0.0675414	0.0435136	0.0315163	0.0249971	0.0202719	0.0128607	0.00809033	0.00779623	0.00778965
a85	0.0814939	0.116862	0.134363	0.191535	0.166595	0.114126	0.0772798	0.0452469	0.0268417	0.0169336	0.0100578	0.00621242	0.0060097	0.00644173
a92	0.0346576	0.0704356	0.0929568	0.128216	0.156339	0.134078	0.122203	0.0812058	0.0540992	0.0397347	0.0291361	0.0197922	0.0184548	0.0186902
a21	0.0411603	0.0529649	0.0706827	0.116385	0.185115	0.163126	0.137894	0.0838595	0.0531035	0.0372399	0.0232899	0.0131293	0.0112925	0.0107574
a47	0.0427587	0.0454058	0.0513913	0.0760098	0.140909	0.174575	0.159392	0.109219	0.0771385	0.0504826	0.0300449	0.0179654	0.0132056	0.0115027
a62	0.0237698	0.0238517	0.0264728	0.0398546	0.0706605	0.129831	0.152606	0.148194	0.134875	0.0971769	0.0615143	0.0399718	0.0276458	0.0235757
a21	0.0126899	0.00947097	0.00928655	0.0132351	0.0239231	0.0578327	0.114264	0.182343	0.190297	0.135355	0.0925902	0.0637713	0.0480269	0.0469142
a85	0.00481113	0.00363138	0.00357985	0.005231	0.0133042	0.0268701	0.0499644	0.107205	0.151593	0.160549	0.163337	0.129201	0.0991294	0.0815927
a6	0.00218314	0.00220035	0.00288645	0.00585519	0.0158722	0.0324341	0.048508	0.0822758	0.1047	0.117175	0.143641	0.153554	0.149887	0.138828
a36	0.00130192	0.000815346	0.000880365	0.00174702	0.00470904	0.00949957	0.0191345	0.0519353	0.0955162	0.12736	0.188503	0.194999	0.160174	0.143425
a2	0.00171256	0.00088696	0.00086683	0.00128003	0.00264138	0.0071894	0.018637	0.0367655	0.0537981	0.0685681	0.118684	0.199043	0.218112	0.271816
a57	0.0111329	0.0079593	0.00790071	0.00773688	0.00825543	0.0172816	0.0260309	0.0332191	0.0399164	0.043348	0.0637782	0.164895	0.217566	0.35098
a82	0.0355761	0.0347078	0.0452466	0.0422133	0.0438439	0.0566364	0.0513829	0.0564579	0.0539491	0.057455	0.0693415	0.110828	0.145151	0.197211
a87	0.0693767	0.0497221	0.0621212	0.0532225	0.0523687	0.0741516	0.0654316	0.0656106	0.0614575	0.0607708	0.0664776	0.100678	0.103305	0.115306
a97	0.134716	0.0731524	0.0955096	0.0720874	0.055529	0.0618476	0.052036	0.0555885	0.0612489	0.0692303	0.0720115	0.0778807	0.0627891	0.0563737
a99	0.0755588	0.0444418	0.0501185	0.0426572	0.0338149	0.0508055	0.0578962	0.0769334	0.103113	0.135383	0.118059	0.086911	0.0677703	0.0565374
a87	0.0139259	0.0096723	0.0113765	0.0148747	0.0177203	0.0321778	0.0451885	0.0808306	0.119877	0.1804	0.15919	0.119682	0.10388	0.0912031
</S>	0.0113696	0.00779184	0.00909662	0.0104165	0.01074	0.0235641	0.0513596	0.107909	0.134949	0.170092	0.121469	0.100196	0.110499	0.130548
