 	son	père	a	besoin	de	lui	pour	aller	à	la	chasse	</S>
a87	0.33859	0.198697	0.0917547	0.0546043	0.0357342	0.0372544	0.0413091	0.0389258	0.0373233	0.0379836	0.0424367	0.0453866
a23	0.300012	0.112678	0.0591536	0.0467483	0.0477563	0.0574116	0.0632488	0.0670108	0.0643275	0.0615021	0.0612694	0.0588815
a75	0.149551	0.0917837	0.0731892	0.0735019	0.0778406	0.0962459	0.101162	0.0854263	0.068656	0.0588896	0.0582559	0.0654977
a41	0.344396	0.263693	0.154631	0.0958837	0.0477823	0.0253159	0.0205592	0.0117975	0.00911578	0.00739041	0.0092027	0.0102325
a94	0.293693	0.262108	0.17671	0.106132	0.0532697	0.0322439	0.025809	0.0161232	0.0108202	0.0078884	0.00747252	0.00772919
a26	0.214018	0.240903	0.206801	0.126467	0.066767	0.0437572	0.0316182	0.0204924	0.0140112	0.0114937	0.0112238	0.0124469
a24	0.146137	0.181528	0.195885	0.149431	0.095419	0.0681044	0.0491956	0.0343166	0.0239933	0.0194498	0.0174107	0.0191296
a26	0.126799	0.146724	0.181951	0.166899	0.119002	0.0891472	0.064562	0.0416548	0.023823	0.015644	0.0118423	0.0119521
a24	0.0857033	0.101686	0.152631	0.173035	0.145777	0.115163	0.0823006	0.0545714	0.0317314	0.0215182	0.01715	0.0187333
a32	0.0817935	0.0992356	0.151872	0.181639	0.153012	0.12063	0.0918313	0.0554209	0.0263709	0.0151243	0.0113005	0.0117691
a25	0.0462101	0.0705336	0.122719	0.181941	0.18038	0.146027	0.110848	0.0651875	0.0300357	0.0172206	0.0136876	0.0152099
a38	0.0455582	0.0642916	0.0978328	0.14329	0.164012	0.153329	0.127699	0.0851844	0.0444626	0.0261841	0.0220028	0.0261535
a75	0.0259447	0.0375405	0.0659732	0.112776	0.146493	0.158769	0.151391	0.117794	0.0667487	0.0399894	0.0345633	0.0420166
a41	0.0527583	0.0724941	0.111126	0.150618	0.146586	0.117892	0.106413	0.0779449	0.0512724	0.0387305	0.0341682	0.0399958
a35	0.0442898	0.0613574	0.0857814	0.120123	0.128	0.110627	0.103219	0.0864029	0.0686754	0.0634239	0.0593017	0.0687989
a76	0.0410341	0.0500013	0.0645928	0.0884276	0.107832	0.119126	0.120055	0.106976	0.0787721	0.0714073	0.0678464	0.0839286
a94	0.0294715	0.0392975	0.0535253	0.073358	0.0934015	0.108749	0.111835	0.105617	0.0831753	0.0888086	0.0951715	0.11759
a24	0.0345411	0.0397521	0.0522098	0.0728732	0.0844156	0.0978586	0.113068	0.125515	0.0996161	0.0865745	0.0832733	0.110303
a71	0.0228788	0.0257062	0.0360554	0.0565795	0.0707895	0.0871775	0.111317	0.134091	0.112529	0.102412	0.101854	0.138611
a38	0.0146253	0.0152637	0.0217226	0.0387816	0.0581483	0.087229	0.124502	0.149898	0.120582	0.105802	0.107964	0.155481
a25	0.0242112	0.0219615	0.0294381	0.0463213	0.0619722	0.0835962	0.119414	0.144901	0.123121	0.105145	0.101387	0.138531
a94	0.0178358	0.0174633	0.0246501	0.0426487	0.0668511	0.107428	0.149271	0.158383	0.11541	0.0964628	0.0881772	0.115418
a76	0.0178057	0.0164813	0.0228684	0.0382903	0.054922	0.0759316	0.104315	0.126337	0.121869	0.124751	0.127571	0.168857
a90	0.0165462	0.015964	0.0221104	0.0348947	0.0468577	0.0550674	0.0709917	0.0924454	0.104797	0.136899	0.17072	0.232706
a57	0.0255975	0.0227437	0.0315223	0.0479872	0.0632971	0.0728698	0.0864942	0.0978329	0.103842	0.12465	0.140842	0.182321
a38	0.0106007	0.0100965	0.0167871	0.0345714	0.055694	0.0707908	0.0796115	0.0838164	0.0858884	0.123317	0.174419	0.254406
a21	0.0120364	0.00931472	0.0132681	0.0258714	0.0431926	0.0625981	0.0771835	0.0848436	0.0913267	0.134346	0.182789	0.263231
a41	0.00810941	0.00735382	0.0111236	0.0189722	0.0263684	0.031503	0.03703	0.0461801	0.0655295	0.127825	0.241958	0.378046
a73	0.00477357	0.00452545	0.00756755	0.0142579	0.021777	0.0279799	0.037261	0.0505902	0.0796613	0.147773	0.258996	0.344837
a84	0.00601036	0.00478216	0.00695167	0.0131845	0.0220544	0.0340195	0.0498187	0.0608538	0.0849837	0.146864	0.246017	0.32446
a87	0.00586776	0.00556506	0.0071592	0.0127095	0.0226097	0.0357499	0.0518506	0.0730196	0.0908574	0.134046	0.218003	0.342563
a23	0.00927829	0.00670547	0.00482209	0.00634207	0.0101559	0.0150574	0.0266551	0.0517024	0.0915426	0.173589	0.273831	0.330319
a87	0.0128504	0.0120666	0.00772336	0.00979064	0.0147902	0.0191528	0.0321851	0.060565	0.111776	0.195726	0.247982	0.275392
</S>	0.0102984	0.00945013	0.00664341	0.00859985	0.0120135	0.0157176	0.0273684	0.0488831	0.08837	0.171362	0.273461	0.327832
