 	nous	allons	rentrer	à	la	maison	</S>
a66	0.349359	0.168154	0.0880069	0.0763994	0.0919765	0.113874	0.112229
a87	0.121507	0.109582	0.126459	0.171145	0.213148	0.165175	0.0929844
a10	0.240215	0.229606	0.22882	0.146118	0.075792	0.0464764	0.032972
a87	0.2228	0.246371	0.267103	0.15724	0.0612209	0.0270942	0.0181704
a99	0.223183	0.235657	0.258497	0.16509	0.0657399	0.0299804	0.0218519
a62	0.262049	0.269159	0.238682	0.129103	0.0494511	0.027442	0.0241137
a31	0.39736	0.257042	0.173389	0.0952212	0.0402013	0.0192621	0.0175243
a0	0.264863	0.224958	0.208917	0.161047	0.0814971	0.036622	0.0220966
a47	0.144015	0.167898	0.208231	0.221837	0.14823	0.0714538	0.038335
a21	0.10096	0.121005	0.165061	0.226538	0.202249	0.116987	0.0672011
a5	0.0914791	0.0914373	0.118383	0.199606	0.250446	0.157696	0.0909532
a85	0.0618858	0.0592348	0.0768902	0.142055	0.25783	0.233833	0.16827
a6	0.0350859	0.033141	0.0458306	0.0855057	0.188531	0.284967	0.32694
a21	0.022288	0.0206644	0.0324528	0.058438	0.144933	0.272936	0.448288
a12	0.0078343	0.0093851	0.01509	0.0274484	0.0891509	0.282799	0.568292
a18	0.00456939	0.00454879	0.00743299	0.0136663	0.0479009	0.234716	0.687165
a71	0.00163072	0.0014839	0.00405307	0.0093487	0.0408945	0.191598	0.750991
a9	0.0187608	0.0161054	0.0276418	0.0497957	0.0989543	0.224558	0.564184
a87	0.13461	0.149777	0.152418	0.145439	0.133299	0.133028	0.151429
a23	0.173466	0.173108	0.199017	0.170475	0.112117	0.0873221	0.0844962
a87	0.117566	0.113607	0.127976	0.115424	0.114902	0.150176	0.260349
a82	0.0336705	0.04102	0.0537455	0.062093	0.0957694	0.218628	0.495073
</S>	0.0606283	0.0742838	0.0848215	0.0833199	0.105306	0.201343	0.390298
