 	ses	cadets	sont	en	train	de	murmurer	contre	lui	parce	qu'	il	mange	à	l'	excès	</S>
a66	0.118091	0.0896742	0.0938554	0.127115	0.164614	0.157796	0.0900416	0.0425866	0.0280667	0.0234517	0.0205205	0.0136718	0.0102444	0.00717779	0.00523611	0.00394337	0.00391399
a87	0.391819	0.18915	0.0871219	0.0561807	0.0545837	0.0280626	0.00959288	0.00840098	0.00894453	0.00952993	0.0124552	0.0124114	0.0166834	0.025111	0.0303593	0.0313281	0.0282664
a23	0.280862	0.132486	0.102658	0.0723372	0.0657451	0.0578853	0.0441228	0.0364732	0.0216462	0.0193592	0.0229435	0.0196543	0.0185874	0.0207664	0.0220577	0.0341597	0.0282568
a40	0.102856	0.0633615	0.054285	0.0316763	0.0291791	0.0392304	0.0468946	0.0415042	0.0337801	0.0310769	0.0387547	0.034361	0.034473	0.049023	0.0675712	0.152216	0.149757
a36	0.127184	0.125129	0.104861	0.101534	0.0988593	0.0930185	0.0962282	0.0488688	0.0400763	0.0295823	0.0239599	0.018439	0.0188807	0.0185875	0.017379	0.0184575	0.0189562
a18	0.127572	0.113266	0.117015	0.151105	0.152158	0.125685	0.0891082	0.0262993	0.0156349	0.00928126	0.00779756	0.0076051	0.0103244	0.0110685	0.0107774	0.0129759	0.0123275
a96	0.0995152	0.133671	0.146588	0.145721	0.11631	0.114589	0.0761197	0.037992	0.0221282	0.0152407	0.0124636	0.0111871	0.0131345	0.012509	0.0117134	0.0163095	0.014808
a90	0.0809195	0.12043	0.140864	0.13676	0.109604	0.119585	0.104117	0.059032	0.0283998	0.0159671	0.0118192	0.00933629	0.0100225	0.010434	0.0105327	0.0167916	0.0153862
a44	0.0619005	0.116698	0.131516	0.138119	0.117913	0.126225	0.0978663	0.0561156	0.0329382	0.0208377	0.014731	0.0115941	0.0125936	0.0126932	0.0125139	0.0178638	0.0178814
a98	0.0594388	0.0919568	0.111336	0.122813	0.108101	0.125071	0.123638	0.0796056	0.0406843	0.0218087	0.0143929	0.0108651	0.0120907	0.0138688	0.0155199	0.0241934	0.0246165
a92	0.0294629	0.058592	0.087514	0.126385	0.118398	0.145419	0.10298	0.0707376	0.051944	0.0360603	0.0237966	0.0155196	0.015918	0.0178918	0.021478	0.037141	0.0407623
