 	il	est	très	bavard	</S>
a23	0.397187	0.218308	0.131974	0.123115	0.129417
a87	0.425937	0.251976	0.157742	0.0878238	0.0765216
a23	0.420953	0.260155	0.156761	0.0848167	0.0773145
a20	0.333668	0.202721	0.1395	0.138489	0.185622
a73	0.39388	0.237083	0.175611	0.116696	0.0767304
a84	0.42474	0.320001	0.177795	0.0526629	0.0248014
a38	0.324907	0.297658	0.215706	0.0985824	0.0631465
a41	0.325853	0.312548	0.220033	0.0869426	0.0546239
a61	0.34256	0.278127	0.194348	0.112936	0.0720282
a96	0.264284	0.264295	0.229001	0.151786	0.0906338
a18	0.179176	0.189341	0.21448	0.240214	0.176789
a26	0.128164	0.137551	0.184292	0.283024	0.266968
a24	0.0942942	0.100266	0.145509	0.285976	0.373955
a35	0.0678022	0.0719567	0.113802	0.29431	0.45213
a90	0.0478017	0.0490768	0.0796078	0.270506	0.553008
a4	0.0473808	0.051758	0.0864371	0.26811	0.546314
a90	0.0239617	0.0275069	0.0529901	0.212894	0.682648
a4	0.024258	0.0288325	0.0565908	0.218822	0.671497
a57	0.0158899	0.0180608	0.0394572	0.181439	0.745153
a3	0.0123727	0.0120452	0.0287833	0.168023	0.778776
a87	0.0082689	0.00660372	0.0141834	0.128976	0.841968
</S>	0.0243793	0.0171743	0.0308181	0.186098	0.74153
